# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
302|Casamicciola, Italy|2022-11-26 04:00:41|2022-11-26 04:04:01|40.7319|13.8982|0.0|40.7319|13.8982|40.7406|13.9018|debris flow|45000.0|None|None|None|40000.0|None|None|None|None|None|440.0|None|None|1116.0|None|None|None|None|None|None|None|None|None|None|None|None|5|0|3.0|1|5.0|1|None|None|0.0|None|None|None|None|INGV|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
706|302|294|Location coordinates, type, L, H, volume, and total area taken from Romeo and others (2023). H and L are estimated from the elevation difference and length of the longitudinal section A-B, based on the area affected by the debris flow seen in Figure 6 (Romeo and others, 2023). Toe coordinates are estimated using the area affected by the debris flow in Figure 6 and Google Earth.|None|None|None
707|302|294|This debris flow, triggered by heavy rainfall, originated from the Northern slope of Mt. Epomeo on the island of Ischia, Italy. This event resulted in 12 casualities and displaced over 200 people (Romeo and others, 2023).|None|None|None
708|302|294|Estimates for maximum flow height and flow velocity, 8.5 m and 22.6 m/s, respectively, are reported in Romeo and others (2023), based on a two-dimensional fixed-bed debris flow model.|None|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1559|302|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/302_CasamicciolaItaly_26Nov2022/photos_figures/302_CasamicciolaItaly_26Nov2022_waveforms_raw.png|None
1560|302|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/302_CasamicciolaItaly_26Nov2022/photos_figures/302_CasamicciolaItaly_26Nov2022_waveforms_1-5Hz.png|None
1561|302|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/302_CasamicciolaItaly_26Nov2022/photos_figures/302_CasamicciolaItaly_26Nov2022_spectrogram.png|None
1562|302|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/302_CasamicciolaItaly_26Nov2022/photos_figures/302_CasamicciolaItaly_26Nov2022_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
294|302|None|Romeo, S., D'Angiò, Fraccica, A., Licata, V., Vitale, V., Chiessi, V., Amanti, M. , and Bonasera, M., 2023, Investigation and preliminary assessment of the Casamicciola landslide in the island of Ischia (Italy) on November 26, 2022: Landslides, v. 20, p. 1265–1276, doi: 10.1007/s10346-023-02064-0.|Romeo and others (2023)|None|https://doi.org/10.1007/s10346-023-02064-0

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
224258|302|47703|99.601|73.4|254.14|None|None|None|None|None
224259|302|47704|99.601|73.4|254.14|None|None|None|None|None
224260|302|47705|99.601|73.4|254.14|None|None|None|None|None
224261|302|47706|95.684|70.28|250.98|None|None|None|None|None
224262|302|47707|95.684|70.28|250.98|None|None|None|None|None
224263|302|47708|95.684|70.28|250.98|None|None|None|None|None
224264|302|47709|22.795|64.48|244.64|0|0|None|0|None
224265|302|47710|22.795|64.48|244.64|0|0|None|0|None
224266|302|47711|22.795|64.48|244.64|0|0|None|0|None
224267|302|47712|22.795|64.48|244.64|0|None|None|None|None
224268|302|47713|22.795|64.48|244.64|0|None|None|None|None
224269|302|47714|22.795|64.48|244.64|0|None|None|None|None
224270|302|47715|17.721|60.27|240.39|0|0|None|0|None
224271|302|47716|17.721|60.27|240.39|0|0|None|0|None
224272|302|47717|17.721|60.27|240.39|0|0|None|0|None
224273|302|47718|17.721|60.27|240.39|0|None|None|None|None
224274|302|47719|17.721|60.27|240.39|0|None|None|None|None
224275|302|47720|17.721|60.27|240.39|0|None|None|None|None
224276|302|47721|96.691|5.94|186.02|None|None|None|None|None
224277|302|47722|96.691|5.94|186.02|None|None|None|None|None
224278|302|47723|96.691|5.94|186.02|None|None|None|None|None
224279|302|47724|96.691|5.94|186.02|None|None|None|None|None
224280|302|47725|96.691|5.94|186.02|None|None|None|None|None
224281|302|47726|96.691|5.94|186.02|None|None|None|None|None
224282|302|47727|19.726|55.27|235.39|0|0|None|0|None
224283|302|47728|19.726|55.27|235.39|0|0|None|0|None
224284|302|47729|19.726|55.27|235.39|0|0|None|0|None
224285|302|47730|19.726|55.27|235.39|0|None|None|None|None
224286|302|47731|19.726|55.27|235.39|0|None|None|None|None
224287|302|47732|19.726|55.27|235.39|0|None|None|None|None
224288|302|47733|16.915|72.26|252.38|0|0|None|0|None
224289|302|47734|16.915|72.26|252.38|0|0|None|0|None
224290|302|47735|16.915|72.26|252.38|0|0|None|0|None
224291|302|47736|16.915|72.26|252.38|0|None|None|None|None
224292|302|47737|16.915|72.26|252.38|0|None|None|None|None
224293|302|47738|16.915|72.26|252.38|0|None|None|None|None
224294|302|47739|26.69|63.66|243.84|0|0|None|0|None
224295|302|47740|26.69|63.66|243.84|0|0|None|0|None
224296|302|47741|26.69|63.66|243.84|0|0|None|0|None
224297|302|47742|23.552|71.71|251.88|0|0|None|None|None
224298|302|47743|23.552|71.71|251.88|0|0|None|None|None
224299|302|47744|23.552|71.71|251.88|0|0|None|None|None
224300|302|47745|23.552|71.71|251.88|0|None|None|None|None
224301|302|47746|23.552|71.71|251.88|0|None|None|None|None
224302|302|47747|23.552|71.71|251.88|0|None|None|None|None
224303|302|47748|22.941|64.98|245.14|0|0|None|None|None
224304|302|47749|22.941|64.98|245.14|0|0|None|None|None
224305|302|47750|22.941|64.98|245.14|0|0|None|None|None
224306|302|47751|22.941|64.98|245.14|0|None|None|None|None
224307|302|47752|22.941|64.98|245.14|0|None|None|None|None
224308|302|47753|22.941|64.98|245.14|0|None|None|None|None
224309|302|47754|23.618|62.69|242.85|None|None|None|None|None
224310|302|47755|23.618|62.69|242.85|None|None|None|None|None
224311|302|47756|23.618|62.69|242.85|None|None|None|None|None
224312|302|47757|21.115|61.96|242.1|None|None|None|None|None
224313|302|47758|21.115|61.96|242.1|None|None|None|None|None
224314|302|47759|21.115|61.96|242.1|None|None|None|None|None
224315|302|47760|45.341|77.2|257.54|None|0|None|0|None
224316|302|47761|45.341|77.2|257.54|None|0|None|0|None
224317|302|47762|45.341|77.2|257.54|None|0|None|0|None
224318|302|47763|23.066|62.0|242.16|0|0|None|0|None
224319|302|47764|23.066|62.0|242.16|0|0|None|0|None
224320|302|47765|23.066|62.0|242.16|0|0|None|0|None
224321|302|47766|23.253|63.07|243.23|0|0|None|0|None
224322|302|47767|23.253|63.07|243.23|0|0|None|0|None
224323|302|47768|23.253|63.07|243.23|0|0|None|0|None
224324|302|47769|23.253|63.07|243.23|0|None|None|None|None
224325|302|47770|23.253|63.07|243.23|0|None|None|None|None
224326|302|47771|23.253|63.07|243.23|0|None|None|None|None
224327|302|47772|23.806|62.85|243.01|0|0|None|None|None
224328|302|47773|23.806|62.85|243.01|0|0|None|None|None
