# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
303|Mel de la Niva, Switzerland|2015-10-19 07:23:51|2015-10-19 07:25:42|46.1012|7.4657|0.0|46.1012|7.4657|46.1081|7.4842|rock fall|None|None|None|None|1750.0|1500.0|2000.0|None|None|None|1020.0|970.0|1060.0|1700.0|None|None|None|None|None|None|None|None|None|None|None|None|5|0|None|None|46.0|1|None|None|0.0|None|None|None|None|IRIS, ETH|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
710|303|296|Failure occurred on the Mel de la Niva mountain in Val d'Hérens, Switzerland, days after significant movement was recorded on installed extensometers in the area (Noël and others, 2023). Noël and others (2023) note that there were two large rock fragments from the event, with volumes of 186 m3 and 210 m3, which moved ~1 and ~2 km downslope, respectively.|None|None|None
711|303|296|H taken from Noël and others (2023). H_low and H_high are estimated from the low and high elevations for the source cliff to the elevation of the 2015 block in Figure 2 (Noël and others, 2023). H_best is averaged from H_low and H_high.|None|None|None
712|303|298|Location coordinates and L taken from the runout path of the 2015 event from Noël and others (2022).|None|None|None
713|303|297|A video of the event, from Canton du Valais, can be seen at https://www.youtube.com/watch?v=mSLVhNl4YxY (Editions Le Nouvelliste, 2015). Volume_low and Volume_high are taken from estimates in this video, provided by geologist Raphaël Mayoraz. Volume_best is averaged between the low and high estimates.|None|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1563|303|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/303_MeldelaNivaSwitzerland_19Oct2015/photos_figures/303_MeldelaNivaSwitzerland_19Oct2015_waveforms_raw.png|None
1564|303|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/303_MeldelaNivaSwitzerland_19Oct2015/photos_figures/303_MeldelaNivaSwitzerland_19Oct2015_waveforms_1-5Hz.png|None
1565|303|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/303_MeldelaNivaSwitzerland_19Oct2015/photos_figures/303_MeldelaNivaSwitzerland_19Oct2015_spectrogram.png|None
1566|303|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/303_MeldelaNivaSwitzerland_19Oct2015/photos_figures/303_MeldelaNivaSwitzerland_19Oct2015_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
296|303|None|Noël, F., Nordang, S.F., Jaboyedoff, M. , Travelletti, J., Matasci, B., Digout, M., Derron, M.-H., Caviezel, A., et al., 2023, Highly energetic rockfalls: back analysis of the 2015 event from the Mel de la Niva, Switzerland: Landslides, v. 20, p. 1561–1582, doi: 10.1007/s10346-023-02054-2.|Noël and others (2023)|None|https://doi.org/10.1007/s10346-023-02054-2
297|303|None|Editions Le Nouvelliste [@NOUVELLISTEVIDEO], 22 Oct 2015, Evolène: un pan du Rocher du Mel de la Niva s'est détaché [Video], YouTube, Accessed 3 May 2023, at https://www.youtube.com/watch?v=mSLVhNl4YxY|Editions Le Nouvelliste (2015)|None|https://www.youtube.com/watch?v=mSLVhNl4YxY
298|303|None|Noël F., Nordang S.F., Jaboyedoff M., Travelletti, J., Matasci, B., Digout, M., Vogel, A., and Mayoraz, R., 2022, Highly energetic rockfalls: dataset of the 2015 event from the Mel de la Niva, Switzerland [Data]: zenodo, doi: 10.5281/ZENODO.7257979|Noël and others (2022)|None|https://doi.org/10.5281/ZENODO.7257979

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
224568|303|39400|112.844|40.4|221.09|None|None|None|None|None
224569|303|39401|112.844|40.4|221.09|None|None|None|None|None
224570|303|39402|112.844|40.4|221.09|None|None|None|None|None
224571|303|39941|144.937|352.99|172.82|None|None|None|None|None
224572|303|39942|144.937|352.99|172.82|None|None|None|None|None
224573|303|39943|144.937|352.99|172.82|None|None|None|None|None
224574|303|40988|120.23|321.04|140.32|None|None|None|None|None
224575|303|40989|120.23|321.04|140.32|None|None|None|None|None
224576|303|40990|120.23|321.04|140.32|None|None|None|None|None
224577|303|40991|120.23|321.04|140.32|None|None|None|None|None
224578|303|40992|120.23|321.04|140.32|None|None|None|None|None
224579|303|37969|120.23|321.04|140.32|None|None|None|None|None
224580|303|39389|62.042|53.01|233.48|None|None|None|None|None
224581|303|39390|62.042|53.01|233.48|None|None|None|None|None
224582|303|39391|62.042|53.01|233.48|None|None|None|None|None
224583|303|39387|62.042|53.01|233.48|None|None|None|None|None
224584|303|39388|62.042|53.01|233.48|None|None|None|None|None
224585|303|37872|62.042|53.01|233.48|None|None|None|None|None
224586|303|39352|89.927|35.62|216.11|None|None|None|None|None
224587|303|39353|89.927|35.62|216.11|None|None|None|None|None
224588|303|39354|89.927|35.62|216.11|None|None|None|None|None
224589|303|39355|89.927|35.62|216.11|None|None|None|None|None
224590|303|39356|89.927|35.62|216.11|None|None|None|None|None
224591|303|37877|89.927|35.62|216.11|None|None|None|None|None
224592|303|39382|123.673|98.71|279.84|None|None|None|None|None
224593|303|39383|123.673|98.71|279.84|None|None|None|None|None
224594|303|39384|123.673|98.71|279.84|None|None|None|None|None
224595|303|39385|123.673|98.71|279.84|None|None|None|None|None
224596|303|39386|123.673|98.71|279.84|None|None|None|None|None
224597|303|37853|123.673|98.71|279.84|None|None|None|None|None
224598|303|38503|31.839|336.3|156.18|None|1|None|0|None
224599|303|38504|31.839|336.3|156.18|None|1|None|0|None
224600|303|38505|31.839|336.3|156.18|None|1|None|0|None
224601|303|38501|31.839|336.3|156.18|None|1|None|0|None
224602|303|38502|31.839|336.3|156.18|None|1|None|0|None
224603|303|37920|31.839|336.3|156.18|None|1|None|0|None
224604|303|40682|131.825|208.08|27.52|None|None|None|None|None
224605|303|40683|131.825|208.08|27.52|None|None|None|None|None
224606|303|40684|131.825|208.08|27.52|None|None|None|None|None
224607|303|40685|131.825|208.08|27.52|None|None|None|None|None
224608|303|40686|131.825|208.08|27.52|None|None|None|None|None
224609|303|37818|131.825|208.08|27.52|None|None|None|None|None
224610|303|39258|150.749|73.44|254.8|None|None|None|None|None
224611|303|39259|150.749|73.44|254.8|None|None|None|None|None
224612|303|37848|150.749|73.44|254.8|None|None|None|None|None
224613|303|39260|150.749|73.44|254.8|None|None|None|None|None
224614|303|39261|150.749|73.44|254.8|None|None|None|None|None
224615|303|39262|150.749|73.44|254.8|None|None|None|None|None
224616|303|38618|179.812|29.87|210.73|None|None|None|None|None
224617|303|38619|179.812|29.87|210.73|None|None|None|None|None
224618|303|37895|179.812|29.87|210.73|None|None|None|None|None
224619|303|39350|154.34|15.53|195.93|None|None|None|None|None
224620|303|39351|154.34|15.53|195.93|None|None|None|None|None
224621|303|37916|154.34|15.53|195.93|None|None|None|None|None
224622|303|39717|32.022|301.35|121.09|None|1|None|None|None
224623|303|39718|32.022|301.35|121.09|None|1|None|None|None
224624|303|39719|32.022|301.35|121.09|None|1|None|None|None
224625|303|39357|45.456|70.02|250.42|None|1|None|0|None
224626|303|39358|45.456|70.02|250.42|None|1|None|0|None
224627|303|39359|45.456|70.02|250.42|None|1|None|0|None
224628|303|39360|45.456|70.02|250.42|None|1|None|0|None
224629|303|39361|45.456|70.02|250.42|None|1|None|0|None
224630|303|37876|45.456|70.02|250.42|None|1|None|0|None
224631|303|38481|15.778|39.88|219.97|None|1|None|0|None
224632|303|38482|15.778|39.88|219.97|None|1|None|0|None
224633|303|38483|15.778|39.88|219.97|None|1|None|0|None
224634|303|38484|15.778|39.88|219.97|None|1|None|0|None
224635|303|38485|15.778|39.88|219.97|None|1|None|0|None
224636|303|37897|15.778|39.88|219.97|None|1|None|0|None
224637|303|38491|33.362|24.33|204.46|None|1|None|0|None
224638|303|38492|33.362|24.33|204.46|None|1|None|0|None
224639|303|37894|33.362|24.33|204.46|None|1|None|0|None
224640|303|38493|33.362|24.33|204.46|None|1|None|0|None
224641|303|38494|33.362|24.33|204.46|None|1|None|0|None
224642|303|38495|33.362|24.33|204.46|None|1|None|0|None
224643|303|39362|188.856|18.22|198.8|None|None|None|None|None
224644|303|39363|188.856|18.22|198.8|None|None|None|None|None
224645|303|37927|188.856|18.22|198.8|None|None|None|None|None
224646|303|39364|188.856|18.22|198.8|None|None|None|None|None
224647|303|39365|188.856|18.22|198.8|None|None|None|None|None
224648|303|39366|188.856|18.22|198.8|None|None|None|None|None
224649|303|38635|149.905|56.91|238.1|None|None|None|None|None
224650|303|38636|149.905|56.91|238.1|None|None|None|None|None
224651|303|38637|149.905|56.91|238.1|None|None|None|None|None
224652|303|38638|149.905|56.91|238.1|None|None|None|None|None
224653|303|38639|149.905|56.91|238.1|None|None|None|None|None
224654|303|37856|149.905|56.91|238.1|None|None|None|None|None
