# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
316|Mud Creek, Mount Shasta|2022-07-26 22:16:03|2022-07-27 07:10:29|41.3907|-122.1855|1.0|None|None|None|None|debris flow|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|3|0|10.0|1|58.0|1|None|None|0.0|None|1|10.0|1|NCEDC, IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
802|316|332|"Largest flow [of 2022] to date. Mud Low cam is now askew, lots of logs came down with this one. Elevated flow for the rest of the afternoon with a small pulse at 01:15 07-27 UTC. Volkswagen sized boulders observed." - Hotovec-Ellis and Dawson (written commun., 2024).|None|None|None
864|316|None|A coherent infrasound signal from this event was observed on the GM.LST3 temporary array in the 1-10 Hz frequency band, with back azimuth values consistent with flow in this drainage.|None|None|None
797|313|None|Location coordinates are estimated near the beginning of the channel on Mount Shasta. Location uncertainty represents distance along the drainage. Many of the close-in seismic/infrasound stations are along the debris flow channel but the source-station distance represents the distance from the station to the initiation point, not distance from the flow front.|None|None|314,315,316,317,318,319
798|313|332|These events were detected using seismic stations surrounding Mount Shasta and confirmed by trail camera images and/or ground-based reports (Hotovec-Ellis and Dawson, written commun., 2024).|None|None|314,315,316,317,318,319
801|315|333|These debris flows were reported by Chapman (2022). The McCloud Community Services District notes that a water pipeline was bumped during these flows.|None|None|316
872|313|366|"These seismometers [on Mount Shasta] were used to track debris flows fed by glacial melt during hot, dry summer months. In 2020, 2021 and 2022, flows like these on Mount Shasta threatened the water supply for the town of McCloud and caused road closures on important transportation and (potential) evacuation routes." - Quote from USGS Volcanoes Page (2025)|None|None|278,279,280,281,282,314,315,316,317,318,319

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1648|316|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/316_MudCreekMountShasta_26Jul2022/photos_figures/316_MudCreekMountShasta_26Jul2022_waveforms_raw.png|None
1649|316|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/316_MudCreekMountShasta_26Jul2022/photos_figures/316_MudCreekMountShasta_26Jul2022_waveforms_1-5Hz.png|None
1650|316|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/316_MudCreekMountShasta_26Jul2022/photos_figures/316_MudCreekMountShasta_26Jul2022_spectrogram.png|None
1651|316|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/316_MudCreekMountShasta_26Jul2022/photos_figures/316_MudCreekMountShasta_26Jul2022_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
231400|316|49592|59.799|131.11|311.46|0|0|None|None|None
231401|316|49593|59.799|131.11|311.46|0|0|None|None|None
231402|316|49594|59.799|131.11|311.46|0|0|None|None|None
231403|316|49595|59.799|131.11|311.46|0|0|None|None|None
231404|316|49596|59.799|131.11|311.46|0|0|None|None|None
231405|316|49597|59.799|131.11|311.46|0|0|None|None|None
231406|316|49564|33.91|151.73|331.86|0|1|None|None|None
231407|316|49565|33.91|151.73|331.86|0|1|None|None|None
231408|316|49566|33.91|151.73|331.86|0|1|None|None|None
231409|316|49567|33.91|151.73|331.86|0|1|None|None|None
231410|316|49568|33.91|151.73|331.86|0|1|None|None|None
231411|316|49569|33.91|151.73|331.86|0|1|None|None|None
231412|316|49570|33.548|234.07|53.85|0|1|None|None|None
231413|316|49571|33.548|234.07|53.85|0|1|None|None|None
231414|316|49572|33.548|234.07|53.85|0|1|None|None|None
231415|316|49573|33.548|234.07|53.85|0|1|None|None|None
231416|316|49574|33.548|234.07|53.85|0|1|None|None|None
231417|316|49575|33.548|234.07|53.85|0|1|None|None|None
231418|316|49598|52.651|338.24|158.08|0|1|None|None|None
231419|316|49599|52.651|338.24|158.08|0|1|None|None|None
231420|316|49600|52.651|338.24|158.08|0|1|None|None|None
231421|316|49601|52.651|338.24|158.08|0|1|None|None|None
231422|316|49602|52.651|338.24|158.08|0|1|None|None|None
231423|316|49603|52.651|338.24|158.08|0|1|None|None|None
231424|316|49604|54.847|158.61|338.76|0|None|None|None|None
231425|316|49605|54.847|158.61|338.76|0|None|None|None|None
231426|316|49606|54.847|158.61|338.76|0|None|None|None|None
231427|316|49607|54.847|158.61|338.76|0|None|None|None|None
231428|316|49608|54.847|158.61|338.76|0|None|None|None|None
231429|316|49609|54.847|158.61|338.76|0|None|None|None|None
231430|316|35766|55.894|270.37|89.93|0|1|None|None|None
231431|316|35767|55.894|270.37|89.93|0|1|None|None|None
231432|316|35768|55.894|270.37|89.93|0|1|None|None|None
231433|316|35769|55.894|270.37|89.93|0|1|None|None|None
231434|316|35770|55.894|270.37|89.93|0|1|None|None|None
231435|316|35771|55.894|270.37|89.93|0|1|None|None|None
231436|316|24|57.917|311.06|130.71|0|1|None|None|None
231437|316|25|57.917|311.06|130.71|0|1|None|None|None
231438|316|26|57.917|311.06|130.71|0|1|None|None|None
231439|316|27|57.917|311.06|130.71|0|1|None|None|None
231440|316|28|57.917|311.06|130.71|0|1|None|None|None
231441|316|29|57.917|311.06|130.71|0|1|None|None|None
231442|316|49576|13.36|312.13|132.05|0|1|None|None|None
231443|316|49577|13.36|312.13|132.05|0|1|None|None|None
231444|316|49578|13.36|312.13|132.05|0|1|None|None|None
231445|316|49579|8.373|341.13|161.11|0|1|None|None|None
231446|316|49580|8.373|341.13|161.11|0|1|None|None|None
231447|316|49581|8.373|341.13|161.11|0|1|None|None|None
231448|316|49582|9.142|133.05|313.11|1|1|None|None|None
231449|316|49583|9.142|133.05|313.11|1|1|None|None|None
231450|316|49584|9.142|133.05|313.11|1|1|None|None|None
231451|316|49585|5.294|108.13|288.17|1|1|None|None|None
231452|316|49586|5.294|108.13|288.17|1|1|None|None|None
231453|316|49587|5.294|108.13|288.17|1|1|None|None|None
231454|316|49588|0.753|232.67|52.66|1|1|None|None|None
231455|316|49589|0.753|232.67|52.66|1|1|None|None|None
231456|316|49590|0.753|232.67|52.66|1|1|None|None|None
231457|316|61|44.08|303.69|123.4|0|0|None|None|None
231458|316|62|55.791|65.26|245.66|0|0|None|None|None
231459|316|64|25.113|101.03|281.22|0|1|None|None|None
231460|316|65|52.849|230.0|49.68|0|0|None|None|None
231461|316|4|12.286|336.46|156.42|0|1|None|None|None
231462|316|35721|10.063|78.04|258.12|0|1|None|None|None
231463|316|35722|10.063|78.04|258.12|0|None|None|None|None
231464|316|35723|10.063|78.04|258.12|0|1|None|None|None
231465|316|5|17.642|279.19|99.05|0|0|None|None|None
231466|316|35727|9.109|263.5|83.42|1|1|None|None|None
231467|316|35728|9.109|263.5|83.42|1|1|None|None|None
231468|316|35729|9.109|263.5|83.42|1|1|None|None|None
231469|316|35733|5.161|189.62|9.62|1|1|None|None|None
231470|316|35734|5.161|189.62|9.62|1|1|None|None|None
231471|316|35735|5.161|189.62|9.62|1|1|None|None|None
231472|316|8|13.993|157.64|337.68|0|1|None|None|None
231473|316|9|13.993|157.64|337.68|0|1|None|None|None
