# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
317|Mud Creek, Mount Shasta|2022-07-30 20:08:20|2022-07-30 20:58:57|41.3907|-122.1855|1.0|None|None|None|None|debris flow|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|3|0|6.0|1|34.0|1|None|None|0.0|None|0|None|None|NCEDC, IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
803|317|332|"Small flow, stayed in channel at Road 31" - Hotovec-Ellis and Dawson (written commun., 2024).|None|None|None
797|313|None|Location coordinates are estimated near the beginning of the channel on Mount Shasta. Location uncertainty represents distance along the drainage. Many of the close-in seismic/infrasound stations are along the debris flow channel but the source-station distance represents the distance from the station to the initiation point, not distance from the flow front.|None|None|314,315,316,317,318,319
798|313|332|These events were detected using seismic stations surrounding Mount Shasta and confirmed by trail camera images and/or ground-based reports (Hotovec-Ellis and Dawson, written commun., 2024).|None|None|314,315,316,317,318,319
872|313|366|"These seismometers [on Mount Shasta] were used to track debris flows fed by glacial melt during hot, dry summer months. In 2020, 2021 and 2022, flows like these on Mount Shasta threatened the water supply for the town of McCloud and caused road closures on important transportation and (potential) evacuation routes." - Quote from USGS Volcanoes Page (2025)|None|None|278,279,280,281,282,314,315,316,317,318,319

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1652|317|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/317_MudCreekMountShasta_30Jul2022/photos_figures/317_MudCreekMountShasta_30Jul2022_waveforms_raw.png|None
1653|317|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/317_MudCreekMountShasta_30Jul2022/photos_figures/317_MudCreekMountShasta_30Jul2022_waveforms_1-5Hz.png|None
1654|317|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/317_MudCreekMountShasta_30Jul2022/photos_figures/317_MudCreekMountShasta_30Jul2022_spectrogram.png|None
1655|317|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/317_MudCreekMountShasta_30Jul2022/photos_figures/317_MudCreekMountShasta_30Jul2022_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
231693|317|49564|33.91|151.73|331.86|None|1|None|None|None
231694|317|49565|33.91|151.73|331.86|None|1|None|None|None
231695|317|49566|33.91|151.73|331.86|None|1|None|None|None
231696|317|49567|33.91|151.73|331.86|None|1|None|None|None
231697|317|49568|33.91|151.73|331.86|None|1|None|None|None
231698|317|49569|33.91|151.73|331.86|None|1|None|None|None
231699|317|49570|33.548|234.07|53.85|None|0|None|None|None
231700|317|49571|33.548|234.07|53.85|None|0|None|None|None
231701|317|49572|33.548|234.07|53.85|None|1|None|None|None
231702|317|49573|33.548|234.07|53.85|None|0|None|None|None
231703|317|49574|33.548|234.07|53.85|None|0|None|None|None
231704|317|49575|33.548|234.07|53.85|None|1|None|None|None
231705|317|49576|13.36|312.13|132.05|None|1|None|None|None
231706|317|49577|13.36|312.13|132.05|None|1|None|None|None
231707|317|49578|13.36|312.13|132.05|None|1|None|None|None
231708|317|49579|8.373|341.13|161.11|0|1|None|None|None
231709|317|49580|8.373|341.13|161.11|0|1|None|None|None
231710|317|49581|8.373|341.13|161.11|0|1|None|None|None
231711|317|49582|9.142|133.05|313.11|0|0|None|None|None
231712|317|49583|9.142|133.05|313.11|0|0|None|None|None
231713|317|49584|9.142|133.05|313.11|0|0|None|None|None
231714|317|49585|5.294|108.13|288.17|1|1|None|None|None
231715|317|49586|5.294|108.13|288.17|1|1|None|None|None
231716|317|49587|5.294|108.13|288.17|1|1|None|None|None
231717|317|49588|0.753|232.67|52.66|1|1|None|None|None
231718|317|49589|0.753|232.67|52.66|1|1|None|None|None
231719|317|49590|0.753|232.67|52.66|1|1|None|None|None
231720|317|61|44.08|303.69|123.4|None|0|None|None|None
231721|317|64|25.113|101.03|281.22|None|1|None|None|None
231722|317|4|12.286|336.46|156.42|None|1|None|None|None
231723|317|35721|10.063|78.04|258.12|None|1|None|None|None
231724|317|35722|10.063|78.04|258.12|None|None|None|None|None
231725|317|35723|10.063|78.04|258.12|None|1|None|None|None
231726|317|5|17.642|279.19|99.05|None|0|None|None|None
231727|317|35727|9.109|263.5|83.42|0|1|None|None|None
231728|317|35728|9.109|263.5|83.42|0|1|None|None|None
231729|317|35729|9.109|263.5|83.42|0|1|None|None|None
231730|317|35733|5.161|189.62|9.62|0|1|None|None|None
231731|317|35734|5.161|189.62|9.62|0|1|None|None|None
231732|317|35735|5.161|189.62|9.62|0|1|None|None|None
231733|317|8|13.993|157.64|337.68|None|1|None|None|None
231734|317|9|13.993|157.64|337.68|None|1|None|None|None
231735|317|10|13.993|157.64|337.68|None|1|None|None|None
231736|317|68|48.712|64.45|244.8|None|0|None|None|None
231737|317|11|11.104|13.37|193.39|None|1|None|None|None
231738|317|70|30.791|283.58|103.35|None|0|None|None|None
231739|317|73|32.31|192.78|12.73|None|0|None|None|None
231740|317|1|26.395|288.75|108.55|None|None|None|None|None
231741|317|2|26.395|288.75|108.55|None|None|None|None|None
231742|317|3|26.395|288.75|108.55|None|0|None|None|None
231743|317|49610|86.771|111.97|292.6|None|0|None|None|None
231744|317|49611|86.771|111.97|292.6|None|0|None|None|None
231745|317|49612|86.771|111.97|292.6|None|0|None|None|None
231746|317|49613|86.771|111.97|292.6|None|0|None|None|None
231747|317|49614|86.771|111.97|292.6|None|0|None|None|None
231748|317|49615|86.771|111.97|292.6|None|0|None|None|None
231749|317|49592|59.799|131.11|311.46|None|0|None|None|None
231750|317|49593|59.799|131.11|311.46|None|0|None|None|None
231751|317|49594|59.799|131.11|311.46|None|0|None|None|None
231752|317|49595|59.799|131.11|311.46|None|0|None|None|None
231753|317|49596|59.799|131.11|311.46|None|0|None|None|None
231754|317|49597|59.799|131.11|311.46|None|0|None|None|None
231755|317|49622|89.925|87.74|268.45|None|0|None|None|None
231756|317|49623|89.925|87.74|268.45|None|0|None|None|None
231757|317|49624|89.925|87.74|268.45|None|0|None|None|None
231758|317|49625|89.925|87.74|268.45|None|0|None|None|None
231759|317|49626|89.925|87.74|268.45|None|0|None|None|None
