# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
318|Bolam Creek, Mount Shasta|2022-08-03 01:58:01|2022-08-03 06:05:17|41.4401|-122.2111|1.0|None|None|None|None|debris flow|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|3|0|8.0|1|9.0|0|None|None|0.0|None|1|7.0|1|NCEDC, IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
804|318|None|EID 318 and EID 319 occurred during similar times on opposite sides of Mount Shasta.|None|None|319
856|318|None|A coherent infrasound signal from this event was observed on the GM.LST6 temporary array in the 1-10 Hz frequency band, with back azimuth values consistent with flow in this drainage.|None|None|None
797|313|None|Location coordinates are estimated near the beginning of the channel on Mount Shasta. Location uncertainty represents distance along the drainage. Many of the close-in seismic/infrasound stations are along the debris flow channel but the source-station distance represents the distance from the station to the initiation point, not distance from the flow front.|None|None|314,315,316,317,318,319
798|313|332|These events were detected using seismic stations surrounding Mount Shasta and confirmed by trail camera images and/or ground-based reports (Hotovec-Ellis and Dawson, written commun., 2024).|None|None|314,315,316,317,318,319
872|313|366|"These seismometers [on Mount Shasta] were used to track debris flows fed by glacial melt during hot, dry summer months. In 2020, 2021 and 2022, flows like these on Mount Shasta threatened the water supply for the town of McCloud and caused road closures on important transportation and (potential) evacuation routes." - Quote from USGS Volcanoes Page (2025)|None|None|278,279,280,281,282,314,315,316,317,318,319

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1732|318|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/318_BolamCreekMountShasta_03Aug2022/photos_figures/318_BolamCreekMountShasta_03Aug2022_waveforms_raw.png|None
1733|318|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/318_BolamCreekMountShasta_03Aug2022/photos_figures/318_BolamCreekMountShasta_03Aug2022_waveforms_1-5Hz.png|None
1734|318|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/318_BolamCreekMountShasta_03Aug2022/photos_figures/318_BolamCreekMountShasta_03Aug2022_spectrogram.png|None
1735|318|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/318_BolamCreekMountShasta_03Aug2022/photos_figures/318_BolamCreekMountShasta_03Aug2022_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
231842|318|49564|39.762|152.75|332.89|None|0|None|None|None
231843|318|49565|39.762|152.75|332.89|None|0|None|None|None
231844|318|49566|39.762|152.75|332.89|None|0|None|None|None
231845|318|49567|39.762|152.75|332.89|None|0|None|None|None
231846|318|49568|39.762|152.75|332.89|None|0|None|None|None
231847|318|49569|39.762|152.75|332.89|None|0|None|None|None
231848|318|49570|35.496|224.81|44.61|None|0|None|None|None
231849|318|49571|35.496|224.81|44.61|None|0|None|None|None
231850|318|49572|35.496|224.81|44.61|None|0|None|None|None
231851|318|49573|35.496|224.81|44.61|None|0|None|None|None
231852|318|49574|35.496|224.81|44.61|None|0|None|None|None
231853|318|49575|35.496|224.81|44.61|None|0|None|None|None
231854|318|49598|46.762|338.16|158.02|None|0|None|None|None
231855|318|49599|46.762|338.16|158.02|None|0|None|None|None
231856|318|49600|46.762|338.16|158.02|None|0|None|None|None
231857|318|49601|46.762|338.16|158.02|None|0|None|None|None
231858|318|49602|46.762|338.16|158.02|None|0|None|None|None
231859|318|49603|46.762|338.16|158.02|None|0|None|None|None
231860|318|49576|8.51|294.08|114.02|0|1|None|None|None
231861|318|49577|8.51|294.08|114.02|0|1|None|None|None
231862|318|49578|8.51|294.08|114.02|0|1|None|None|None
231863|318|49579|2.502|346.85|166.84|1|1|None|None|None
231864|318|49580|2.502|346.85|166.84|1|1|None|None|None
231865|318|49581|2.502|346.85|166.84|1|1|None|None|None
231866|318|49582|14.674|143.04|323.11|None|None|None|None|None
231867|318|49583|14.674|143.04|323.11|None|None|None|None|None
231868|318|49584|14.674|143.04|323.11|None|None|None|None|None
231869|318|49585|10.115|134.84|314.89|None|None|None|None|None
231870|318|49586|10.115|134.84|314.89|None|None|None|None|None
231871|318|49587|10.115|134.84|314.89|None|None|None|None|None
231872|318|49588|6.14|165.45|345.46|0|0|None|None|None
231873|318|49589|6.14|165.45|345.46|0|0|None|None|None
231874|318|49590|6.14|165.45|345.46|0|0|None|None|None
231875|318|61|39.402|298.75|118.48|None|0|None|None|None
231876|318|64|28.697|111.0|291.21|None|0|None|None|None
231877|318|4|6.406|334.38|154.36|1|1|None|None|None
231878|318|35721|12.457|105.83|285.92|None|None|None|None|None
231879|318|35722|12.457|105.83|285.92|None|None|None|None|None
231880|318|35723|12.457|105.83|285.92|None|None|None|None|None
231881|318|5|15.508|260.07|79.95|None|0|None|None|None
231882|318|35727|9.5|226.66|46.6|0|None|None|None|None
231883|318|35728|9.5|226.66|46.6|0|None|None|None|None
231884|318|35729|9.5|226.66|46.6|0|None|None|None|None
231885|318|35733|10.652|173.1|353.11|None|None|None|None|None
231886|318|35734|10.652|173.1|353.11|None|None|None|None|None
231887|318|35735|10.652|173.1|353.11|None|None|None|None|None
231888|318|8|19.882|157.94|338.0|None|None|None|None|None
231889|318|9|19.882|157.94|338.0|None|None|None|None|None
231890|318|10|19.882|157.94|338.0|None|None|None|None|None
231891|318|68|48.632|71.37|251.73|None|0|None|None|None
231892|318|11|7.1|41.5|221.54|1|1|None|None|None
231893|318|70|27.845|273.58|93.36|None|0|None|None|None
231894|318|73|37.333|187.7|7.66|None|0|None|None|None
231895|318|1|23.051|277.45|97.27|None|None|None|None|None
231896|318|2|23.051|277.45|97.27|None|None|None|None|None
231897|318|3|23.051|277.45|97.27|None|0|None|None|None
231898|318|30|46.77|338.17|158.03|None|None|None|None|None
231899|318|31|46.77|338.17|158.03|None|None|None|None|None
231900|318|32|46.77|338.17|158.03|None|0|None|None|None
239903|318|37755|265.888|17.24|197.91|None|None|None|None|0
239904|318|37760|267.249|15.73|196.34|None|None|None|None|0
239905|318|37777|257.048|17.5|198.15|None|None|None|None|0
239906|318|50185|14.678|143.02|323.09|None|None|None|None|0
239907|318|50186|14.677|143.09|323.16|None|None|None|None|0
239908|318|50187|14.664|143.01|323.08|None|None|None|None|0
239909|318|50188|14.677|142.96|323.03|None|None|None|None|0
239910|318|50189|14.694|143.04|323.11|None|None|None|None|0
239911|318|50190|10.115|134.8|314.86|None|None|None|None|0
239912|318|50191|10.107|134.73|314.79|None|None|None|None|0
