# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
31|West Salt Creek precursor|2014-05-25 13:18:52|2014-05-25 13:19:48|39.168051|-107.848303|0.5|None|None|None|None|landslide, debris flow|None|None|None|None|586000.0|100000.0|1000000.0|None|None|None|None|None|None|None|None|None|5|1|135.0|1|490.0|1|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
53|31|50|Some deposits from this event were carried on the top of the larger rock avalanche.|None|None|None
59|31|None|Faint long period signals are observable on O22A, S22A, RDMU, SRU, and Q24A|None|None|None
244|31|50|Volume estimate from Coe and others (2016). Initial landslide type not known. Debris flow deposits were found for this event, but the seismic signal seemed too short-lived and energetic for this event to have solely been a debris flow.|None|None|None
357|13|None|Seismic data from some of the closest stations for this event are not publicly available, including data from the North Fork Valley Seismic Network(NF) network, operated by the National Institute for Occupational Safety and Health (NIOSH) and the US Bureau of Reclamation Paradox Valley Network (RE). Data used for measurements included in this database were provided by these organizations. We do not have permission to redistribute the raw data.|None|None|31

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
710|31|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/31_WestSaltCreekprecursor_25May2014/photos_figures/31_WestSaltCreekprecursor_25May2014_waveforms_raw.png|None
711|31|Kate Allstadt|Long period (20-60 sec) ground displacement waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database, based on high frequency waveform). Waveforms are corrected for station response after detrending using a linear fit and tapering. Zero mean cosine filter applied with station correction may cause acausal arrivals. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|event_data/31_WestSaltCreekprecursor_25May2014/photos_figures/31_WestSaltCreekprecursor_25May2014_waveforms_20-60sec.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
17648|31|1356|495.496|233.53|50.8|None|None
17649|31|1357|495.496|233.53|50.8|None|None
17650|31|1358|495.496|233.53|50.8|None|None
17651|31|5449|547.805|200.65|19.38|None|None
17652|31|5450|547.805|200.65|19.38|None|None
17653|31|5451|547.805|200.65|19.38|None|None
17654|31|5452|533.333|207.85|26.21|None|None
17655|31|5453|554.406|226.64|43.94|None|None
17656|31|5454|557.352|218.37|36.07|None|None
17657|31|5455|557.352|218.37|36.07|None|None
17658|31|5456|557.352|218.37|36.07|None|None
17659|31|1763|515.264|229.3|46.65|None|None
17660|31|5457|577.792|214.19|32.05|None|None
17661|31|1359|404.355|232.79|50.57|None|None
17662|31|1764|565.284|237.68|54.42|None|None
17663|31|5458|584.492|223.63|40.95|None|None
17664|31|5459|596.766|223.16|40.45|None|None
17665|31|1771|523.133|326.71|144.39|None|None
17666|31|1773|515.195|325.5|143.15|None|None
17667|31|1775|595.105|321.82|138.83|None|None
17668|31|1777|596.306|325.4|142.64|None|None
17669|31|1778|596.306|325.4|142.64|None|None
17670|31|1779|596.306|325.4|142.64|None|None
17671|31|1360|484.59|164.78|345.62|None|0
17672|31|1361|484.59|164.78|345.62|None|0
17673|31|1362|484.59|164.78|345.62|None|None
17674|31|1363|424.793|340.75|159.63|None|None
17675|31|1364|424.793|340.75|159.63|None|None
17676|31|1365|424.793|340.75|159.63|None|None
17677|31|1366|484.604|164.78|345.62|None|0
17678|31|1367|484.604|164.78|345.62|None|0
17679|31|1368|484.604|164.78|345.62|None|0
17680|31|1369|484.611|164.78|345.62|None|None
17681|31|1370|484.611|164.78|345.62|None|None
17682|31|1371|484.611|164.78|345.62|None|None
17683|31|1788|595.214|337.42|155.52|None|None
17684|31|1789|595.214|337.42|155.52|None|None
17685|31|1790|595.214|337.42|155.52|None|None
17686|31|1791|563.01|332.88|150.77|None|None
17687|31|1792|563.01|332.88|150.77|None|None
17688|31|1793|563.01|332.88|150.77|None|None
17689|31|1794|585.027|334.86|152.81|None|None
17690|31|1795|585.027|334.86|152.81|None|None
17691|31|1796|585.027|334.86|152.81|None|None
17692|31|1797|544.662|335.87|154.05|None|None
17693|31|1798|544.662|335.87|154.05|None|None
17694|31|1799|544.662|335.87|154.05|None|None
17695|31|1803|563.258|335.51|153.59|None|None
17696|31|1804|563.258|335.51|153.59|None|None
17697|31|1805|563.258|335.51|153.59|None|None
17698|31|1372|312.244|39.89|221.43|None|0
17699|31|1373|312.244|39.89|221.43|None|0
17700|31|1374|312.244|39.89|221.43|None|0
17701|31|1806|529.371|332.6|150.62|None|None
17702|31|1807|529.371|332.6|150.62|None|None
17703|31|1808|529.371|332.6|150.62|None|None
17704|31|1198|285.109|10.74|191.16|None|0
17705|31|1199|285.109|10.74|191.16|None|0
17706|31|1200|285.109|10.74|191.16|None|1
17707|31|1201|75.569|88.92|269.47|0|0
17708|31|1202|75.569|88.92|269.47|0|0
17709|31|1203|75.569|88.92|269.47|0|0
17710|31|1809|535.37|333.91|151.99|None|None
17711|31|1810|535.37|333.91|151.99|None|None
17712|31|1811|535.37|333.91|151.99|None|None
17713|31|1812|545.659|332.6|150.55|None|None
17714|31|1813|545.659|332.6|150.55|None|None
17715|31|1814|545.659|332.6|150.55|None|None
17716|31|1375|385.978|260.36|77.62|None|None
17717|31|1376|385.978|260.36|77.62|None|None
17718|31|1377|385.978|260.36|77.62|None|None
17719|31|5460|571.359|171.35|351.91|None|None
17720|31|5461|571.359|171.35|351.91|None|None
17721|31|5462|571.359|171.35|351.91|None|None
17722|31|5463|571.432|171.36|351.91|None|None
17723|31|5464|571.432|171.36|351.91|None|None
17724|31|5465|571.432|171.36|351.91|None|None
17725|31|5466|571.359|171.35|351.91|None|None
17726|31|5467|571.359|171.35|351.91|None|None
17727|31|5468|571.359|171.35|351.91|None|None
17728|31|5469|571.359|171.35|351.91|None|None
17729|31|5470|571.359|171.35|351.91|None|None
17730|31|5471|571.359|171.35|351.91|None|None
17731|31|5472|571.359|171.35|351.91|None|None
17732|31|5473|571.359|171.35|351.91|None|None
17733|31|5474|571.359|171.35|351.91|None|None
17734|31|5475|571.432|171.36|351.91|None|None
17735|31|5476|571.432|171.36|351.91|None|None
17736|31|5477|571.432|171.36|351.91|None|None
17737|31|5478|571.432|171.36|351.91|None|None
17738|31|5479|571.432|171.36|351.91|None|None
17739|31|5480|571.432|171.36|351.91|None|None
17740|31|5481|571.432|171.36|351.91|None|None
17741|31|5482|571.432|171.36|351.91|None|None
17742|31|5483|571.432|171.36|351.91|None|None
17743|31|5484|571.392|171.35|351.91|None|None
17744|31|5485|571.392|171.35|351.91|None|None
17745|31|5486|571.392|171.35|351.91|None|None
17746|31|5487|571.417|171.35|351.91|None|None
17747|31|5488|571.417|171.35|351.91|None|None
17748|31|5489|571.417|171.35|351.91|None|None
17749|31|5490|571.417|171.35|351.91|None|None
17750|31|5491|571.417|171.35|351.91|None|None
17751|31|5492|571.417|171.35|351.91|None|None
17752|31|5493|571.417|171.35|351.91|None|None
17753|31|5494|571.417|171.35|351.91|None|None
17754|31|5495|571.417|171.35|351.91|None|None
17755|31|5496|571.417|171.35|351.91|None|None
17756|31|5497|571.417|171.35|351.91|None|None
17757|31|5498|571.417|171.35|351.91|None|None
17758|31|5499|571.417|171.35|351.91|None|None
17759|31|5500|571.417|171.35|351.91|None|None
17760|31|5501|571.417|171.35|351.91|None|None
17761|31|5502|571.417|171.35|351.91|None|None
17762|31|5503|571.417|171.35|351.91|None|None
17763|31|5504|571.417|171.35|351.91|None|None
17764|31|5505|571.417|171.35|351.91|None|None
17765|31|5506|571.417|171.35|351.91|None|None
17766|31|5507|571.417|171.35|351.91|None|None
17767|31|5508|571.417|171.35|351.91|None|None
17768|31|5509|571.417|171.35|351.91|None|None
17769|31|5510|571.417|171.35|351.91|None|None
17770|31|5511|571.417|171.35|351.91|None|None
17771|31|5512|571.417|171.35|351.91|None|None
17772|31|5513|571.417|171.35|351.91|None|None
17773|31|5514|571.432|171.36|351.91|None|None
17774|31|5515|571.432|171.36|351.91|None|None
17775|31|5516|571.432|171.36|351.91|None|None
17776|31|5517|571.432|171.36|351.91|None|None
17777|31|5518|571.432|171.36|351.91|None|None
17778|31|5519|571.432|171.36|351.91|None|None
17779|31|5520|571.432|171.36|351.91|None|None
17780|31|5521|571.432|171.36|351.91|None|None
17781|31|5522|571.432|171.36|351.91|None|None
17782|31|5523|571.432|171.36|351.91|None|None
17783|31|5524|571.432|171.36|351.91|None|None
17784|31|5525|571.432|171.36|351.91|None|None
17785|31|1378|465.467|166.41|347.13|None|None
17786|31|1204|234.951|73.49|255.16|None|None
17787|31|1205|228.446|175.19|355.33|None|None
17788|31|1379|410.132|190.27|9.78|None|None
17789|31|1206|280.66|56.04|237.8|None|None
17790|31|5526|496.951|111.48|294.72|None|None
17791|31|5527|554.068|193.32|12.49|None|None
17792|31|1207|252.148|72.38|254.16|None|None
17793|31|5528|524.993|209.8|28.07|None|None
17794|31|1847|515.168|330.16|148.09|None|None
17795|31|1848|553.587|340.09|158.53|None|None
17796|31|1849|552.188|334.28|152.32|None|None
17797|31|1850|509.216|333.82|151.99|None|None
17798|31|1851|539.697|329.6|147.38|None|None
17799|31|1852|582.952|336.89|155.0|None|None
17800|31|1853|591.915|331.68|149.36|None|None
17801|31|1854|538.242|338.12|156.47|None|None
17802|31|1855|538.242|338.12|156.47|None|None
17803|31|1856|538.242|338.12|156.47|None|None
17804|31|1857|538.242|338.12|156.47|None|None
17805|31|1858|544.658|335.87|154.05|None|None
17806|31|1859|563.258|335.51|153.59|None|None
17807|31|1860|563.587|329.86|147.54|None|None
17808|31|1208|130.828|208.94|28.49|0|None
17809|31|1209|130.789|208.89|28.44|0|0
17810|31|1210|130.789|208.89|28.44|0|0
17811|31|1211|130.789|208.89|28.44|0|0
17812|31|1212|131.741|216.23|35.67|None|None
17813|31|1213|131.696|216.16|35.61|1|0
17814|31|1214|131.696|216.16|35.61|1|0
17815|31|1215|131.696|216.16|35.61|0|0
17816|31|1216|133.601|220.92|40.29|1|None
17817|31|1217|133.567|220.92|40.29|1|0
17818|31|1218|133.567|220.92|40.29|0|0
17819|31|1219|133.567|220.92|40.29|0|0
17820|31|1220|125.825|227.22|46.56|None|None
17821|31|1221|125.842|227.08|46.42|1|0
17822|31|1222|125.842|227.08|46.42|1|0
17823|31|1223|125.842|227.08|46.42|1|0
17824|31|1224|162.794|222.39|41.61|None|None
17825|31|1225|149.417|221.07|40.37|None|0
17826|31|1226|149.417|221.07|40.37|None|0
17827|31|1227|149.417|221.07|40.37|None|0
17828|31|1228|106.667|220.81|40.31|None|None
17829|31|1229|106.184|220.88|40.38|0|0
17830|31|1230|106.184|220.88|40.38|0|0
17831|31|1231|106.184|220.88|40.38|0|0
17832|31|1232|95.502|226.79|46.29|None|None
17833|31|1233|134.066|236.75|55.94|0|None
17834|31|1234|135.75|230.02|49.28|None|None
17835|31|1235|142.364|227.07|46.33|None|0
17836|31|1236|142.364|227.07|46.33|None|0
17837|31|1237|142.364|227.07|46.33|None|0
17838|31|1238|131.308|223.03|42.39|0|0
17839|31|1239|131.308|223.03|42.39|0|0
17840|31|1240|131.308|223.03|42.39|0|0
17841|31|1241|125.673|221.6|41.0|1|0
17842|31|1242|125.673|221.6|41.0|1|0
17843|31|1243|125.673|221.6|41.0|1|0
17844|31|1244|140.378|217.36|36.76|None|0
17845|31|1245|140.378|217.36|36.76|None|0
17846|31|1246|140.378|217.36|36.76|None|0
17847|31|1247|134.952|229.52|48.78|0|0
17848|31|1248|134.952|229.52|48.78|1|0
17849|31|1249|134.952|229.52|48.78|1|0
17850|31|1250|106.947|211.15|30.75|None|None
17851|31|1251|106.929|211.1|30.7|0|0
17852|31|1252|106.929|211.1|30.7|0|0
17853|31|1253|106.929|211.1|30.7|0|0
17854|31|1254|132.898|224.64|43.97|0|0
17855|31|1255|132.898|224.64|43.97|0|0
17856|31|1256|132.898|224.64|43.97|0|0
17857|31|1257|138.049|224.77|44.08|None|0
17858|31|1258|138.049|224.77|44.08|None|0
17859|31|1259|138.049|224.77|44.08|None|0
17860|31|1260|137.785|222.37|41.71|None|0
17861|31|1261|137.785|222.37|41.71|None|0
17862|31|1262|137.785|222.37|41.71|None|0
17863|31|1263|137.155|226.36|45.65|None|0
17864|31|1264|137.155|226.36|45.65|None|0
17865|31|1265|137.155|226.36|45.65|None|0
17866|31|1266|133.71|227.02|46.32|0|0
17867|31|1267|133.71|227.02|46.32|0|0
17868|31|1268|133.71|227.02|46.32|0|0
17869|31|1269|118.74|235.79|55.08|0|0
17870|31|1270|118.74|235.79|55.08|0|0
17871|31|1271|118.74|235.79|55.08|0|0
17872|31|1272|107.606|229.54|48.95|0|0
17873|31|1273|107.606|229.54|48.95|0|0
17874|31|1274|107.606|229.54|48.95|0|0
17875|31|1275|128.53|232.16|51.43|1|0
17876|31|1276|128.53|232.16|51.43|1|0
17877|31|1277|128.53|232.16|51.43|0|0
17878|31|1861|584.642|334.74|152.68|None|None
17879|31|1862|529.371|332.6|150.62|None|None
17880|31|1278|101.079|177.06|357.09|None|None
17881|31|1279|101.079|177.06|357.09|None|None
17882|31|1280|101.079|177.06|357.09|None|None
17883|31|1281|96.053|173.67|353.75|None|None
17884|31|1282|96.053|173.67|353.75|None|None
17885|31|1283|96.053|173.67|353.75|None|None
17886|31|1284|102.852|172.11|352.21|None|None
17887|31|1285|102.852|172.11|352.21|None|None
17888|31|1286|102.852|172.11|352.21|None|None
17889|31|1287|114.069|169.7|349.85|None|None
17890|31|1288|114.069|169.7|349.85|None|None
17891|31|1289|114.069|169.7|349.85|None|None
17892|31|1290|120.791|179.34|359.35|None|None
17893|31|1291|107.465|184.0|3.94|None|None
17894|31|1863|535.37|333.91|151.99|None|None
17895|31|1864|591.792|337.29|155.39|None|None
17896|31|1865|573.859|333.81|151.73|None|None
17897|31|1866|545.659|332.6|150.55|None|None
17898|31|1867|556.988|336.86|155.06|None|None
17899|31|5529|567.433|168.54|349.27|None|None
17900|31|5530|545.527|174.3|354.65|None|None
17901|31|3079|1258.126|270.2|81.14|None|None
17902|31|5531|551.796|171.98|352.48|None|None
17903|31|5532|560.605|171.72|352.25|None|None
17904|31|5533|560.605|171.72|352.25|None|None
17905|31|5534|560.605|171.72|352.25|None|None
17906|31|5535|549.76|168.23|348.96|None|None
17907|31|1380|487.219|172.4|352.83|None|None
17908|31|5536|579.339|173.88|354.28|None|None
17909|31|5537|575.049|170.85|351.44|None|None
17910|31|5538|575.049|170.85|351.44|None|None
17911|31|5539|575.049|170.85|351.44|None|None
17912|31|5540|571.218|171.6|352.14|None|None
17913|31|5541|585.837|171.98|352.5|None|None
17914|31|5542|585.837|171.98|352.5|None|None
17915|31|5543|585.837|171.98|352.5|None|None
17916|31|1381|402.512|15.66|196.53|None|0
17917|31|1382|402.512|15.66|196.53|None|0
17918|31|1383|402.512|15.66|196.53|None|1
17919|31|1384|402.512|15.66|196.53|None|None
17920|31|1385|451.979|90.56|273.85|None|0
17921|31|1386|451.979|90.56|273.85|None|0
17922|31|1387|451.979|90.56|273.85|None|0
17923|31|1388|451.979|90.56|273.85|None|None
17924|31|1292|251.334|39.68|220.91|None|1
17925|31|1293|251.334|39.68|220.91|None|1
17926|31|1294|251.334|39.68|220.91|None|1
17927|31|1295|112.518|342.67|162.42|0|0
17928|31|1296|112.518|342.67|162.42|0|0
17929|31|1297|112.518|342.67|162.42|0|1
17930|31|1298|112.518|342.67|162.42|0|0
17931|31|1299|234.682|94.68|276.39|None|0
17932|31|1300|234.682|94.68|276.39|None|0
17933|31|1301|234.682|94.68|276.39|None|1
17934|31|1302|181.175|150.28|330.91|None|1
17935|31|1303|181.175|150.28|330.91|None|1
17936|31|1304|181.175|150.28|330.91|None|1
17937|31|1389|376.133|125.71|307.83|None|0
17938|31|1390|376.133|125.71|307.83|None|0
17939|31|1391|376.133|125.71|307.83|None|0
17940|31|5544|571.429|171.36|351.92|None|None
17941|31|5545|571.429|171.36|351.92|None|None
17942|31|5546|571.429|171.36|351.92|None|None
17943|31|5547|571.429|171.36|351.92|None|None
17944|31|1393|479.692|201.04|19.89|None|0
17945|31|1394|479.692|201.04|19.89|None|0
17946|31|1395|479.692|201.04|19.89|None|0
17947|31|1392|479.692|201.04|19.89|None|None
17948|31|5548|571.345|171.37|351.93|None|None
17949|31|5549|571.345|171.37|351.93|None|None
17950|31|5550|571.345|171.37|351.93|None|None
17951|31|5551|571.345|171.37|351.93|None|None
17952|31|1396|484.2|326.63|144.5|None|0
17953|31|1397|484.2|326.63|144.5|None|0
17954|31|1398|484.2|326.63|144.5|None|0
17955|31|1399|424.747|340.75|159.63|None|0
17956|31|1400|424.747|340.75|159.63|None|0
17957|31|1401|424.747|340.75|159.63|None|0
17958|31|1402|440.871|286.56|103.39|None|0
17959|31|1403|440.871|286.56|103.39|None|1
17960|31|1404|440.871|286.56|103.39|None|1
17961|31|1405|415.79|311.83|129.42|None|0
17962|31|1406|415.79|311.83|129.42|None|0
17963|31|1407|415.79|311.83|129.42|None|0
17964|31|1305|204.658|69.25|250.67|None|1
17965|31|1306|204.658|69.25|250.67|None|1
17966|31|1307|204.658|69.25|250.67|None|1
17967|31|1308|224.652|194.89|14.49|None|0
17968|31|1309|224.652|194.89|14.49|None|0
17969|31|1310|224.652|194.89|14.49|None|1
17970|31|5552|533.835|66.46|250.2|None|None
17971|31|5553|533.835|66.46|250.2|None|None
17972|31|5554|533.835|66.46|250.2|None|None
17973|31|1311|258.639|126.89|308.35|None|0
17974|31|1312|258.639|126.89|308.35|None|0
17975|31|1313|258.639|126.89|308.35|None|1
17976|31|5555|511.565|218.71|36.57|None|None
17977|31|5556|511.565|218.71|36.57|None|None
17978|31|5557|511.565|218.71|36.57|None|None
17979|31|1314|242.971|288.26|106.55|None|None
17980|31|1885|511.334|254.32|70.84|None|None
17981|31|1315|226.006|283.44|101.81|None|None
17982|31|1316|256.809|284.98|103.14|None|None
17983|31|1408|466.748|315.8|133.24|None|None
17984|31|1409|483.012|295.41|112.07|None|0
17985|31|1410|483.012|295.41|112.07|None|0
17986|31|1411|483.012|295.41|112.07|None|0
17987|31|1412|471.209|249.79|66.67|None|None
17988|31|1413|471.209|249.79|66.67|None|None
17989|31|1414|471.209|249.79|66.67|None|None
17990|31|1415|422.083|318.31|136.1|None|None
17991|31|1317|251.64|278.65|96.81|None|0
17992|31|1318|251.64|278.65|96.81|None|0
17993|31|1319|251.64|278.65|96.81|None|0
17994|31|1320|291.91|302.29|120.42|None|0
17995|31|1321|291.91|302.29|120.42|None|0
17996|31|1322|291.91|302.29|120.42|None|1
17997|31|1416|384.729|247.22|64.71|None|None
17998|31|1886|514.215|251.3|67.87|None|None
17999|31|1887|514.215|251.3|67.87|None|None
18000|31|1888|514.215|251.3|67.87|None|None
18001|31|1323|156.68|232.06|51.17|None|None
18002|31|1417|373.988|298.15|115.64|None|0
18003|31|1418|373.988|298.15|115.64|None|0
18004|31|1419|373.988|298.15|115.64|None|0
18005|31|1324|289.035|265.53|83.43|None|0
18006|31|1325|289.035|265.53|83.43|None|0
18007|31|1326|289.035|265.53|83.43|None|0
18008|31|1420|390.874|292.63|109.91|None|None
18009|31|1421|322.892|296.42|114.24|None|None
18010|31|1327|280.529|274.33|92.28|None|None
18011|31|1328|242.628|284.82|103.08|None|None
18012|31|1422|344.059|294.87|112.51|None|None
18013|31|1423|463.515|256.88|73.66|None|None
18014|31|1424|469.103|241.77|58.89|None|None
18015|31|1329|293.712|281.34|99.21|None|None
18016|31|1330|265.106|286.63|104.75|None|None
18017|31|1331|265.106|286.63|104.75|None|None
18018|31|1332|265.106|286.63|104.75|None|None
