# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
329|White River, Mount Hood|2023-04-24 16:21:25|2023-04-24 16:39:30|45.3329|-121.7021|0.1|45.3329|-121.7021|45.3119|-121.6829|snow avalanche|None|None|None|None|330000.0|33000.0|None|None|None|None|None|None|None|2900.0|2700.0|3200.0|None|None|None|None|None|None|None|None|None|None|3|0|None|None|19.0|1|None|None|0.0|None|0|0.0|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
841|329|356|Location coordinates, H, and L estimated using Google Earth and information and photos from the NWAC observation: https://nwac.us/public-obs/22488/ (NWAC, 2023a).|None|None|None
882|329|356|This was a D5, wet slab snow avalanche (NWAC, 2023a).|None|None|None
883|329|369|Volume estimated using the snow avalanche destructive potential classification (D scale) provided in Table 3.8 from American Avalanche Association (2022), using the reported NWAC size of D5 and a density of 300 kg/m3 (American Avalanche Association, 2022), rounded to two significant digits. Volume_low estimated as a D size below the reported size.|None|None|None
917|329|353|This event occurred on two large failure surfaces where the first failure triggered the other. The seismic signal for this event appears impulsive but this impulsivity is not related to dynamite-triggered avalanche mitigation, because the ski resort does not allow this type of mitigation (Thelen, written commun., 2024).|None|None|None
836|330|353|This event was reported by Thelen (written commun., 2024) and identified during routine, daily checks of spectrogram plots. Locations were determined using an amplitude-based seismic location method and confirmed using NWAC reports, photographs, and/or satellite imagery.|None|None|327,328,329,331,332,333,334

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1700|329|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/329_WhiteRiverMountHood_24Apr2023/photos_figures/329_WhiteRiverMountHood_24Apr2023_waveforms_raw.png|None
1701|329|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/329_WhiteRiverMountHood_24Apr2023/photos_figures/329_WhiteRiverMountHood_24Apr2023_waveforms_1-5Hz.png|None
1702|329|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/329_WhiteRiverMountHood_24Apr2023/photos_figures/329_WhiteRiverMountHood_24Apr2023_spectrogram.png|None
1703|329|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/329_WhiteRiverMountHood_24Apr2023/photos_figures/329_WhiteRiverMountHood_24Apr2023_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
356|329|None|Northwest Avalanche Center, 24 Apr 2023, Lance Downing [Observation], Accessed 21 Nov 2024 at https://nwac.us/public-obs/22488/|NWAC (2023)a|None|https://nwac.us/public-obs/22488/

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
237200|329|34596|7.646|356.28|176.28|None|1|None|0|None
237201|329|34597|7.646|356.28|176.28|None|1|None|0|None
237202|329|34598|7.646|356.28|176.28|None|1|None|0|None
237203|329|34602|14.048|324.09|144.02|None|1|None|0|None
237204|329|34603|14.048|324.09|144.02|None|1|None|0|None
237205|329|34604|14.048|324.09|144.02|None|1|None|0|None
237206|329|49989|69.415|296.75|116.18|None|0|None|None|None
237207|329|49990|69.415|296.75|116.18|None|0|None|None|None
237208|329|49991|69.415|296.75|116.18|None|0|None|None|None
237209|329|34611|5.235|55.44|235.47|None|1|None|0|None
237210|329|34612|5.235|55.44|235.47|None|1|None|0|None
237211|329|34613|5.235|55.44|235.47|None|1|None|0|None
237212|329|34620|2.866|354.61|174.61|None|1|None|0|None
237213|329|34621|2.866|354.61|174.61|None|1|None|0|None
237214|329|34622|2.866|354.61|174.61|None|1|None|0|None
237215|329|10010|19.938|42.84|222.96|None|0|None|0|None
237216|329|10011|19.938|42.84|222.96|None|0|None|0|None
237217|329|10012|19.938|42.84|222.96|None|0|None|0|None
237218|329|34641|0.719|295.84|115.83|None|1|None|0|None
237219|329|34642|0.719|295.84|115.83|None|1|None|0|None
237220|329|34643|0.719|295.84|115.83|None|1|None|0|None
237221|329|34647|6.082|327.75|147.72|None|None|None|None|None
237222|329|34648|6.082|327.75|147.72|None|None|None|None|None
237223|329|34649|6.082|327.75|147.72|None|None|None|None|None
237224|329|43314|97.851|277.41|96.53|None|0|None|None|None
237225|329|43315|97.851|277.41|96.53|None|0|None|None|None
237226|329|43316|97.851|277.41|96.53|None|0|None|None|None
237227|329|43323|96.319|288.98|108.15|None|0|None|None|None
237228|329|43324|96.319|288.98|108.15|None|0|None|None|None
237229|329|43325|96.319|288.98|108.15|None|0|None|None|None
237230|329|43326|78.415|295.04|114.39|None|0|None|None|None
237231|329|43327|78.415|295.04|114.39|None|0|None|None|None
237232|329|43328|78.415|295.04|114.39|None|0|None|None|None
237233|329|113|96.375|338.01|157.68|None|0|None|None|None
237234|329|114|96.375|338.01|157.68|None|0|None|None|None
237235|329|115|96.375|338.01|157.68|None|0|None|None|None
237236|329|552|96.743|281.77|100.9|None|0|None|None|None
237237|329|49992|92.412|279.02|98.19|None|0|None|None|None
237238|329|49993|92.412|279.02|98.19|None|0|None|None|None
237239|329|49994|92.412|279.02|98.19|None|0|None|None|None
237240|329|49995|59.72|285.63|105.11|None|0|None|None|None
237241|329|49996|59.72|285.63|105.11|None|0|None|None|None
237242|329|49997|59.72|285.63|105.11|None|0|None|None|None
237243|329|31161|31.871|108.3|288.58|None|0|None|0|None
237244|329|31162|31.871|108.3|288.58|None|0|None|0|None
237245|329|31163|31.871|108.3|288.58|None|0|None|0|None
237246|329|31167|81.526|249.0|68.31|None|0|None|None|None
237247|329|31168|81.526|249.0|68.31|None|0|None|None|None
237248|329|31169|81.526|249.0|68.31|None|0|None|None|None
237249|329|35043|86.055|286.25|105.5|None|0|None|None|None
237250|329|35044|86.055|286.25|105.5|None|0|None|None|None
237251|329|35045|86.055|286.25|105.5|None|0|None|None|None
237252|329|128|91.44|4.87|184.94|None|0|None|None|None
237253|329|49959|90.041|5.16|185.23|None|0|None|None|None
237254|329|49960|90.041|5.16|185.23|None|0|None|None|None
237255|329|49961|90.041|5.16|185.23|None|0|None|None|None
237256|329|348|44.824|2.03|182.04|None|0|None|None|None
237257|329|3022|81.619|208.05|27.71|None|0|None|None|None
237258|329|3023|81.619|208.05|27.71|None|0|None|None|None
237259|329|3024|81.619|208.05|27.71|None|0|None|None|None
237260|329|129|91.162|343.03|162.79|None|0|None|None|None
237261|329|49962|91.187|343.04|162.79|None|0|None|None|None
237262|329|49963|91.187|343.04|162.79|None|0|None|None|None
237263|329|49964|91.187|343.04|162.79|None|0|None|None|None
237264|329|35111|4.182|106.4|286.44|None|1|None|0|None
237265|329|35112|4.182|106.4|286.44|None|1|None|0|None
237266|329|35113|4.182|106.4|286.44|None|1|None|0|None
237267|329|4197|84.406|96.97|277.73|None|0|None|None|None
237268|329|4198|84.406|96.97|277.73|None|0|None|None|None
237269|329|4199|84.406|96.97|277.73|None|0|None|None|None
237270|329|24445|64.231|17.03|197.21|None|0|None|None|None
237271|329|24446|64.231|17.03|197.21|None|0|None|None|None
237272|329|24447|64.231|17.03|197.21|None|0|None|None|None
237273|329|3035|62.535|257.23|76.68|None|0|None|None|None
