# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
330|White River, Mount Hood|2023-08-27 23:44:30|2023-08-28 00:12:04|45.3497|-121.6957|0.1|45.3497|-121.6957|45.308|-121.68|debris flow|None|None|None|None|None|None|None|None|None|None|800.0|700.0|900.0|5000.0|4800.0|5400.0|None|None|None|None|None|None|None|None|None|None|4|0|7.0|1|32.0|1|None|None|0.0|None|0|0.0|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.

# 
# gisfiles
# 
# GisId|Eventid|Type|Source|Description|FileExtension|ApplyAlso
205|330|Static map - pdf|QGIS - ecollins; Planet|Static map with pre- and post-event PlanetScope satellite imagery (~3m resolution) that shows a section of the White River where the channel widened and migrated.|EventData/330_WhiteRiverMountHood_27Aug2023/maps_gis/330_WhiteRiverMountHood_20230827_map.pdf|None
219|330|Static map - png|QGIS - ecollins; Planet|Static map with pre- and post-event PlanetScope satellite imagery (~3m resolution) that shows a section of the White River where the channel widened and migrated.|EventData/330_WhiteRiverMountHood_27Aug2023/maps_gis/330_WhiteRiverMountHood_20230827_map.png|None

# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
836|330|353|This event was reported by Thelen (written commun., 2024) and identified during routine, daily checks of spectrogram plots. Locations were determined using an amplitude-based seismic location method and confirmed using NWAC reports, photographs, and/or satellite imagery.|None|None|327,328,329,331,332,333,334
842|330|None|Location coordinates, H, and L based on Google Earth and Planet satellite imagery captured 2023-09-02.|None|205|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1704|330|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/330_WhiteRiverMountHood_27Aug2023/photos_figures/330_WhiteRiverMountHood_27Aug2023_waveforms_raw.png|None
1705|330|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/330_WhiteRiverMountHood_27Aug2023/photos_figures/330_WhiteRiverMountHood_27Aug2023_waveforms_1-5Hz.png|None
1706|330|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/330_WhiteRiverMountHood_27Aug2023/photos_figures/330_WhiteRiverMountHood_27Aug2023_spectrogram.png|None
1707|330|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/330_WhiteRiverMountHood_27Aug2023/photos_figures/330_WhiteRiverMountHood_27Aug2023_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
237294|330|34596|5.848|350.19|170.18|1|1|None|0|None
237295|330|34597|5.848|350.19|170.18|1|1|None|0|None
237296|330|34598|5.848|350.19|170.18|1|1|None|0|None
237297|330|34602|12.917|317.42|137.34|0|1|None|0|None
237298|330|34603|12.917|317.42|137.34|0|1|None|0|None
237299|330|34604|12.917|317.42|137.34|0|1|None|0|None
237300|330|49989|69.048|295.18|114.61|None|0|None|None|None
237301|330|49990|69.048|295.18|114.61|None|0|None|None|None
237302|330|49991|69.048|295.18|114.61|None|0|None|None|None
237303|330|34611|3.966|73.86|253.89|1|1|None|0|None
237304|330|34612|3.966|73.86|253.89|1|1|None|0|None
237305|330|34613|3.966|73.86|253.89|1|1|None|0|None
237306|330|34620|1.252|322.0|141.99|1|1|None|0|None
237307|330|34621|1.252|322.0|141.99|1|1|None|0|None
237308|330|34622|1.252|322.0|141.99|1|1|None|0|None
237309|330|10010|18.25|45.67|225.79|0|1|None|0|None
237310|330|10011|18.25|45.67|225.79|0|1|None|0|None
237311|330|10012|18.25|45.67|225.79|0|1|None|0|None
237312|330|34641|1.932|216.48|36.47|1|1|None|0|None
237313|330|34642|1.932|216.48|36.47|1|1|None|0|None
237314|330|34643|1.932|216.48|36.47|1|1|None|0|None
237315|330|34647|4.978|311.17|131.14|0|1|None|0|None
237316|330|34648|4.978|311.17|131.14|0|1|None|0|None
237317|330|34649|4.978|311.17|131.14|0|1|None|0|None
237318|330|43314|98.126|276.3|95.41|None|0|None|None|None
237319|330|43315|98.126|276.3|95.41|None|0|None|None|None
237320|330|43316|98.126|276.3|95.41|None|0|None|None|None
237321|330|43323|96.205|287.84|107.0|None|0|None|None|None
237322|330|43324|96.205|287.84|107.0|None|0|None|None|None
237323|330|43325|96.205|287.84|107.0|None|0|None|None|None
237324|330|43326|78.103|293.65|113.0|None|0|None|None|None
237325|330|43327|78.103|293.65|113.0|None|0|None|None|None
237326|330|43328|78.103|293.65|113.0|None|0|None|None|None
237327|330|113|94.838|337.32|156.98|None|0|None|None|None
237328|330|114|94.838|337.32|156.98|None|0|None|None|None
237329|330|115|94.838|337.32|156.98|None|0|None|None|None
237330|330|552|96.872|280.63|99.76|None|0|None|None|None
237331|330|49992|92.635|277.83|97.0|None|0|None|None|None
237332|330|49993|92.635|277.83|97.0|None|0|None|None|None
237333|330|49994|92.635|277.83|97.0|None|0|None|None|None
237334|330|49995|59.732|283.78|103.25|None|0|None|None|None
237335|330|49996|59.732|283.78|103.25|None|0|None|None|None
237336|330|49997|59.732|283.78|103.25|None|0|None|None|None
237337|330|31161|32.039|111.76|292.03|0|1|None|0|None
237338|330|31162|32.039|111.76|292.03|0|1|None|0|None
237339|330|31163|32.039|111.76|292.03|0|1|None|0|None
237340|330|31167|82.678|247.92|67.23|None|0|None|None|None
237341|330|31168|82.678|247.92|67.23|None|0|None|None|None
237342|330|31169|82.678|247.92|67.23|None|0|None|None|None
237343|330|35043|86.036|284.97|104.21|None|0|None|None|None
237344|330|35044|86.036|284.97|104.21|None|0|None|None|None
237345|330|35045|86.036|284.97|104.21|None|0|None|None|None
237346|330|49959|88.137|4.94|185.01|None|0|None|None|None
237347|330|49960|88.137|4.94|185.01|None|0|None|None|None
237348|330|49961|88.137|4.94|185.01|None|0|None|None|None
237349|330|348|42.943|1.45|181.46|0|0|None|None|None
237350|330|3022|83.504|207.76|27.41|None|0|None|None|None
237351|330|3023|83.504|207.76|27.41|None|0|None|None|None
237352|330|3024|83.504|207.76|27.41|None|0|None|None|None
237353|330|129|89.528|342.38|162.13|None|0|None|None|None
237354|330|49962|89.553|342.39|162.14|None|0|None|None|None
237355|330|49963|89.553|342.39|162.14|None|0|None|None|None
237356|330|49964|89.553|342.39|162.14|None|0|None|None|None
237357|330|35111|4.649|130.97|311.01|0|1|None|0|None
237358|330|35112|4.649|130.97|311.01|0|1|None|0|None
237359|330|35113|4.649|130.97|311.01|0|1|None|0|None
237360|330|139|99.11|337.8|157.45|None|0|None|None|None
237361|330|43371|99.097|337.8|157.45|None|0|None|None|None
237362|330|43372|99.097|337.8|157.45|None|0|None|None|None
