# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
333|Shoestring Notch, Mount St Helens|2023-03-13 11:48:08|2023-03-13 12:05:47|46.1888|-122.1653|0.3|46.1888|-122.1653|46.1754|-122.1179|snow avalanche|None|None|None|None|None|None|None|None|None|None|700.0|600.0|1000.0|4000.0|3600.0|4400.0|None|None|None|None|None|None|None|None|None|None|2|0|None|None|52.0|1|None|None|0.0|None|0|0.0|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
848|333|353|Location coordinates, H, and L estimated using Google Earth and photographs provided by Thelen (written commun., 2024).|1761|None|None
836|330|353|This event was reported by Thelen (written commun., 2024) and identified during routine, daily checks of spectrogram plots. Locations were determined using an amplitude-based seismic location method and confirmed using NWAC reports, photographs, and/or satellite imagery.|None|None|327,328,329,331,332,333,334

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1716|333|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/333_ShoestringNotchMountStHelens_13Mar2023/photos_figures/333_ShoestringNotchMountStHelens_13Mar2023_waveforms_raw.png|None
1717|333|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/333_ShoestringNotchMountStHelens_13Mar2023/photos_figures/333_ShoestringNotchMountStHelens_13Mar2023_waveforms_1-5Hz.png|None
1718|333|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/333_ShoestringNotchMountStHelens_13Mar2023/photos_figures/333_ShoestringNotchMountStHelens_13Mar2023_spectrogram.png|None
1719|333|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/333_ShoestringNotchMountStHelens_13Mar2023/photos_figures/333_ShoestringNotchMountStHelens_13Mar2023_spectra.png|None
1761|333|Wes Thelen|Photographs of the snow avalanche track and deposits taken by Wes Thelen, CVO.||||EventData/333_ShoestringNotchMountStHelens_13Mar2023/photos_figures/333_ShoestringNotchMountStHelens_13Mar2023_source-WesThelen_5.jpeg|None
1762|333|Wes Thelen|Photographs of the snow avalanche track and deposits taken by Wes Thelen, CVO.||||EventData/333_ShoestringNotchMountStHelens_13Mar2023/photos_figures/333_ShoestringNotchMountStHelens_13Mar2023_source-WesThelen_6.jpeg|None
1763|333|Wes Thelen|Photographs of the snow avalanche track and deposits taken by Wes Thelen, CVO.||||EventData/333_ShoestringNotchMountStHelens_13Mar2023/photos_figures/333_ShoestringNotchMountStHelens_13Mar2023_source-WesThelen_7.jpeg|None
1764|333|Wes Thelen|Photographs of the snow avalanche track and deposits taken by Wes Thelen, CVO.||||EventData/333_ShoestringNotchMountStHelens_13Mar2023/photos_figures/333_ShoestringNotchMountStHelens_13Mar2023_source-WesThelen_8.jpeg|None
1765|333|Wes Thelen|Photographs of the snow avalanche track and deposits taken by Wes Thelen, CVO.||||EventData/333_ShoestringNotchMountStHelens_13Mar2023/photos_figures/333_ShoestringNotchMountStHelens_13Mar2023_source-WesThelen_9.jpeg|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
237972|333|43260|70.9|19.67|199.89|None|0|None|None|None
237973|333|43261|70.9|19.67|199.89|None|0|None|None|None
237974|333|43262|70.9|19.67|199.89|None|0|None|None|None
237975|333|34596|94.435|157.74|338.07|None|0|None|None|None
237976|333|34597|94.435|157.74|338.07|None|0|None|None|None
237977|333|34598|94.435|157.74|338.07|None|0|None|None|None
237978|333|25962|89.718|7.79|187.91|None|0|None|None|None
237979|333|25963|89.718|7.79|187.91|None|0|None|None|None
237980|333|25964|89.718|7.79|187.91|None|0|None|None|None
237981|333|43263|72.472|20.78|201.02|None|0|None|None|None
237982|333|43264|72.472|20.78|201.02|None|0|None|None|None
237983|333|43265|72.472|20.78|201.02|None|0|None|None|None
237984|333|25965|90.224|9.92|190.06|None|0|None|None|None
237985|333|25966|90.224|9.92|190.06|None|0|None|None|None
237986|333|25967|90.224|9.92|190.06|None|0|None|None|None
237987|333|49956|69.993|15.88|196.07|None|0|None|None|None
237988|333|49957|69.993|15.88|196.07|None|0|None|None|None
237989|333|49958|69.993|15.88|196.07|None|0|None|None|None
237990|333|34599|64.194|17.21|197.39|None|0|None|None|None
237991|333|34600|64.194|17.21|197.39|None|0|None|None|None
237992|333|34601|64.194|17.21|197.39|None|0|None|None|None
237993|333|34602|88.256|161.5|341.76|None|0|None|None|None
237994|333|34603|88.256|161.5|341.76|None|0|None|None|None
237995|333|34604|88.256|161.5|341.76|None|0|None|None|None
237996|333|43269|6.235|340.84|160.82|None|1|None|0|None
237997|333|43270|6.235|340.84|160.82|None|1|None|0|None
237998|333|43271|6.235|340.84|160.82|None|1|None|0|None
237999|333|49989|69.155|201.96|21.72|None|0|None|None|None
238000|333|49990|69.155|201.96|21.72|None|0|None|None|None
238001|333|49991|69.155|201.96|21.72|None|0|None|None|None
238002|333|34605|10.444|336.99|156.95|None|1|None|0|None
238003|333|34606|10.444|336.99|156.95|None|1|None|0|None
238004|333|34607|10.444|336.99|156.95|None|1|None|0|None
238005|333|34608|64.67|21.34|201.57|None|0|None|None|None
238006|333|34609|64.67|21.34|201.57|None|0|None|None|None
238007|333|34610|64.67|21.34|201.57|None|0|None|None|None
238008|333|43272|4.155|339.24|159.22|None|1|None|0|None
238009|333|43273|4.155|339.24|159.22|None|1|None|0|None
238010|333|43274|4.155|339.24|159.22|None|1|None|0|None
238011|333|43275|14.757|316.68|136.59|None|0|None|0|None
238012|333|43276|14.757|316.68|136.59|None|0|None|0|None
238013|333|43277|14.757|316.68|136.59|None|0|None|0|None
238014|333|43278|75.058|23.34|203.62|None|0|None|None|None
238015|333|43279|75.058|23.34|203.62|None|0|None|None|None
238016|333|43280|75.058|23.34|203.62|None|0|None|None|None
238017|333|43281|11.324|322.19|142.13|None|1|None|0|None
238018|333|43282|11.324|322.19|142.13|None|1|None|0|None
238019|333|43283|11.324|322.19|142.13|None|1|None|0|None
238020|333|79|83.461|18.63|198.89|None|0|None|None|None
238021|333|80|83.461|18.63|198.89|None|0|None|None|None
238022|333|81|83.461|18.63|198.89|None|0|None|None|None
238023|333|34617|75.63|36.9|217.33|None|0|None|None|None
238024|333|34618|75.63|36.9|217.33|None|0|None|None|None
238025|333|34619|75.63|36.9|217.33|None|0|None|None|None
238026|333|34620|98.963|158.65|338.98|None|0|None|None|None
238027|333|34621|98.963|158.65|338.98|None|0|None|None|None
238028|333|34622|98.963|158.65|338.98|None|0|None|None|None
238029|333|82|84.609|28.11|208.48|None|0|None|None|None
238030|333|83|84.609|28.11|208.48|None|0|None|None|None
238031|333|84|84.609|28.11|208.48|None|0|None|None|None
238032|333|34626|73.953|25.91|206.21|None|0|None|None|None
238033|333|34627|73.953|25.91|206.21|None|0|None|None|None
238034|333|34628|73.953|25.91|206.21|None|0|None|None|None
238035|333|24385|80.778|6.92|187.01|None|0|None|None|None
238036|333|24386|80.778|6.92|187.01|None|0|None|None|None
238037|333|24387|80.778|6.92|187.01|None|0|None|None|None
238038|333|24388|81.585|6.25|186.34|None|0|None|None|None
238039|333|24389|81.585|6.25|186.34|None|0|None|None|None
238040|333|24390|81.585|6.25|186.34|None|0|None|None|None
238041|333|24391|80.089|7.25|187.34|None|0|None|None|None
238042|333|24392|80.089|7.25|187.34|None|0|None|None|None
238043|333|24393|80.089|7.25|187.34|None|0|None|None|None
238044|333|24394|83.473|9.28|189.41|None|0|None|None|None
238045|333|24395|83.473|9.28|189.41|None|0|None|None|None
238046|333|24396|83.473|9.28|189.41|None|0|None|None|None
238047|333|24397|74.456|12.81|192.97|None|0|None|None|None
238048|333|24398|74.456|12.81|192.97|None|0|None|None|None
238049|333|24399|74.456|12.81|192.97|None|0|None|None|None
238050|333|34629|2.009|309.11|129.09|None|None|None|None|None
238051|333|34630|2.009|309.11|129.09|None|None|None|None|None
