# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
334|NW Dome, Mount St Helens|2024-02-12 14:00:39|2024-02-12 14:01:53|46.2091|-122.194|0.04|46.2091|-122.194|46.2128|-122.1926|snow avalanche|None|None|None|None|None|None|None|None|None|None|170.0|150.0|230.0|400.0|350.0|550.0|None|None|None|None|None|None|None|None|None|None|2|0|None|None|16.0|1|None|None|0.0|None|0|0.0|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
847|334|353|Location coordinates, H, and L estimated using Google Earth and photographs provided by Thelen (written commun., 2024).|1760|None|None
836|330|353|This event was reported by Thelen (written commun., 2024) and identified during routine, daily checks of spectrogram plots. Locations were determined using an amplitude-based seismic location method and confirmed using NWAC reports, photographs, and/or satellite imagery.|None|None|327,328,329,331,332,333,334

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1720|334|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/334_NWDomeMountStHelens_12Feb2024/photos_figures/334_NWDomeMountStHelens_12Feb2024_waveforms_raw.png|None
1721|334|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/334_NWDomeMountStHelens_12Feb2024/photos_figures/334_NWDomeMountStHelens_12Feb2024_waveforms_1-5Hz.png|None
1722|334|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/334_NWDomeMountStHelens_12Feb2024/photos_figures/334_NWDomeMountStHelens_12Feb2024_spectrogram.png|None
1723|334|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/334_NWDomeMountStHelens_12Feb2024/photos_figures/334_NWDomeMountStHelens_12Feb2024_spectra.png|None
1760|334|Wes Thelen|Photograph of the snow avalanche track taken by Wes Thelen, CVO from a helicopter.|None|None|None|EventData/334_NWDomeMountStHelens_12Feb2024/photos_figures/334_NWDomeMountStHelens_12Feb2024_source-WesThelen_5.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
237685|334|43260|69.578|21.99|202.24|None|None|None|None|None
237686|334|43261|69.578|21.99|202.24|None|None|None|None|None
237687|334|43262|69.578|21.99|202.24|None|None|None|None|None
237688|334|34596|97.37|157.02|337.37|None|None|None|None|None
237689|334|34597|97.37|157.02|337.37|None|None|None|None|None
237690|334|34598|97.37|157.02|337.37|None|None|None|None|None
237691|334|25962|87.817|9.4|189.54|None|None|None|None|None
237692|334|25963|87.817|9.4|189.54|None|None|None|None|None
237693|334|25964|87.817|9.4|189.54|None|None|None|None|None
237694|334|43263|71.206|23.07|203.33|None|None|None|None|None
237695|334|43264|71.206|23.07|203.33|None|None|None|None|None
237696|334|43265|71.206|23.07|203.33|None|None|None|None|None
237697|334|25965|88.42|11.56|191.73|None|None|None|None|None
237698|334|25966|88.42|11.56|191.73|None|None|None|None|None
237699|334|25967|88.42|11.56|191.73|None|None|None|None|None
237700|334|50067|61.956|0.05|180.05|None|None|None|None|None
237701|334|50068|61.956|0.05|180.05|None|None|None|None|None
237702|334|50069|61.956|0.05|180.05|None|None|None|None|None
237703|334|49953|12.727|260.21|80.09|None|None|None|None|None
237704|334|49954|12.727|260.21|80.09|None|None|None|None|None
237705|334|49955|12.727|260.21|80.09|None|None|None|None|None
237706|334|49956|68.484|18.16|198.37|None|None|None|None|None
237707|334|49957|68.484|18.16|198.37|None|None|None|None|None
237708|334|49958|68.484|18.16|198.37|None|None|None|None|None
237709|334|34599|62.755|19.73|199.93|None|None|None|None|None
237710|334|34600|62.755|19.73|199.93|None|None|None|None|None
237711|334|34601|62.755|19.73|199.93|None|None|None|None|None
237712|334|34602|91.11|160.61|340.88|None|None|None|None|None
237713|334|34603|91.11|160.61|340.88|None|None|None|None|None
237714|334|34604|91.11|160.61|340.88|None|None|None|None|None
237715|334|43269|3.636|2.64|182.64|None|1|None|0|None
237716|334|43270|3.636|2.64|182.64|None|1|None|0|None
237717|334|43271|3.636|2.64|182.64|None|1|None|0|None
237718|334|49989|70.479|199.58|19.36|None|None|None|None|None
237719|334|49990|70.479|199.58|19.36|None|None|None|None|None
237720|334|49991|70.479|199.58|19.36|None|None|None|None|None
237721|334|34605|7.589|345.74|165.72|None|1|None|0|None
237722|334|34606|7.589|345.74|165.72|None|1|None|0|None
237723|334|34607|7.589|345.74|165.72|None|1|None|0|None
237724|334|34608|63.44|23.93|204.17|None|None|None|None|None
237725|334|34609|63.44|23.93|204.17|None|None|None|None|None
237726|334|34610|63.44|23.93|204.17|None|None|None|None|None
237727|334|50070|62.445|10.96|191.07|None|None|None|None|None
237728|334|50071|62.445|10.96|191.07|None|None|None|None|None
237729|334|50072|62.445|10.96|191.07|None|None|None|None|None
237730|334|43272|1.789|24.48|204.49|None|1|None|0|None
237731|334|43273|1.789|24.48|204.49|None|1|None|0|None
237732|334|43274|1.789|24.48|204.49|None|1|None|0|None
237733|334|43275|11.596|316.98|136.9|None|0|None|0|None
237734|334|43276|11.596|316.98|136.9|None|0|None|0|None
237735|334|43277|11.596|316.98|136.9|None|0|None|0|None
237736|334|43278|73.922|25.59|205.89|None|None|None|None|None
237737|334|43279|73.922|25.59|205.89|None|None|None|None|None
237738|334|43280|73.922|25.59|205.89|None|None|None|None|None
237739|334|43281|8.191|324.73|144.69|None|0|None|0|None
237740|334|43282|8.191|324.73|144.69|None|0|None|0|None
237741|334|43283|8.191|324.73|144.69|None|0|None|0|None
237742|334|79|82.079|20.58|200.86|None|None|None|None|None
237743|334|80|82.079|20.58|200.86|None|None|None|None|None
237744|334|81|82.079|20.58|200.86|None|None|None|None|None
237745|334|34617|75.22|39.26|219.72|None|None|None|None|None
237746|334|34618|75.22|39.26|219.72|None|None|None|None|None
237747|334|34619|75.22|39.26|219.72|None|None|None|None|None
237748|334|82|83.716|30.15|210.55|None|None|None|None|None
237749|334|83|83.716|30.15|210.55|None|None|None|None|None
237750|334|84|83.716|30.15|210.55|None|None|None|None|None
237751|334|34626|72.952|28.23|208.55|None|None|None|None|None
237752|334|34627|72.952|28.23|208.55|None|None|None|None|None
237753|334|34628|72.952|28.23|208.55|None|None|None|None|None
237754|334|24385|78.844|8.69|188.81|None|None|None|None|None
237755|334|24386|78.844|8.69|188.81|None|None|None|None|None
