# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
336|Lamplugh Glacier secondary|2016-06-28 18:21:14|2016-06-28 18:24:03|58.74666|-136.88693|0.0|58.74666|-136.88693|58.77758|-136.88564|rock avalanche|3400000.0|None|None|None|1900000.0|None|4200000.0|None|None|None|200.0|None|None|3800.0|None|None|None|None|None|None|None|None|None|None|None|None|5|0|None|None|303.0|1|None|None|0.0|None|0|0.0|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
906|336|381|L and Area_total taken from Dufresne and others (2019).|None|None|None
907|336|386|Volume_high taken from the positive deposit volume reported for zone D in Bessette-Kirton and others (2018). This is likely an overestimate because zone D also includes deposits from the main Lamplugh event (EID 81).|None|None|None
908|336|381|Crown and toe locations and H estimated using Google Earth imagery and Figure 17 in Dufresne and others (2019).|None|None|None
919|336|49|Best volume estimated using the volume from the main Lamplugh event (EID 81, 64.9 Mm3) and partitioning it based on the average absolute maximum amplitude from the two closest seismic stations that have detections for both events, PBLC and BESE. This assumption is based on the findings of Norris (1994) (Refid 49) who showed that when the failure path was similar and events were simple, the volume scaled linearly with amplitude.|None|None|None
904|81|381|"The 28 June 2016 rock avalanche deposited a sheet of rock, ice, and snow over 10.5 km distance from source down Lamplugh Glacier. Morphological and seismic data indicate that the deposit was produced by two separate rock slope failures, 2 h apart. The first failure at 16:21 produced the main deposit (21.0 km2), moving over the low-friction glacial snow and ice surface along its full length. The second rock slope failure at 18:22 spread debris over an area of 3.4 km2 onto the high-friction rock avalanche debris of the main deposit, producing a secondary deposit in the proximal deposition area." - Quote from Dufresne and others (2019)|None|None|336

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1756|336|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/336_LamplughGlaciersecondary_28Jun2016/photos_figures/336_LamplughGlaciersecondary_28Jun2016_waveforms_raw.png|None
1757|336|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/336_LamplughGlaciersecondary_28Jun2016/photos_figures/336_LamplughGlaciersecondary_28Jun2016_waveforms_1-5Hz.png|None
1758|336|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/336_LamplughGlaciersecondary_28Jun2016/photos_figures/336_LamplughGlaciersecondary_28Jun2016_spectrogram.png|None
1759|336|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/336_LamplughGlaciersecondary_28Jun2016/photos_figures/336_LamplughGlaciersecondary_28Jun2016_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
240808|336|1533|119.335|98.12|279.86|None|1|None|0|None
240809|336|1534|119.335|98.12|279.86|None|0|None|0|None
240810|336|1535|119.335|98.12|279.86|None|1|None|0|None
240811|336|1569|154.976|108.71|290.84|None|1|None|0|None
240812|336|1570|154.976|108.71|290.84|None|1|None|0|None
240813|336|1571|154.976|108.71|290.84|None|1|None|0|None
240814|336|1596|176.5|306.54|124.37|None|0|None|0|None
240815|336|1597|176.5|306.54|124.37|None|0|None|0|None
240816|336|1598|176.5|306.54|124.37|None|0|None|0|None
240817|336|1638|119.52|47.66|228.99|None|0|None|0|None
240818|336|1639|119.52|47.66|228.99|None|0|None|0|None
240819|336|1640|119.52|47.66|228.99|None|0|None|0|None
240820|336|1641|180.768|299.33|116.94|None|0|None|0|None
240821|336|1642|180.768|299.33|116.94|None|0|None|0|None
240822|336|1643|180.768|299.33|116.94|None|0|None|0|None
240823|336|1653|84.367|20.5|200.95|None|1|None|0|None
240824|336|1654|84.367|20.5|200.95|None|1|None|0|None
240825|336|1655|84.367|20.5|200.95|None|1|None|0|None
240826|336|1688|120.699|47.8|229.15|None|None|None|None|None
240827|336|13747|153.25|358.49|178.42|None|1|None|0|None
240828|336|13748|153.25|358.49|178.42|None|1|None|0|None
240829|336|13749|153.25|358.49|178.42|None|1|None|0|None
240830|336|23531|168.594|100.47|282.9|None|0|None|0|None
240831|336|23532|168.594|100.47|282.9|None|0|None|0|None
240832|336|23533|168.594|100.47|282.9|None|0|None|0|None
240833|336|43204|170.042|101.52|283.95|None|0|None|0|None
240834|336|43205|170.042|101.52|283.95|None|0|None|0|None
240835|336|43206|170.042|101.52|283.95|None|0|None|0|None
240836|336|43207|170.224|101.54|283.97|None|0|None|0|None
240837|336|43208|170.224|101.54|283.97|None|0|None|0|None
240838|336|43209|170.224|101.54|283.97|None|0|None|0|None
240839|336|43210|170.145|101.46|283.89|None|0|None|0|None
240840|336|43211|170.145|101.46|283.89|None|0|None|0|None
240841|336|43212|170.145|101.46|283.89|None|0|None|0|None
240842|336|43213|170.043|101.52|283.95|None|0|None|0|None
240843|336|43214|170.043|101.52|283.95|None|0|None|0|None
240844|336|43215|170.043|101.52|283.95|None|0|None|0|None
240845|336|43216|169.853|101.57|284.0|None|0|None|0|None
240846|336|43217|169.853|101.57|284.0|None|0|None|0|None
240847|336|43218|169.853|101.57|284.0|None|0|None|0|None
240848|336|43219|170.067|101.51|283.95|None|0|None|0|None
240849|336|43220|170.067|101.51|283.95|None|0|None|0|None
240850|336|43221|170.067|101.51|283.95|None|0|None|0|None
240851|336|43222|170.042|101.52|283.95|None|None|None|None|None
240852|336|43223|170.042|101.52|283.95|None|None|None|None|None
240853|336|43224|170.042|101.52|283.95|None|None|None|None|None
240854|336|24631|169.608|101.17|283.6|None|0|None|0|None
240855|336|24632|169.608|101.17|283.6|None|0|None|0|None
240856|336|24633|169.608|101.17|283.6|None|0|None|0|None
240857|336|23498|212.553|37.5|219.51|None|1|None|None|None
240858|336|23499|212.553|37.5|219.51|None|1|None|None|None
240859|336|23500|212.553|37.5|219.51|None|1|None|None|None
240860|336|23501|212.553|37.5|219.51|None|1|None|None|None
240861|336|23502|212.553|37.5|219.51|None|1|None|None|None
240862|336|23503|212.553|37.5|219.51|None|1|None|None|None
240863|336|23504|241.773|41.48|223.98|None|1|None|None|None
240864|336|23505|241.773|41.48|223.98|None|1|None|None|None
240865|336|23506|241.773|41.48|223.98|None|1|None|None|None
240866|336|23507|241.773|41.48|223.98|None|1|None|None|None
240867|336|23508|241.773|41.48|223.98|None|1|None|None|None
240868|336|23509|241.773|41.48|223.98|None|1|None|None|None
240869|336|23522|279.737|44.72|227.81|None|0|None|None|None
240870|336|23523|279.737|44.72|227.81|None|0|None|None|None
240871|336|23524|279.737|44.72|227.81|None|0|None|None|None
240872|336|23525|279.737|44.72|227.81|None|0|None|None|None
240873|336|23526|279.737|44.72|227.81|None|0|None|None|None
240874|336|23527|279.737|44.72|227.81|None|0|None|None|None
240875|336|1527|206.242|311.85|129.48|None|0|None|None|None
240876|336|1528|206.242|311.85|129.48|None|0|None|None|None
240877|336|1529|206.242|311.85|129.48|None|0|None|None|None
240878|336|10385|243.056|309.63|126.73|None|0|None|None|None
240879|336|10386|243.056|309.63|126.73|None|0|None|None|None
