# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
35|Mount St Helens|2015-08-14 21:35:27|2015-08-14 22:11:56|46.205076|-122.214418|1.0|46.205076|-122.214418|46.21042|-122.253492|debris flow|None|None|None|None|13000.0|4400.0|28000.0|None|None|None|820.0|1000.0|600.0|3420.0|3000.0|4000.0|None|None|None|None|None|None|None|None|None|None|2|0|None|None|19.0|1|None|None|0.0|None|0|0.0|None|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
47|35|86|We estimated volume based on Kurt Spicer's photos of the track of this event and the start and end point coordinates he gave us - we estimate that the area of deposition is 2.2-2.8 km long, 0.2 - 0.5m thick and the "track" was ~10-20m wide. This would give a volume range of 4400-28000 m3 with a best estimate of 13000 m3 if we take the central values of the dimension estimate ranges.|5|None|None
281|35|86|Kurt Spicer (written communication): Start point 46.205076 -122.214418, End point 46.210420 -122.253492, path length 3.42 km|None|None|None
282|35|86|Kurt Spicer (written communication) "A small debris flow, apparently triggered by brief rain on Friday (August 14) afternoon, traveled down the upper SF Toutle canyon, possibly as far as the Loowit trail crossing. The flow left a very distinct track down the canyon. The stream at the trail crossing was still running dirty and moving gravel and small cobble as of Saturday afternoon."|None|None|None
283|35|86|Kurt Spicer (written communication) "There was some decent rain that afternoon, so that may have triggered it, but I am thinking it may have been a snow slide in the real steep head wall that got things moving."|None|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
5|35|Kurt Spicer|"...a couple of close ups of deposits I believe are near the down valley end of the flow.  Others are close ups of the flow path, and some broad views showing the entire upper valley flow path for perspective. Unfortunately, I did not get any looking directly up the head of the valley, so source is not really defined.  It did rain for a couple hours up there that day, but I think it must have been a slide of some kind that initiated it."|||2015-08-15 14:58:20|EventData/35_MountStHelens_14Aug2015/photos_figures/35_MountStHelens_14Aug2015_source-KurtSpicer_1.jpg|None
536|35|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/35_MountStHelens_14Aug2015/photos_figures/35_MountStHelens_14Aug2015_waveforms_raw.png|None
537|35|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/35_MountStHelens_14Aug2015/photos_figures/35_MountStHelens_14Aug2015_waveforms_1-5Hz.png|None
538|35|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/35_MountStHelens_14Aug2015/photos_figures/35_MountStHelens_14Aug2015_spectrogram.png|None
539|35|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/35_MountStHelens_14Aug2015/photos_figures/35_MountStHelens_14Aug2015_spectra.png|None
1446|35|Kurt Spicer|"...a couple of close ups of deposits I believe are near the down valley end of the flow.  Others are close ups of the flow path, and some broad views showing the entire upper valley flow path for perspective. Unfortunately, I did not get any looking directly up the head of the valley, so source is not really defined.  It did rain for a couple hours up there that day, but I think it must have been a slide of some kind that initiated it."|||2015-08-15 11:46:18|EventData/35_MountStHelens_14Aug2015/photos_figures/35_MountStHelens_14Aug2015_source-KurtSpicer_2.jpg|None
1447|35|Kurt Spicer|"...a couple of close ups of deposits I believe are near the down valley end of the flow.  Others are close ups of the flow path, and some broad views showing the entire upper valley flow path for perspective. Unfortunately, I did not get any looking directly up the head of the valley, so source is not really defined.  It did rain for a couple hours up there that day, but I think it must have been a slide of some kind that initiated it."||||EventData/35_MountStHelens_14Aug2015/photos_figures/35_MountStHelens_14Aug2015_source-KurtSpicer_3.png|None
1448|35|Kurt Spicer|"...a couple of close ups of deposits I believe are near the down valley end of the flow.  Others are close ups of the flow path, and some broad views showing the entire upper valley flow path for perspective. Unfortunately, I did not get any looking directly up the head of the valley, so source is not really defined.  It did rain for a couple hours up there that day, but I think it must have been a slide of some kind that initiated it."|||2015-08-15 11:26:59|EventData/35_MountStHelens_14Aug2015/photos_figures/35_MountStHelens_14Aug2015_source-KurtSpicer_4.jpg|None
1449|35|Kurt Spicer|"...a couple of close ups of deposits I believe are near the down valley end of the flow.  Others are close ups of the flow path, and some broad views showing the entire upper valley flow path for perspective. Unfortunately, I did not get any looking directly up the head of the valley, so source is not really defined.  It did rain for a couple hours up there that day, but I think it must have been a slide of some kind that initiated it."|||2015-08-15 11:46:15|EventData/35_MountStHelens_14Aug2015/photos_figures/35_MountStHelens_14Aug2015_source-KurtSpicer_5.jpg|None
1450|35|Kurt Spicer|"...a couple of close ups of deposits I believe are near the down valley end of the flow.  Others are close ups of the flow path, and some broad views showing the entire upper valley flow path for perspective. Unfortunately, I did not get any looking directly up the head of the valley, so source is not really defined.  It did rain for a couple hours up there that day, but I think it must have been a slide of some kind that initiated it."|||2015-08-15 11:59:40|EventData/35_MountStHelens_14Aug2015/photos_figures/35_MountStHelens_14Aug2015_source-KurtSpicer_6.jpg|None
