# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
36|Mount Rainier|2015-08-19 18:49:50|2015-08-19 18:51:36|46.838867|-121.768746|1.0|None|None|None|None|rock fall|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|3|0|79.0|1|0.0|None|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
284|36|85|Steve Malone (written communication) "This event started at about 11:49:53 AM PDT (18:49:534 Z) and triggered the AQMS automatic system producing an "alert" event of M=3.2. Looking at the seismograms it was obvious to me this was NOT a large earthquake but rather a large rockfall. Note that the event today is NOT as large as some in 2011 but getting close to the same size."|None|None|None

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
24|36|Scott Beason|Photos and map posted on exotic events blog|None|None|2015-08-19 14:28:14|event_data/36_MountRainier_19Aug2015/photos_figures/36_MountRainier_19Aug2015_source-ScottBeason_1.jpg|None
532|36|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/36_MountRainier_19Aug2015/photos_figures/36_MountRainier_19Aug2015_waveforms_raw.png|None
533|36|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/36_MountRainier_19Aug2015/photos_figures/36_MountRainier_19Aug2015_waveforms_1-5Hz.png|None
534|36|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/36_MountRainier_19Aug2015/photos_figures/36_MountRainier_19Aug2015_spectrogram.png|None
535|36|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/36_MountRainier_19Aug2015/photos_figures/36_MountRainier_19Aug2015_spectra.png|None
787|36|Scott Beason|Photos and map posted on exotic events blog|None|None|None|event_data/36_MountRainier_19Aug2015/photos_figures/36_MountRainier_19Aug2015_source-ScottBeason_2.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
85|36|None|Malone, S.D., 2015, written communication|Malone (written commun., 2015)b|None|None

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
41575|36|2723|156.048|181.11|1.08|None|None
41576|36|2724|156.048|181.11|1.08|None|None
41577|36|2725|156.048|181.11|1.08|None|None
41578|36|76|71.506|208.95|28.62|0|None
41579|36|77|71.506|208.95|28.62|0|None
41580|36|78|71.506|208.95|28.62|0|None
41581|36|79|7.641|332.32|152.28|1|None
41582|36|80|7.641|332.32|152.28|1|None
41583|36|81|7.641|332.32|152.28|1|None
41584|36|3169|164.612|178.28|358.32|None|None
41585|36|3170|164.612|178.28|358.32|None|None
41586|36|3171|164.612|178.28|358.32|None|None
41587|36|82|9.877|76.86|256.95|1|None
41588|36|83|9.877|76.86|256.95|1|None
41589|36|84|9.877|76.86|256.95|1|None
41590|36|85|78.026|204.66|24.36|0|None
41591|36|86|78.026|204.66|24.36|0|None
41592|36|87|78.026|204.66|24.36|1|None
41593|36|10010|153.907|173.0|353.17|None|None
41594|36|10011|153.907|173.0|353.17|None|None
41595|36|10012|153.907|173.0|353.17|None|None
41596|36|5579|18.479|73.2|253.37|None|None
41597|36|5580|18.479|73.2|253.37|None|None
41598|36|5581|18.479|73.2|253.37|None|None
41599|36|88|75.408|207.75|27.42|0|None
41600|36|89|75.408|207.75|27.42|0|None
41601|36|90|75.408|207.75|27.42|0|None
41602|36|91|76.016|204.44|24.14|0|None
41603|36|92|81.077|205.26|24.93|None|None
41604|36|93|81.077|205.26|24.93|None|None
41605|36|94|81.077|205.26|24.93|None|None
41606|36|2738|167.14|178.43|358.47|None|None
41607|36|2739|167.14|178.43|358.47|None|None
41608|36|500|167.14|178.43|358.47|None|None
41609|36|95|76.566|205.07|24.77|0|None
41610|36|96|76.566|205.07|24.77|0|None
41611|36|97|76.566|205.07|24.77|0|None
41612|36|98|94.138|330.54|150.09|None|None
41613|36|99|94.138|330.54|150.09|None|None
41614|36|100|94.138|330.54|150.09|None|None
41615|36|507|184.787|102.26|283.97|None|None
41616|36|508|184.787|102.26|283.97|None|None
41617|36|509|184.787|102.26|283.97|None|None
41618|36|510|184.787|102.26|283.97|None|None
41619|36|511|184.787|102.26|283.97|None|None
41620|36|512|184.787|102.26|283.97|None|None
41621|36|513|168.78|322.99|141.98|None|None
41622|36|514|168.78|322.99|141.98|None|None
41623|36|515|168.78|322.99|141.98|None|None
41624|36|2141|188.485|316.69|135.41|None|None
41625|36|2142|188.485|316.69|135.41|None|None
41626|36|2143|188.485|316.69|135.41|None|None
41627|36|2144|188.296|316.71|135.44|None|None
41628|36|2145|188.296|316.71|135.44|None|None
41629|36|2146|188.296|316.71|135.44|None|None
41630|36|2147|188.373|316.63|135.35|None|None
41631|36|2148|188.373|316.63|135.35|None|None
41632|36|2149|188.373|316.63|135.35|None|None
41633|36|516|138.496|321.86|141.02|None|None
41634|36|517|138.496|321.86|141.02|None|None
41635|36|518|138.496|321.86|141.02|None|None
41636|36|519|172.111|296.57|115.07|None|None
41637|36|520|172.111|296.57|115.07|None|None
41638|36|521|172.111|296.57|115.07|None|None
41639|36|522|137.367|277.96|96.65|None|None
41640|36|523|137.367|277.96|96.65|None|None
41641|36|524|137.367|277.96|96.65|None|None
41642|36|101|96.621|279.77|98.85|None|None
41643|36|102|96.621|279.77|98.85|None|None
41644|36|103|96.621|279.77|98.85|None|None
41645|36|525|145.372|262.5|81.13|None|None
41646|36|526|145.372|262.5|81.13|None|None
41647|36|527|145.372|262.5|81.13|None|None
