# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
45|Iliamna|2013-11-05 16:32:03|2013-11-05 16:35:20|60.02716|-153.0767|0.2|60.02649|-153.07927|60.01614|-152.99288|ice and rock avalanche|None|None|None|None|None|None|None|None|None|None|1700.0|1500.0|1900.0|5000.0|4000.0|7000.0|2|0|52.0|1|0.0|None|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
298|45|100|Max Kaufman (written communication) "Spectrograms indicate this slide happened at ~07:32 AST/~16:32 UTC. Strongest at IVE. The energy shows up at Redoubt, though faintly.  It doesn't appear to be a teleseism, since it didn't show at Augustine, and has emergent onset, and max amplitudes in the middle."|None|None|None

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
28|45|Dennis Anderson|Photos posted on AVO website|None|None|2013-11-05 09:13:05|event_data/45_Iliamna_05Nov2013/photos_figures/45_Iliamna_05Nov2013_source-DennisAnderson_1.jpg|None
45|45|Max Kaufman|Spectrogram|None|None|None|event_data/45_Iliamna_05Nov2013/photos_figures/45_Iliamna_05Nov2013_source-MaxKaufman_4.png|None
494|45|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/45_Iliamna_05Nov2013/photos_figures/45_Iliamna_05Nov2013_waveforms_raw.png|None
495|45|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/45_Iliamna_05Nov2013/photos_figures/45_Iliamna_05Nov2013_waveforms_1-5Hz.png|None
496|45|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/45_Iliamna_05Nov2013/photos_figures/45_Iliamna_05Nov2013_spectrogram.png|None
497|45|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/45_Iliamna_05Nov2013/photos_figures/45_Iliamna_05Nov2013_spectra.png|None
781|45|Dennis Anderson|Photos posted on AVO website|None|None|2013-11-05 09:44:39|event_data/45_Iliamna_05Nov2013/photos_figures/45_Iliamna_05Nov2013_source-DennisAnderson_2.jpg|None
782|45|Dennis Anderson|Photos posted on AVO website|None|None|2013-11-05 09:54:41|event_data/45_Iliamna_05Nov2013/photos_figures/45_Iliamna_05Nov2013_source-DennisAnderson_3.jpg|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
100|45|None|Kaufman, A.M., 2013, written communication|Kaufman (written commun., 2013)|None|None

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
57321|45|959|125.339|103.26|285.14|None|None
57322|45|960|125.339|103.26|285.14|None|None
57323|45|961|125.339|103.26|285.14|None|None
57324|45|2329|134.568|102.66|284.68|None|None
57325|45|2330|134.568|102.66|284.68|None|None
57326|45|2331|134.568|102.66|284.68|None|None
57327|45|2335|134.361|51.25|232.92|None|None
57328|45|2336|134.361|51.25|232.92|None|None
57329|45|2337|134.361|51.25|232.92|None|None
57330|45|2347|117.493|117.63|299.22|None|None
57331|45|2348|117.493|117.63|299.22|None|None
57332|45|2349|117.493|117.63|299.22|None|None
57333|45|2359|200.036|50.36|232.85|None|None
57334|45|2360|200.036|50.36|232.85|None|None
57335|45|2361|200.036|50.36|232.85|None|None
57336|45|2375|89.906|116.67|297.9|None|None
57337|45|2376|89.906|116.67|297.9|None|None
57338|45|2377|89.906|116.67|297.9|None|None
57339|45|2408|166.89|69.89|252.37|None|None
57340|45|2409|166.89|69.89|252.37|None|None
57341|45|2410|166.89|69.89|252.37|None|None
57342|45|977|184.337|311.9|129.68|None|None
57343|45|978|184.337|311.9|129.68|None|None
57344|45|979|184.337|311.9|129.68|None|None
57345|45|2450|78.494|191.74|11.5|None|None
57346|45|2451|78.494|191.74|11.5|None|None
57347|45|2452|78.494|191.74|11.5|None|None
57348|45|2453|76.882|195.8|15.48|None|None
57349|45|2454|76.882|195.8|15.48|None|None
57350|45|2455|76.882|195.8|15.48|None|None
57351|45|980|75.024|193.17|12.91|None|None
57352|45|981|76.828|195.84|15.52|None|None
57353|45|982|79.691|194.61|14.31|None|None
57354|45|983|79.691|194.61|14.31|None|None
57355|45|984|79.691|194.61|14.31|None|None
57356|45|2456|79.05|194.42|14.13|None|None
57357|45|2457|79.05|194.42|14.13|None|None
57358|45|2458|79.05|194.42|14.13|None|None
57359|45|2459|77.825|194.13|13.84|None|None
57360|45|985|74.739|195.94|15.63|None|None
57361|45|986|74.739|195.94|15.63|None|None
57362|45|987|74.739|195.94|15.63|None|None
57363|45|988|74.739|195.94|15.63|None|None
57364|45|989|75.838|197.55|17.2|None|None
57365|45|990|76.545|194.89|14.59|None|None
57366|45|2460|77.27|194.39|14.1|None|None
57367|45|2461|77.27|194.39|14.1|None|None
57368|45|2462|77.27|194.39|14.1|None|None
57369|45|992|76.601|197.11|16.77|None|None
57370|45|993|143.068|14.9|195.49|None|None
57371|45|994|140.413|240.67|58.81|None|None
57372|45|995|89.006|23.72|204.29|None|None
57373|45|996|124.395|20.63|201.33|None|None
57374|45|997|126.516|194.99|14.5|None|None
57375|45|998|154.095|21.8|202.73|None|None
57376|45|999|136.062|16.93|197.57|None|None
57377|45|1000|141.965|19.75|200.53|None|None
57378|45|1001|139.079|19.61|200.37|None|None
57379|45|1002|145.1|17.93|198.66|None|None
57380|45|1003|146.943|19.61|200.41|None|None
57381|45|1004|146.943|19.61|200.41|None|None
57382|45|1005|146.943|19.61|200.41|None|None
57383|45|1006|66.422|18.7|199.03|None|None
57384|45|1007|66.422|18.7|199.03|None|None
57385|45|1008|141.27|200.18|19.45|None|None
57386|45|1009|143.263|189.29|8.95|None|None
57387|45|1010|141.313|194.7|14.17|None|None
57388|45|1011|8.799|47.27|227.37|1|None
57389|45|1012|7.825|177.38|357.39|1|None
57390|45|2465|4.987|315.73|135.68|1|None
57391|45|2466|4.987|315.73|135.68|1|None
57392|45|2467|4.987|315.73|135.68|1|None
57393|45|1013|4.987|315.73|135.68|1|None
57394|45|1014|3.712|10.64|190.65|0|None
57395|45|2468|3.464|110.42|290.47|1|None
57396|45|2469|3.464|110.42|290.47|1|None
57397|45|2470|3.464|110.42|290.47|1|None
57398|45|1015|3.464|110.42|290.47|0|None
57399|45|1016|3.464|110.42|290.47|0|None
57400|45|1017|3.464|110.42|290.47|1|None
57401|45|1018|2.097|189.65|9.64|0|None
57402|45|1143|188.867|216.42|34.76|None|None
57403|45|1144|190.368|206.8|25.53|None|None
57404|45|1149|175.107|204.99|23.9|None|None
57405|45|1150|175.107|204.99|23.9|None|None
57406|45|1151|175.107|204.99|23.9|None|None
57407|45|1152|194.106|209.29|27.89|None|None
57408|45|1019|117.859|217.75|36.66|None|None
57409|45|1020|161.287|17.7|198.5|None|None
57410|45|2472|60.156|7.72|187.85|None|None
57411|45|2473|60.156|7.72|187.85|None|None
57412|45|2474|60.156|7.72|187.85|None|None
57413|45|1021|60.156|7.72|187.85|None|None
57414|45|1022|42.629|191.86|11.73|0|None
57415|45|1023|68.016|247.02|66.06|None|None
57416|45|2484|66.41|18.69|199.03|None|None
57417|45|2485|66.41|18.69|199.03|None|None
57418|45|2486|66.41|18.69|199.03|None|None
57419|45|2487|67.684|23.28|203.7|None|None
57420|45|1025|64.528|13.3|193.54|None|None
57421|45|1026|64.528|13.3|193.54|None|None
57422|45|1027|64.528|13.3|193.54|None|None
57423|45|1028|58.237|18.51|198.8|None|None
57424|45|2488|50.982|21.11|201.4|None|None
57425|45|2489|50.982|21.11|201.4|None|None
57426|45|2490|50.982|21.11|201.4|None|None
57427|45|1029|71.15|31.05|211.63|None|None
57428|45|1033|52.903|14.09|194.29|None|None
57429|45|1034|52.903|14.09|194.29|None|None
57430|45|1035|52.903|14.09|194.29|None|None
57431|45|2491|46.828|20.85|201.11|0|None
57432|45|2492|46.828|20.85|201.11|0|None
57433|45|2493|46.828|20.85|201.11|0|None
57434|45|1036|46.828|20.85|201.11|1|None
57435|45|1037|46.828|20.85|201.11|1|None
57436|45|344|46.828|20.85|201.11|1|None
57437|45|1038|55.627|22.22|202.56|None|None
57438|45|1039|55.627|22.22|202.56|None|None
57439|45|1040|55.627|22.22|202.56|None|None
57440|45|1197|51.56|20.01|200.29|1|None
57441|45|1041|142.574|15.38|195.99|None|None
57442|45|1042|142.574|15.38|195.99|None|None
57443|45|1043|142.574|15.38|195.99|None|None
57444|45|1044|152.185|21.79|202.71|None|None
57445|45|1045|152.185|21.79|202.71|None|None
57446|45|1046|152.185|21.79|202.71|None|None
57447|45|2494|142.04|19.7|200.48|None|None
57448|45|2495|142.04|19.7|200.48|None|None
57449|45|2496|142.04|19.7|200.48|None|None
57450|45|2497|146.901|19.67|200.48|None|None
57451|45|2498|146.901|19.67|200.48|None|None
57452|45|2499|146.901|19.67|200.48|None|None
57453|45|1047|139.079|19.6|200.35|None|None
57454|45|1048|139.079|19.6|200.35|None|None
57455|45|1049|139.079|19.6|200.35|None|None
57456|45|2500|150.604|7.66|187.99|None|None
57457|45|2501|150.604|7.66|187.99|None|None
57458|45|2502|150.604|7.66|187.99|None|None
57459|45|1051|140.189|23.05|203.94|None|None
57460|45|1052|141.626|11.26|191.71|None|None
57461|45|1053|177.33|21.9|202.98|None|None
57462|45|1162|162.658|165.87|346.46|None|None
57463|45|1054|85.353|105.75|287.01|None|None
57464|45|1055|100.704|129.75|310.93|None|None
57465|45|1056|100.669|129.74|310.92|None|None

# 
# stations
# 
# Sid|Name|Network|Channel|LocationCode|Latitude|Longitude|ElevationMasl|Source
959|BRLK|AK|BHE||59.7511|-150.9063|409.0|IRIS
960|BRLK|AK|BHN||59.7511|-150.9063|409.0|IRIS
961|BRLK|AK|BHZ||59.7511|-150.9063|409.0|IRIS
2329|BRSE|AK|BHE||59.7417|-150.7414|541.0|IRIS
2330|BRSE|AK|BHN||59.7417|-150.7414|541.0|IRIS
2331|BRSE|AK|BHZ||59.7417|-150.7414|541.0|IRIS
2335|CAPN|AK|BHE||60.7683|-151.1539|47.0|IRIS
2336|CAPN|AK|BHN||60.7683|-151.1539|47.0|IRIS
2337|CAPN|AK|BHZ||60.7683|-151.1539|47.0|IRIS
2347|CNP|AK|BHE||59.5251|-151.2373|564.0|IRIS
2348|CNP|AK|BHN||59.5251|-151.2373|564.0|IRIS
