# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
46|Iliamna|2014-01-28 12:10:43|2014-01-28 12:13:19|60.02716|-153.0767|1.0|None|None|None|None|ice avalanche|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|1|0|67.0|1|0.0|None|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
302|46|104|Max Kaufman (written communication) "Characteristic sequence of precursory seismicity that merges into continuous signal prior to the main slide signal."|None|None|None

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
490|46|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/46_Iliamna_28Jan2014/photos_figures/46_Iliamna_28Jan2014_waveforms_raw.png|None
491|46|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/46_Iliamna_28Jan2014/photos_figures/46_Iliamna_28Jan2014_waveforms_1-5Hz.png|None
492|46|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/46_Iliamna_28Jan2014/photos_figures/46_Iliamna_28Jan2014_spectrogram.png|None
493|46|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/46_Iliamna_28Jan2014/photos_figures/46_Iliamna_28Jan2014_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
104|46|None|Kaufman, A.M., 2014, written communication|Kaufman (written commun., 2014)|None|None

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
57466|46|959|125.339|103.26|285.14|None|None
57467|46|960|125.339|103.26|285.14|None|None
57468|46|961|125.339|103.26|285.14|None|None
57469|46|2329|134.568|102.66|284.68|None|None
57470|46|2330|134.568|102.66|284.68|None|None
57471|46|2331|134.568|102.66|284.68|None|None
57472|46|2335|134.361|51.25|232.92|None|None
57473|46|2336|134.361|51.25|232.92|None|None
57474|46|2337|134.361|51.25|232.92|None|None
57475|46|2347|117.493|117.63|299.22|None|None
57476|46|2348|117.493|117.63|299.22|None|None
57477|46|2349|117.493|117.63|299.22|None|None
57478|46|2359|200.036|50.36|232.85|None|None
57479|46|2360|200.036|50.36|232.85|None|None
57480|46|2361|200.036|50.36|232.85|None|None
57481|46|2375|89.906|116.67|297.9|None|None
57482|46|2376|89.906|116.67|297.9|None|None
57483|46|2377|89.906|116.67|297.9|None|None
57484|46|2408|166.89|69.89|252.37|None|None
57485|46|2409|166.89|69.89|252.37|None|None
57486|46|2410|166.89|69.89|252.37|None|None
57487|46|977|184.337|311.9|129.68|None|None
57488|46|978|184.337|311.9|129.68|None|None
57489|46|979|184.337|311.9|129.68|None|None
57490|46|2450|78.494|191.74|11.5|None|None
57491|46|2451|78.494|191.74|11.5|None|None
57492|46|2452|78.494|191.74|11.5|None|None
57493|46|2453|76.882|195.8|15.48|None|None
57494|46|2454|76.882|195.8|15.48|None|None
57495|46|2455|76.882|195.8|15.48|None|None
57496|46|980|75.024|193.17|12.91|None|None
57497|46|981|76.828|195.84|15.52|None|None
57498|46|982|79.691|194.61|14.31|None|None
57499|46|983|79.691|194.61|14.31|None|None
57500|46|984|79.691|194.61|14.31|None|None
57501|46|2456|79.05|194.42|14.13|None|None
57502|46|2457|79.05|194.42|14.13|None|None
57503|46|2458|79.05|194.42|14.13|None|None
57504|46|2459|77.825|194.13|13.84|None|None
57505|46|985|74.739|195.94|15.63|None|None
57506|46|986|74.739|195.94|15.63|None|None
57507|46|987|74.739|195.94|15.63|None|None
57508|46|988|74.739|195.94|15.63|None|None
57509|46|989|75.838|197.55|17.2|None|None
57510|46|990|76.545|194.89|14.59|None|None
57511|46|2460|77.27|194.39|14.1|None|None
57512|46|2461|77.27|194.39|14.1|None|None
57513|46|2462|77.27|194.39|14.1|None|None
57514|46|992|76.601|197.11|16.77|None|None
57515|46|993|143.068|14.9|195.49|None|None
57516|46|994|140.413|240.67|58.81|None|None
57517|46|995|89.006|23.72|204.29|None|None
57518|46|996|124.395|20.63|201.33|None|None
57519|46|997|126.516|194.99|14.5|None|None
57520|46|998|154.095|21.8|202.73|None|None
57521|46|999|136.062|16.93|197.57|None|None
57522|46|1000|141.965|19.75|200.53|None|None
57523|46|1001|139.079|19.61|200.37|None|None
57524|46|1002|145.1|17.93|198.66|None|None
57525|46|1003|146.943|19.61|200.41|None|None
57526|46|1004|146.943|19.61|200.41|None|None
57527|46|1005|146.943|19.61|200.41|None|None
57528|46|1006|66.422|18.7|199.03|None|None
57529|46|1007|66.422|18.7|199.03|1|None
57530|46|1008|141.27|200.18|19.45|None|None
57531|46|1009|143.263|189.29|8.95|None|None
57532|46|1010|141.313|194.7|14.17|None|None
57533|46|1011|8.799|47.27|227.37|0|None
57534|46|1012|7.825|177.38|357.39|1|None
57535|46|2465|4.987|315.73|135.68|None|None
57536|46|2466|4.987|315.73|135.68|None|None
57537|46|2467|4.987|315.73|135.68|None|None
57538|46|1013|4.987|315.73|135.68|1|None
57539|46|1014|3.712|10.64|190.65|0|None
57540|46|2468|3.464|110.42|290.47|None|None
57541|46|2469|3.464|110.42|290.47|None|None
57542|46|2470|3.464|110.42|290.47|None|None
57543|46|1015|3.464|110.42|290.47|0|None
57544|46|1016|3.464|110.42|290.47|0|None
57545|46|1017|3.464|110.42|290.47|1|None
57546|46|1018|2.097|189.65|9.64|0|None
57547|46|1143|188.867|216.42|34.76|None|None
57548|46|1144|190.368|206.8|25.53|None|None
57549|46|1149|175.107|204.99|23.9|None|None
57550|46|1150|175.107|204.99|23.9|None|None
57551|46|1151|175.107|204.99|23.9|None|None
57552|46|1152|194.106|209.29|27.89|None|None
57553|46|1019|117.859|217.75|36.66|None|None
57554|46|1020|161.287|17.7|198.5|None|None
57555|46|2472|60.156|7.72|187.85|None|None
57556|46|2473|60.156|7.72|187.85|None|None
57557|46|2474|60.156|7.72|187.85|None|None
57558|46|1021|60.156|7.72|187.85|None|None
57559|46|1022|42.629|191.86|11.73|0|None
57560|46|1023|68.016|247.02|66.06|None|None
57561|46|2484|66.41|18.69|199.03|None|None
57562|46|2485|66.41|18.69|199.03|None|None
57563|46|2486|66.41|18.69|199.03|None|None
57564|46|2487|67.684|23.28|203.7|None|None
57565|46|1025|64.528|13.3|193.54|None|None
57566|46|1026|64.528|13.3|193.54|None|None
