# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
48|Iliamna|2012-10-13 04:16:16|2012-10-13 04:18:05|60.03114|-153.0799|0.2|60.03114|-153.0799|None|None|rock and ice avalanche|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|2|0|195.0|1|0.0|None|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
299|48|101|Matthew Haney (written communication) "The data verify that the recent Iliamna landslide occurred at 8:16 pm local time on Friday October 12 (4:16 the next day UTC time). The observed duration of 6-10 minutes on the closest station IVE corresponds to a flow speed of 5-8 m/s. This one looks like a rockfall that came from the material above the ice (the bare area that is close to the fumaroles)."|None|None|None

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
29|48|Dennis Anderson|Photos posted on AVO website|None|None|None|event_data/48_Iliamna_13Oct2012/photos_figures/48_Iliamna_13Oct2012_source-DennisAnderson_1.jpg|None
46|48|Matthew Haney|Spectrogram and Seismic snapshot|None|None|None|event_data/48_Iliamna_13Oct2012/photos_figures/48_Iliamna_13Oct2012_source-MatthewHaney_3.png|None
480|48|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/48_Iliamna_13Oct2012/photos_figures/48_Iliamna_13Oct2012_waveforms_raw.png|None
481|48|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/48_Iliamna_13Oct2012/photos_figures/48_Iliamna_13Oct2012_waveforms_1-5Hz.png|None
482|48|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/48_Iliamna_13Oct2012/photos_figures/48_Iliamna_13Oct2012_spectrogram.png|None
483|48|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/48_Iliamna_13Oct2012/photos_figures/48_Iliamna_13Oct2012_spectra.png|None
776|48|Matthew Haney|Spectrogram and Seismic snapshot|None|None|None|event_data/48_Iliamna_13Oct2012/photos_figures/48_Iliamna_13Oct2012_source-MatthewHaney_4.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
101|48|None|Haney, M.M., 2012, written communication|Haney (written commun., 2012)b|None|None

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
57729|48|959|125.615|103.44|285.32|0|None
57730|48|960|125.615|103.44|285.32|0|None
57731|48|961|125.615|103.44|285.32|0|None
57732|48|2347|117.857|117.78|299.37|0|None
57733|48|2348|117.857|117.78|299.37|0|None
57734|48|2349|117.857|117.78|299.37|0|None
57735|48|2375|90.265|116.87|298.1|0|None
57736|48|2376|90.265|116.87|298.1|0|None
57737|48|2377|90.265|116.87|298.1|0|None
57738|48|13085|128.766|51.22|232.82|0|None
57739|48|13086|128.766|51.22|232.82|0|None
57740|48|13087|128.766|51.22|232.82|0|None
57741|48|977|183.908|311.83|129.62|1|None
57742|48|978|183.908|311.83|129.62|1|None
57743|48|979|183.908|311.83|129.62|1|None
57744|48|980|75.415|192.96|12.7|None|None
57745|48|981|77.207|195.62|15.3|None|None
57746|48|982|80.075|194.41|14.1|None|None
57747|48|983|80.075|194.41|14.1|None|None
57748|48|984|80.075|194.41|14.1|None|None
57749|48|2459|78.212|193.92|13.63|None|None
57750|48|985|75.117|195.72|15.41|0|None
57751|48|986|75.117|195.72|15.41|0|None
57752|48|987|75.117|195.72|15.41|0|None
57753|48|988|75.117|195.72|15.41|None|None
57754|48|989|76.207|197.32|16.98|None|None
57755|48|990|76.928|194.68|14.38|None|None
57756|48|992|76.973|196.88|16.54|None|None
57757|48|993|142.686|15.01|195.61|1|None
57758|48|994|140.475|240.48|58.62|None|None
57759|48|995|88.673|23.94|204.52|None|None
57760|48|996|124.044|20.77|201.48|None|None
57761|48|997|126.898|194.86|14.37|None|None
57762|48|998|153.749|21.92|202.85|1|None
57763|48|999|135.69|17.05|197.7|0|None
57764|48|1000|141.609|19.88|200.66|0|None
57765|48|1001|138.722|19.74|200.5|0|None
57766|48|1002|144.734|18.05|198.78|0|None
57767|48|1003|146.585|19.73|200.53|0|None
57768|48|1004|146.585|19.73|200.53|0|None
57769|48|1005|146.585|19.73|200.53|0|None
57770|48|1006|66.06|18.96|199.3|None|None
57771|48|1007|66.06|18.96|199.3|1|None
57772|48|1008|141.625|200.04|19.32|None|None
57773|48|1009|143.672|189.19|8.85|None|None
57774|48|1010|141.697|194.59|14.05|None|None
57775|48|1011|8.64|50.23|230.33|0|None
57776|48|1012|8.277|176.28|356.29|None|None
57777|48|1013|4.549|313.44|133.39|None|None
57778|48|1014|3.319|15.08|195.09|None|None
57779|48|1015|3.802|115.75|295.8|None|None
57780|48|1016|3.802|115.75|295.8|None|None
57781|48|1017|3.802|115.75|295.8|None|None
57782|48|1018|2.517|183.94|3.94|None|None
57783|48|1143|189.118|216.3|34.64|0|None
57784|48|1144|190.683|206.69|25.43|0|None
57785|48|1149|175.434|204.87|23.78|0|None
57786|48|1150|175.434|204.87|23.78|0|None
57787|48|1151|175.434|204.87|23.78|0|None
57788|48|1152|194.406|209.18|27.78|1|None
57789|48|1019|118.101|217.55|36.46|None|None
57790|48|1020|160.919|17.8|198.61|None|None
57791|48|2472|59.741|7.95|188.08|None|None
57792|48|2473|59.741|7.95|188.08|None|None
57793|48|2474|59.741|7.95|188.08|None|None
57794|48|1021|59.741|7.95|188.08|None|None
57795|48|1022|43.028|191.5|11.37|None|None
57796|48|1023|68.027|246.62|65.65|None|None
57797|48|2484|66.048|18.96|199.3|None|None
57798|48|2485|66.048|18.96|199.3|None|None
57799|48|2486|66.048|18.96|199.3|None|None
57800|48|2487|67.348|23.56|203.99|None|None
57801|48|1025|64.138|13.54|193.78|1|None
57802|48|1026|64.138|13.54|193.78|1|None
57803|48|1027|64.138|13.54|193.78|1|None
57804|48|1028|57.874|18.81|199.11|1|None
