# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
49|Iliamna|2014-10-03 03:16:44|2014-10-03 03:17:23|60.03175|-153.07788|0.1|60.03175|-153.07788|60.026456|-153.04279|rock fall|None|None|None|None|None|None|None|None|None|None|1000.0|900.0|1200.0|2000.0|1800.0|2400.0|2|0|60.0|1|0.0|None|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
297|49|99|Dennis Anderson (written communication) "It seems to have originated near the fumarole on the northeast flank above Red Glacier. There is also another small rockfall near the fumarole also on the eastern flank and south of the larger one. The RS data show a fresh, 2km long avalanche early UTC on 3 October."|None|None|None

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
27|49|Dennis Anderson|Photos posted on AVO website|None|None|2014-10-07 11:05:21|event_data/49_Iliamna_03Oct2014/photos_figures/49_Iliamna_03Oct2014_source-DennisAnderson_1.jpg|None
43|49|Alaska Volcano Observatory webcam|Illiamna webcam photos|None|None|None|event_data/49_Iliamna_03Oct2014/photos_figures/49_Iliamna_03Oct2014_source-AlaskaVolcanoObservatorywebcam_4.jpg|None
44|49|Unknown|Spectrogram|None|None|None|event_data/49_Iliamna_03Oct2014/photos_figures/49_Iliamna_03Oct2014_source-Unknown_6.png|None
476|49|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/49_Iliamna_03Oct2014/photos_figures/49_Iliamna_03Oct2014_waveforms_raw.png|None
477|49|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/49_Iliamna_03Oct2014/photos_figures/49_Iliamna_03Oct2014_waveforms_1-5Hz.png|None
478|49|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/49_Iliamna_03Oct2014/photos_figures/49_Iliamna_03Oct2014_spectrogram.png|None
479|49|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/49_Iliamna_03Oct2014/photos_figures/49_Iliamna_03Oct2014_spectra.png|None
773|49|Dennis Anderson|Photos posted on AVO website|None|None|2014-10-07 11:08:23|event_data/49_Iliamna_03Oct2014/photos_figures/49_Iliamna_03Oct2014_source-DennisAnderson_2.jpg|None
774|49|Dennis Anderson|Photos posted on AVO website|None|None|2014-10-07 14:31:01|event_data/49_Iliamna_03Oct2014/photos_figures/49_Iliamna_03Oct2014_source-DennisAnderson_3.jpg|None
775|49|Alaska Volcano Observatory webcam|Illiamna webcam photos|None|None|None|event_data/49_Iliamna_03Oct2014/photos_figures/49_Iliamna_03Oct2014_source-AlaskaVolcanoObservatorywebcam_5.jpg|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
99|49|None|Anderson, Dennis, 2014,  written communication|Anderson (written commun., 2014)|None|None

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
57847|49|959|125.521|103.48|285.36|None|None
57848|49|960|125.521|103.48|285.36|None|None
57849|49|961|125.521|103.48|285.36|None|None
57850|49|2329|134.745|102.86|284.88|None|None
57851|49|2330|134.745|102.86|284.88|None|None
57852|49|2331|134.745|102.86|284.88|None|None
57853|49|2335|134.093|51.43|233.11|None|None
57854|49|2336|134.093|51.43|233.11|None|None
57855|49|2337|134.093|51.43|233.11|None|None
57856|49|5672|134.093|51.43|233.11|None|None
57857|49|2347|117.789|117.83|299.43|None|None
57858|49|2348|117.789|117.83|299.43|None|None
57859|49|2349|117.789|117.83|299.43|None|None
57860|49|2359|199.761|50.48|232.97|None|None
57861|49|2360|199.761|50.48|232.97|None|None
57862|49|2361|199.761|50.48|232.97|None|None
57863|49|2375|90.196|116.94|298.17|None|None
57864|49|2376|90.196|116.94|298.17|None|None
57865|49|2377|90.196|116.94|298.17|None|None
57866|49|5674|90.196|116.94|298.17|None|None
57867|49|2408|166.777|70.06|252.54|None|None
57868|49|2409|166.777|70.06|252.54|None|None
57869|49|2410|166.777|70.06|252.54|None|None
57870|49|977|183.947|311.79|129.58|None|None
57871|49|978|183.947|311.79|129.58|None|None
57872|49|979|183.947|311.79|129.58|None|None
57873|49|2450|78.982|191.62|11.37|None|None
57874|49|2451|78.982|191.62|11.37|None|None
57875|49|2452|78.982|191.62|11.37|None|None
57876|49|2453|77.356|195.65|15.33|None|None
57877|49|2454|77.356|195.65|15.33|None|None
57878|49|2455|77.356|195.65|15.33|None|None
57879|49|980|75.507|193.03|12.77|None|None
57880|49|981|77.302|195.69|15.37|None|None
57881|49|982|80.169|194.47|14.17|None|None
57882|49|983|80.169|194.47|14.17|None|None
57883|49|984|80.169|194.47|14.17|None|None
57884|49|2456|79.529|194.29|13.99|None|None
57885|49|2457|79.529|194.29|13.99|None|None
57886|49|2458|79.529|194.29|13.99|None|None
57887|49|2459|78.305|193.99|13.7|None|None
57888|49|985|75.213|195.79|15.48|None|None
57889|49|986|75.213|195.79|15.48|None|None
57890|49|987|75.213|195.79|15.48|None|None
57891|49|988|75.213|195.79|15.48|None|None
57892|49|989|76.306|197.39|17.04|None|None
57893|49|990|77.023|194.75|14.45|None|None
57894|49|2460|77.749|194.25|13.96|None|None
57895|49|2461|77.749|194.25|13.96|None|None
57896|49|2462|77.749|194.25|13.96|None|None
57897|49|992|77.071|196.95|16.61|None|None
57898|49|993|142.591|14.97|195.57|None|None
57899|49|994|140.607|240.48|58.62|None|None
57900|49|995|88.565|23.89|204.47|None|None
57901|49|996|123.94|20.74|201.45|None|None
57902|49|997|126.993|194.9|14.41|None|None
57903|49|998|153.644|21.89|202.82|None|None
57904|49|999|135.592|17.02|197.66|None|None
57905|49|1000|141.507|19.85|200.62|None|None
57906|49|1001|138.62|19.71|200.47|None|None
57907|49|1002|144.634|18.02|198.75|None|None
57908|49|1003|146.483|19.7|200.5|None|None
57909|49|1004|146.483|19.7|200.5|None|None
57910|49|1005|146.483|19.7|200.5|None|None
57911|49|1006|65.959|18.89|199.23|None|None
57912|49|1007|65.959|18.89|199.23|None|None
57913|49|1008|141.727|200.08|19.35|None|None
57914|49|1009|143.757|189.23|8.89|None|None
57915|49|1010|141.791|194.62|14.09|None|None
57916|49|1011|8.51|50.09|230.2|0|None
57917|49|1012|8.339|177.09|357.1|1|None
57918|49|2465|4.586|311.86|131.8|0|None
57919|49|2466|4.586|311.86|131.8|0|None
57920|49|2467|4.586|311.86|131.8|0|None
57921|49|1013|4.586|311.86|131.8|0|None
57922|49|1014|3.225|13.46|193.47|0|None
57923|49|2468|3.732|117.44|297.49|1|None
57924|49|2469|3.732|117.44|297.49|1|None
57925|49|2470|3.732|117.44|297.49|1|None
57926|49|1015|3.732|117.44|297.49|0|None
57927|49|1016|3.732|117.44|297.49|0|None
57928|49|1017|3.732|117.44|297.49|1|None
57929|49|1018|2.595|186.32|6.31|None|None
57930|49|1143|189.239|216.31|34.65|None|None
57931|49|1144|190.795|206.71|25.45|None|None
57932|49|1149|175.543|204.9|23.81|None|None
57933|49|1150|175.543|204.9|23.81|None|None
57934|49|1151|175.543|204.9|23.81|None|None
