# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
50|Iliamna|2014-07-20 15:58:16|2014-07-20 16:05:06|60.026819|-153.062878|0.0|60.026819|-153.062878|60.02386|-153.0423|ice and rock avalanche|330000.0|13000.0|6200.0|17000.0|150000.0|97000.0|230000.0|None|None|None|1400.0|1300.0|1500.0|2400.0|2300.0|2410.0|None|None|None|None|None|None|None|None|None|None|4|0|None|None|9.0|1|None|None|0.0|None|0|0.0|None|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.

# 
# gisfiles
# 
# GisId|Eventid|Type|Source|Description|FileExtension|ApplyAlso
25|50|Static map - pdf|QGIS - kallstadt; DigitalGlobe|Static map showing outlines and centerline overlain on DigitalGlobe satellite image acquired on 7/26/2014. Legacy Identifier: 1050410011122A00.|EventData/50_Iliamna_20Jul2014/maps_gis/50_Iliamna_20140720_imagery.pdf|None
26|50|GIS shapefile|ArcMap - bmcvey and QGIS - kallstadt|Outline of Source and runout based on DigitalGlobe Imagery (gis_id 25)|EventData/50_Iliamna_20Jul2014/maps_gis/50_Iliamna20140720_outlines_UTM5N.zip|None
27|50|GIS shapefile|ArcMap - bmcvey and QGIS - kallstadt|Centerline based on outline (gis_id 26)|EventData/50_Iliamna_20Jul2014/maps_gis/50_Iliamna20140720_centerline_UTM5N.zip|None
187|50|Static map - png|QGIS - kallstadt; DigitalGlobe|Static map showing outlines and centerline overlain on DigitalGlobe satellite image acquired on 7/26/2014. Legacy Identifier: 1050410011122A00.|EventData/50_Iliamna_20Jul2014/maps_gis/50_Iliamna_20140720_imagery.png|None

# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
123|50|None|Imagery found on Digital Globe, used to make outlines, centerlines, and measure L and Areas, and Lat/Lon.|None|25|None
138|50|57|Volume estimates determined by bedrock landslide values in Larsen and others (2010) with bedrock scar geometry. Volume_high and Volume_low estimates made by propagating uncertainties in alpha and gamma values (Larsen and others) and standard deviation of source areas (Area_Source_high, Area_source_low, Area_source). Estimates rounded to two significant digits.|None|None|None
300|50|102|Rick Wessels (written communication) "Data from 20 July show the rockfall on the east side of Iliamna extending about 2.8km from the summit.  The deposit is up to 300m wide.  The deposit appears to be dominantly snow and ice with streaks of rock debris mixed in. From a look at the seismic data, the avalanche/rockfall occurred at approximately 16:00 UTC (8:00 am AKDT) on the 20th."|None|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
47|50|Matthew Haney|Spectrogram|None|None|None|EventData/50_Iliamna_20Jul2014/photos_figures/50_Iliamna_20Jul2014_source-MatthewHaney_1.png|None
48|50|Kate Bull|Photograph showing source and runout|None|None|2014-07-21 13:16:06|EventData/50_Iliamna_20Jul2014/photos_figures/50_Iliamna_20Jul2014_source-KateBull_3.jpg|None
472|50|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/50_Iliamna_20Jul2014/photos_figures/50_Iliamna_20Jul2014_waveforms_raw.png|None
473|50|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/50_Iliamna_20Jul2014/photos_figures/50_Iliamna_20Jul2014_waveforms_1-5Hz.png|None
474|50|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/50_Iliamna_20Jul2014/photos_figures/50_Iliamna_20Jul2014_spectrogram.png|None
475|50|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/50_Iliamna_20Jul2014/photos_figures/50_Iliamna_20Jul2014_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
102|50|None|Wessels, Rick, 2014, written communication|Wessels (written commun., 2014)|None|None

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
58001|50|959|124.58|103.34|285.21|None|None|None|None|None
58002|50|960|124.58|103.34|285.21|None|None|None|None|None
58003|50|961|124.58|103.34|285.21|None|None|None|None|None
58004|50|2329|133.808|102.73|284.73|None|None|None|None|None
58005|50|2330|133.808|102.73|284.73|None|None|None|None|None
58006|50|2331|133.808|102.73|284.73|None|None|None|None|None
58007|50|2335|133.785|51.04|232.7|None|None|None|None|None
58008|50|2336|133.785|51.04|232.7|None|None|None|None|None
58009|50|2337|133.785|51.04|232.7|None|None|None|None|None
58010|50|5672|133.785|51.04|232.7|None|None|None|None|None
58011|50|2347|116.793|117.8|299.38|None|None|None|None|None
58012|50|2348|116.793|117.8|299.38|None|None|None|None|None
58013|50|2349|116.793|117.8|299.38|None|None|None|None|None
58014|50|2359|199.467|50.22|232.7|None|None|None|None|None
58015|50|2360|199.467|50.22|232.7|None|None|None|None|None
58016|50|2361|199.467|50.22|232.7|None|None|None|None|None
58017|50|2375|89.201|116.88|298.1|None|None|None|None|None
58018|50|2376|89.201|116.88|298.1|None|None|None|None|None
58019|50|2377|89.201|116.88|298.1|None|None|None|None|None
58020|50|2408|166.18|69.8|252.27|None|None|None|None|None
58021|50|2409|166.18|69.8|252.27|None|None|None|None|None
58022|50|2410|166.18|69.8|252.27|None|None|None|None|None
58023|50|977|184.937|311.76|129.53|None|None|None|None|None
58024|50|978|184.937|311.76|129.53|None|None|None|None|None
58025|50|979|184.937|311.76|129.53|None|None|None|None|None
58026|50|2450|78.618|192.31|12.05|None|None|None|None|None
58027|50|2451|78.618|192.31|12.05|None|None|None|None|None
58028|50|2452|78.618|192.31|12.05|None|None|None|None|None
58029|50|2453|77.059|196.37|16.04|None|None|None|None|None
58030|50|2454|77.059|196.37|16.04|None|None|None|None|None
58031|50|2455|77.059|196.37|16.04|None|None|None|None|None
58032|50|980|75.166|193.76|13.49|None|None|None|None|None
58033|50|981|77.006|196.41|16.08|None|None|None|None|None
58034|50|982|79.852|195.17|14.85|None|None|None|None|None
58035|50|983|79.852|195.17|14.85|None|None|None|None|None
58036|50|984|79.852|195.17|14.85|None|None|None|None|None
58037|50|2456|79.209|194.98|14.67|None|None|None|None|None
58038|50|2457|79.209|194.98|14.67|None|None|None|None|None
58039|50|2458|79.209|194.98|14.67|None|None|None|None|None
58040|50|2459|77.98|194.7|14.4|None|None|None|None|None
58041|50|985|74.918|196.53|16.21|None|None|None|None|None
58042|50|986|74.918|196.53|16.21|None|None|None|None|None
58043|50|987|74.918|196.53|16.21|None|None|None|None|None
58044|50|988|74.918|196.53|16.21|None|None|None|None|None
58045|50|989|76.038|198.13|17.77|None|None|None|None|None
58046|50|990|76.71|195.47|15.16|None|None|None|None|None
58047|50|2460|77.428|194.96|14.66|None|None|None|None|None
58048|50|2461|77.428|194.96|14.66|None|None|None|None|None
58049|50|2462|77.428|194.96|14.66|None|None|None|None|None
58050|50|992|76.795|197.68|17.32|None|None|None|None|None
58051|50|993|142.908|14.61|195.19|None|None|None|None|None
58052|50|994|141.067|240.85|58.98|None|None|None|None|None
58053|50|995|88.734|23.27|203.83|None|None|None|None|None
58054|50|996|124.162|20.3|201.0|None|None|None|None|None
58055|50|997|126.681|195.34|14.84|None|None|None|None|None
58056|50|998|153.845|21.54|202.45|None|None|None|None|None
58057|50|999|135.876|16.62|197.25|None|None|None|None|None
58058|50|1000|141.743|19.46|200.23|None|None|None|None|None
58059|50|1001|138.858|19.32|200.06|None|None|None|None|None
58060|50|1002|144.901|17.65|198.36|None|None|None|None|None
58061|50|1003|146.722|19.33|200.12|None|None|None|None|None
58062|50|1004|146.722|19.33|200.12|None|None|None|None|None
58063|50|1005|146.722|19.33|200.12|None|None|None|None|None
58064|50|1006|66.215|18.06|198.39|None|None|None|None|None
58065|50|1007|66.215|18.06|198.39|None|None|None|None|None
58066|50|1008|141.502|200.49|19.75|None|None|None|None|None
58067|50|1009|143.352|189.61|9.25|None|None|None|None|None
58068|50|1010|141.474|195.02|14.48|None|None|None|None|None
58069|50|1011|8.277|43.46|223.55|None|0|None|None|None
58070|50|1012|7.79|183.05|3.05|None|1|None|None|None
58071|50|2465|5.577|310.34|130.27|None|None|None|None|None
58072|50|2466|5.577|310.34|130.27|None|None|None|None|None
58073|50|2467|5.577|310.34|130.27|None|None|None|None|None
58074|50|1013|5.577|310.34|130.27|None|0|None|None|None
58075|50|1014|3.687|358.68|178.68|None|0|None|None|None
58076|50|2468|2.738|115.32|295.36|None|None|None|None|None
58077|50|2469|2.738|115.32|295.36|None|None|None|None|None
58078|50|2470|2.738|115.32|295.36|None|None|None|None|None
58079|50|1015|2.738|115.32|295.36|None|0|None|None|None
58080|50|1016|2.738|115.32|295.36|None|0|None|None|None
58081|50|1017|2.738|115.32|295.36|None|1|None|None|None
58082|50|1018|2.319|208.95|28.93|None|None|None|None|None
58083|50|1143|189.295|216.63|34.95|None|None|None|None|None
58084|50|1144|190.683|207.02|25.75|None|None|None|None|None
58085|50|1149|175.4|205.24|24.13|None|None|None|None|None
58086|50|1150|175.4|205.24|24.13|None|None|None|None|None
58087|50|1151|175.4|205.24|24.13|None|None|None|None|None
58088|50|1152|194.451|209.51|28.1|None|None|None|None|None
58089|50|1019|118.303|218.07|36.97|None|None|None|None|None
58090|50|1020|161.091|17.44|198.23|None|None|None|None|None
58091|50|2472|60.095|7.0|187.12|None|None|None|None|None
