# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
52|Mount St Helens|2015-09-17 23:27:00|2015-09-18 00:41:44|46.205076|-122.214418|2.0|46.205076|-122.214418|None|None|debris flow|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|1|0|7.0|1|0.0|None|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
372|52|86|Kurt Spicer (written communication) "Upper SF Toutle AFM recorded elevated levels from about 1700 to 1800 PDT on September 17. Debris flow signals also show on the SHW seismometer record. Weather was showery, but Loowit tipping bucket rain gage only showed about .10 ft of rain from 1600 to 1800. A separate smaller event shows on September 21 just after 0200 PDT. As of this post, neither event has been confirmed by field observations, but today we received a phone call from a WA Dept. of Fish and Wildlife employee asking about the cause of greatly elevated turbidity in the lower SF Toutle where he has been doing salmon spawning surveys. He commented that the last month turbidity levels have been much greater than what he has observed during the last 5 years he's been doing the surveys, and that the layer of fine sediment depositing on the gravel spawning beds is cementing the gravels and will likely significantly depress this year's hatch."|None|None|None

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
464|52|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/52_MountStHelens_17Sep2015/photos_figures/52_MountStHelens_17Sep2015_waveforms_raw.png|None
465|52|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/52_MountStHelens_17Sep2015/photos_figures/52_MountStHelens_17Sep2015_waveforms_1-5Hz.png|None
466|52|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/52_MountStHelens_17Sep2015/photos_figures/52_MountStHelens_17Sep2015_spectrogram.png|None
467|52|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/52_MountStHelens_17Sep2015/photos_figures/52_MountStHelens_17Sep2015_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
58597|52|2712|273.254|165.57|346.17|None|None
58598|52|2713|273.254|165.57|346.17|None|None
58599|52|2714|273.254|165.57|346.17|None|None
58600|52|2715|285.383|162.49|343.24|None|None
58601|52|2716|285.383|162.49|343.24|None|None
58602|52|2717|285.383|162.49|343.24|None|None
58603|52|2720|286.593|163.98|344.67|None|None
58604|52|2721|286.593|163.98|344.67|None|None
58605|52|2722|286.593|163.98|344.67|None|None
58606|52|2723|91.226|159.57|339.86|None|None
58607|52|2724|91.226|159.57|339.86|None|None
58608|52|2725|91.226|159.57|339.86|None|None
58609|52|10031|233.555|172.81|353.07|None|None
58610|52|10032|233.555|172.81|353.07|None|None
58611|52|10033|233.555|172.81|353.07|None|None
58612|52|76|7.788|358.08|178.08|None|None
58613|52|77|7.788|358.08|178.08|None|None
58614|52|78|7.788|358.08|178.08|None|None
58615|52|2726|281.707|165.04|345.68|None|None
58616|52|2727|281.707|165.04|345.68|None|None
58617|52|2728|281.707|165.04|345.68|None|None
58618|52|2729|284.363|164.19|344.87|None|None
58619|52|2730|284.363|164.19|344.87|None|None
58620|52|2731|284.363|164.19|344.87|None|None
58621|52|79|83.062|21.48|201.77|None|None
58622|52|80|83.062|21.48|201.77|None|None
58623|52|81|83.062|21.48|201.77|None|None
58624|52|3169|102.07|157.0|337.37|None|None
58625|52|3170|102.07|157.0|337.37|None|None
58626|52|3171|102.07|157.0|337.37|None|None
58627|52|82|84.902|30.9|211.32|None|None
58628|52|83|84.902|30.9|211.32|None|None
58629|52|84|84.902|30.9|211.32|None|None
58630|52|491|222.632|174.81|354.99|None|None
58631|52|492|222.632|174.81|354.99|None|None
58632|52|493|222.632|174.81|354.99|None|None
58633|52|85|1.916|106.39|286.4|0|None
58634|52|86|1.916|106.39|286.4|0|None
58635|52|87|1.916|106.39|286.4|0|None
58636|52|10010|98.064|146.85|327.34|None|None
58637|52|10011|98.064|146.85|327.34|None|None
58638|52|10012|98.064|146.85|327.34|None|None
58639|52|5579|91.886|34.21|214.7|None|None
58640|52|5580|91.886|34.21|214.7|None|None
58641|52|5581|91.886|34.21|214.7|None|None
58642|52|88|3.691|348.5|168.49|1|None
58643|52|89|3.691|348.5|168.49|1|None
58644|52|90|3.691|348.5|168.49|1|None
58645|52|91|3.166|68.41|248.44|1|None
58646|52|2732|294.648|164.74|345.41|None|None
58647|52|2733|294.648|164.74|345.41|None|None
58648|52|2734|294.648|164.74|345.41|None|None
58649|52|92|2.976|183.5|3.5|1|None
58650|52|93|2.976|183.5|3.5|1|None
58651|52|94|2.976|183.5|3.5|1|None
58652|52|2735|289.468|166.15|346.76|None|None
58653|52|2736|289.468|166.15|346.76|None|None
58654|52|2737|289.468|166.15|346.76|None|None
58655|52|497|222.531|168.61|349.0|None|None
58656|52|498|222.531|168.61|349.0|None|None
58657|52|499|222.531|168.61|349.0|None|None
58658|52|2738|104.277|157.73|338.09|None|None
58659|52|2739|104.277|157.73|338.09|None|None
58660|52|500|104.277|157.73|338.09|None|None
58661|52|95|2.192|62.37|242.39|0|None
58662|52|96|2.192|62.37|242.39|0|None
58663|52|97|2.192|62.37|242.39|0|None
58664|52|501|240.465|172.4|352.68|None|None
58665|52|502|240.465|172.4|352.68|None|None
