# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
54|Red Glacier, Iliamna|2003-07-25 10:20:37|2003-07-25 10:23:46|60.02825|-153.0787|0.0|60.02825|-153.0787|59.9974|-152.8588|ice avalanche|None|None|None|None|16000000.0|12000000.0|20000000.0|None|None|None|1940.0|None|None|8570.0|None|None|None|None|None|None|None|None|None|None|None|None|5|0|None|None|357.0|1|None|None|0.0|None|None|None|None|IRIS, EventData/54_RedGlacierIliamna_25Jul2003/54_RedGlacierIliamna_25Jul2003_seismic_data.zip|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
2|54|3|Volumes from Table 1 in Caplan-Auerbach and Huggel (2007) - used range of total volumes reported and took central value as best estimate. H and L are taken directly from this table.|None|None|None
354|2|113|This event occurred before all Alaska data was archived at IRIS. The miniseed files for nearby stations was shared by the Alaska Earthquake Center. We have extracted waveforms from all stations within the maximum radius for which seismic waves were observable for this event, up to 600 km maximum, for 5 minutes before the event approximate start time and 5 minutes after the approximate end time. Metadata information for many stations is available at IRIS, but the metadata for the exact time period may or may not be present.
SH? channels were all changed to EH? channels in the referenced files for consistency with how the stations are currently archived at IRIS. Note that the AV and AK network codes have switched for some stations now that they are archived at IRIS.
Files are named by STATION.NETWORK.LOCATION.CHANNEL.YYYYMMDDHHMMSS.m and are in miniseed format.|None|None|51,54,55,56,57,66,68,69,70,71,72

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
456|54|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/54_RedGlacierIliamna_25Jul2003/photos_figures/54_RedGlacierIliamna_25Jul2003_waveforms_raw.png|None
457|54|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/54_RedGlacierIliamna_25Jul2003/photos_figures/54_RedGlacierIliamna_25Jul2003_waveforms_1-5Hz.png|None
458|54|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/54_RedGlacierIliamna_25Jul2003/photos_figures/54_RedGlacierIliamna_25Jul2003_spectrogram.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
3|54|55,56,57|Caplan-Auerbach, J., and Huggel, C., 2007, Precursory seismicity associated with frequent, large ice avalances on Iliamna volcano, Alaska, USA: Journal of Glaciology, v. 53, no. 180, p. 128-140.|Caplan-Auerbach and Huggel (2007)|None|None

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
60275|54|1135|240.021|213.43|31.5|None|0|None|None|None
60276|54|1136|240.021|213.43|31.5|None|0|None|None|None
60277|54|1137|240.021|213.43|31.5|None|0|None|None|None
60279|54|9646|1716.972|248.64|48.94|None|None|None|None|None
60280|54|9647|1716.972|248.64|48.94|None|None|None|None|None
60281|54|6061|1716.972|248.64|48.94|None|None|None|None|None
60282|54|5832|1012.283|235.05|44.33|None|None|None|None|None
60283|54|5850|1007.247|234.71|44.09|None|None|None|None|None
60284|54|5848|1007.247|234.71|44.09|None|None|None|None|None
60285|54|5849|1007.247|234.71|44.09|None|None|None|None|None
60289|54|5854|1018.153|235.48|44.64|None|None|None|None|None
60311|54|1138|246.424|215.23|33.15|None|1|None|None|None
60313|54|5858|452.546|222.1|37.85|None|None|None|None|None
60314|54|5859|453.775|223.51|39.12|None|None|None|None|None
60315|54|5861|456.167|222.84|38.49|None|None|None|None|None
60316|54|5860|456.167|222.84|38.49|None|None|None|None|None
60317|54|5862|456.167|222.84|38.49|None|None|None|None|None
60319|54|5864|461.311|221.9|37.59|None|None|None|None|None
60321|54|980|75.117|193.06|12.8|None|0|None|None|None
60322|54|981|76.915|195.73|15.42|None|1|None|None|None
60323|54|982|79.78|194.51|14.21|None|1|None|None|None
60324|54|983|79.78|194.51|14.21|None|1|None|None|None
60325|54|984|79.78|194.51|14.21|None|1|None|None|None
60326|54|988|74.825|195.83|15.52|None|0|None|None|None
60327|54|990|76.634|194.79|14.49|None|0|None|None|None
60330|54|992|76.684|197.0|16.66|None|1|None|None|None
60331|54|5865|460.527|222.98|38.58|None|None|None|None|None
60339|54|994|140.375|240.61|58.75|None|1|None|None|None
60340|54|5866|790.122|231.32|43.11|None|None|None|None|None
60341|54|5867|717.377|231.78|44.16|None|None|None|None|None
60347|54|1540|476.955|73.67|261.04|None|None|None|None|None
60348|54|1539|476.955|73.67|261.04|None|None|None|None|None
60349|54|4225|476.955|73.67|261.04|None|None|None|None|None
60350|54|4223|476.955|73.67|261.04|None|None|None|None|None
60351|54|1541|476.955|73.67|261.04|None|None|None|None|None
60352|54|4224|476.955|73.67|261.04|None|None|None|None|None
60354|54|5869|876.668|231.56|42.56|None|None|None|None|None
60356|54|2463|254.503|211.08|29.17|None|1|None|None|None
60358|54|997|126.604|194.93|14.44|None|0|None|None|None
60362|54|2464|253.813|220.47|38.06|None|1|None|None|None
60363|54|2518|602.993|24.21|208.84|None|None|None|None|None
60364|54|2519|602.993|24.21|208.84|None|None|None|None|None
60366|54|2517|602.993|24.21|208.84|None|None|None|None|None
60367|54|9259|602.993|24.21|208.84|None|None|None|None|None
60368|54|9260|602.993|24.21|208.84|None|None|None|None|None
60377|54|1713|418.524|69.81|256.17|None|None|None|None|None
60378|54|1712|418.524|69.81|256.17|None|None|None|None|None
60379|54|1711|418.524|69.81|256.17|None|None|None|None|None
60380|54|1709|418.524|69.81|256.17|None|None|None|None|None
60381|54|1714|418.524|69.81|256.17|None|None|None|None|None
60382|54|1710|418.524|69.81|256.17|None|None|None|None|None
60383|54|5872|754.715|227.81|40.39|None|None|None|None|None
60385|54|5873|786.756|228.28|40.52|None|None|None|None|None
60386|54|5874|775.673|229.09|41.31|None|None|None|None|None
60387|54|5875|771.559|229.22|41.46|None|None|None|None|None
60388|54|4229|409.282|78.69|265.05|None|None|None|None|None
60389|54|1723|409.282|78.69|265.05|None|None|None|None|None
60390|54|4230|409.282|78.69|265.05|None|None|None|None|None
60391|54|1722|409.282|78.69|265.05|None|None|None|None|None
60392|54|1721|409.282|78.69|265.05|None|None|None|None|None
60393|54|4231|409.282|78.69|265.05|None|None|None|None|None
60394|54|963|203.262|50.18|232.71|None|0|None|None|None
60395|54|962|203.262|50.18|232.71|None|0|None|None|None
60396|54|964|203.262|50.18|232.71|None|0|None|None|None
60406|54|9610|1059.463|301.15|104.68|None|None|None|None|None
60407|54|5798|1059.463|301.15|104.68|None|None|None|None|None
60408|54|5799|1059.463|301.15|104.68|None|None|None|None|None
60409|54|9609|1059.463|301.15|104.68|None|None|None|None|None
60410|54|5800|1059.463|301.15|104.68|None|None|None|None|None
60411|54|9608|1059.463|301.15|104.68|None|None|None|None|None
60412|54|13079|561.123|341.17|157.8|None|None|None|None|None
60413|54|13081|561.123|341.17|157.8|None|None|None|None|None
60414|54|13083|561.123|341.17|157.8|None|None|None|None|None
60421|54|5893|742.259|228.9|41.44|None|None|None|None|None
60422|54|12910|500.535|54.75|241.7|None|None|None|None|None
60423|54|12908|500.535|54.75|241.7|None|None|None|None|None
60424|54|12909|500.535|54.75|241.7|None|None|None|None|None
60429|54|5894|1011.048|235.62|44.82|None|None|None|None|None
60457|54|1012|7.952|176.62|356.62|None|1|None|None|None
60466|54|5896|863.131|232.61|43.58|None|None|None|None|None
60467|54|9405|868.078|231.88|42.91|None|None|None|None|None
60468|54|1016|3.611|111.61|291.66|None|1|None|None|None
60469|54|1015|3.611|111.61|291.66|None|1|None|None|None
60470|54|1017|3.611|111.61|291.66|None|1|None|None|None
60471|54|1018|2.202|186.25|6.25|None|1|None|None|None
60473|54|1139|237.599|207.98|26.36|None|0|None|None|None
60474|54|1143|188.898|216.37|34.71|None|1|None|None|None
60475|54|1144|190.426|206.75|25.49|None|1|None|None|None
60477|54|1145|205.412|214.0|32.31|None|1|None|None|None
60478|54|1149|175.17|204.94|23.85|None|1|None|None|None
60479|54|1150|175.17|204.94|23.85|None|1|None|None|None
60480|54|1151|175.17|204.94|23.85|None|1|None|None|None
60481|54|1152|194.158|209.25|27.85|None|1|None|None|None
60482|54|1153|207.476|208.69|27.23|None|1|None|None|None
60483|54|1154|230.111|212.81|30.99|None|1|None|None|None
60484|54|1155|232.598|212.14|30.33|None|1|None|None|None
60485|54|1157|224.286|212.13|30.38|None|0|None|None|None
60486|54|1156|224.286|212.13|30.38|None|0|None|None|None
60487|54|1158|224.286|212.13|30.38|None|0|None|None|None
60488|54|4206|251.749|173.28|353.7|None|1|None|None|None
60489|54|4207|251.749|173.28|353.7|None|1|None|None|None
60490|54|2505|251.749|173.28|353.7|None|1|None|None|None
60493|54|1159|233.331|221.82|39.53|None|1|None|None|None
60494|54|2471|262.527|214.16|32.02|None|1|None|None|None
60498|54|1160|222.992|215.59|33.68|None|1|None|None|None
60500|54|5912|1018.684|235.82|44.92|None|None|None|None|None
60501|54|5913|1075.005|237.09|45.47|None|None|None|None|None
60502|54|2389|466.482|26.01|209.67|None|None|None|None|None
60503|54|2388|466.482|26.01|209.67|None|None|None|None|None
60504|54|2387|466.482|26.01|209.67|None|None|None|None|None
60507|54|1161|242.516|210.42|28.63|None|1|None|None|None
60508|54|5914|1086.553|236.39|44.8|None|None|None|None|None
60511|54|1019|117.887|217.67|36.58|None|1|None|None|None
60512|54|5915|1070.591|236.29|44.85|None|None|None|None|None
60515|54|5923|1072.84|236.68|45.15|None|None|None|None|None
60516|54|5921|1072.84|236.68|45.15|None|None|None|None|None
60517|54|5922|1072.84|236.68|45.15|None|None|None|None|None
60518|54|5924|1063.696|236.64|45.2|None|None|None|None|None
60524|54|1022|42.726|191.68|11.55|None|1|None|None|None
60528|54|10386|713.279|83.83|274.96|None|None|None|None|None
60529|54|4234|713.279|83.83|274.96|None|None|None|None|None
60530|54|10385|713.279|83.83|274.96|None|None|None|None|None
60531|54|10387|713.279|83.83|274.96|None|None|None|None|None
60532|54|4232|713.279|83.83|274.96|None|None|None|None|None
60533|54|4233|713.279|83.83|274.96|None|None|None|None|None
60536|54|1132|276.584|49.25|232.69|None|0|None|None|None
60537|54|1133|276.584|49.25|232.69|None|1|None|None|None
60538|54|1134|276.584|49.25|232.69|None|1|None|None|None
60540|54|5946|736.584|229.91|42.36|None|None|None|None|None
60542|54|1598|766.279|87.08|278.92|None|None|None|None|None
60543|54|1596|766.279|87.08|278.92|None|None|None|None|None
60544|54|1597|766.279|87.08|278.92|None|None|None|None|None
60547|54|1126|323.085|8.05|188.83|None|0|None|None|None
60549|54|1127|323.085|8.05|188.83|None|0|None|None|None
60552|54|1128|323.085|8.05|188.83|None|0|None|None|None
60553|54|5947|726.907|228.9|41.57|None|None|None|None|None
60554|54|5951|731.674|229.75|42.26|None|None|None|None|None
60555|54|5949|731.674|229.75|42.26|None|None|None|None|None
60556|54|5950|731.674|229.75|42.26|None|None|None|None|None
60557|54|5952|732.841|228.81|41.44|None|None|None|None|None
60561|54|965|217.975|55.73|238.64|None|1|None|None|None
60562|54|966|217.975|55.73|238.64|None|1|None|None|None
60563|54|967|217.975|55.73|238.64|None|1|None|None|None
60565|54|1037|46.755|21.03|201.29|None|1|None|None|None
60566|54|1036|46.755|21.03|201.29|None|1|None|None|None
60567|54|344|46.755|21.03|201.29|None|1|None|None|None
60573|54|1131|324.82|50.36|234.51|None|1|None|None|None
60574|54|1130|324.82|50.36|234.51|None|1|None|None|None
60575|54|1129|324.82|50.36|234.51|None|1|None|None|None
60580|54|1637|1081.749|100.02|295.21|None|None|None|None|None
60581|54|1636|1081.749|100.02|295.21|None|None|None|None|None
60582|54|1635|1081.749|100.02|295.21|None|None|None|None|None
60583|54|5828|2156.395|262.53|54.91|None|None|None|None|None
60584|54|5829|2156.395|262.53|54.91|None|None|None|None|None
60586|54|5830|2156.395|262.53|54.91|None|None|None|None|None
60587|54|5956|874.45|233.18|43.96|None|None|None|None|None
60589|54|5958|882.61|232.68|43.47|None|None|None|None|None
60590|54|5957|882.61|232.68|43.47|None|None|None|None|None
60591|54|5959|882.61|232.68|43.47|None|None|None|None|None
60592|54|5960|883.261|233.35|44.03|None|None|None|None|None
60595|54|974|202.084|86.03|269.17|None|0|None|None|None
60596|54|4236|202.084|86.03|269.17|None|0|None|None|None
60597|54|4235|202.084|86.03|269.17|None|0|None|None|None
60598|54|975|202.084|86.03|269.17|None|0|None|None|None
60599|54|4237|202.084|86.03|269.17|None|0|None|None|None
60600|54|976|202.084|86.03|269.17|None|0|None|None|None
60601|54|1162|162.803|165.84|346.43|None|1|None|None|None
60604|54|4238|540.078|42.53|228.98|None|None|None|None|None
60605|54|4239|540.078|42.53|228.98|None|None|None|None|None
60606|54|4240|540.078|42.53|228.98|None|None|None|None|None
60608|54|9617|972.709|315.59|122.35|None|None|None|None|None
60609|54|5815|972.709|315.59|122.35|None|None|None|None|None
60610|54|9618|972.709|315.59|122.35|None|None|None|None|None
60611|54|5814|972.709|315.59|122.35|None|None|None|None|None
60612|54|5813|972.709|315.59|122.35|None|None|None|None|None
60613|54|9619|972.709|315.59|122.35|None|None|None|None|None
60615|54|2412|408.75|19.91|202.37|None|None|None|None|None
60616|54|2411|408.75|19.91|202.37|None|None|None|None|None
60618|54|2413|408.75|19.91|202.37|None|None|None|None|None
60622|54|5816|1065.209|235.67|44.39|None|None|None|None|None
60623|54|9622|1065.209|235.67|44.39|None|None|None|None|None
60624|54|5817|1065.209|235.67|44.39|None|None|None|None|None
