# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
55|Umbrella Glacier, Iliamna|2004-02-09 21:47:54|2004-02-09 21:50:21|60.0262|-153.0886|0.3|60.0262|-153.0886|59.9953|-153.1658|ice avalanche|None|None|None|None|3500000.0|2500000.0|5000000.0|None|None|None|1700.0|None|None|6200.0|None|None|None|None|None|None|None|None|None|None|None|None|5|2|None|None|185.0|1|None|None|478.0|1|None|None|None|IRIS, EventData/55_UmbrellaGlacierIliamna_09Feb2004/55_UmbrellaGlacierIliamna_09Feb2004_seismic_data.zip|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
5|55|3|Volumes from Table 1 in Caplan-Auerbach and Huggel (2007) - used range of total volumes reported and took central value as best estimate. H and L are taken directly from this table.|None|None|None
354|2|113|This event occurred before all Alaska data was archived at IRIS. The miniseed files for nearby stations was shared by the Alaska Earthquake Center. We have extracted waveforms from all stations within the maximum radius for which seismic waves were observable for this event, up to 600 km maximum, for 5 minutes before the event approximate start time and 5 minutes after the approximate end time. Metadata information for many stations is available at IRIS, but the metadata for the exact time period may or may not be present.
SH? channels were all changed to EH? channels in the referenced files for consistency with how the stations are currently archived at IRIS. Note that the AV and AK network codes have switched for some stations now that they are archived at IRIS.
Files are named by STATION.NETWORK.LOCATION.CHANNEL.YYYYMMDDHHMMSS.m and are in miniseed format.|None|None|51,54,55,56,57,66,68,69,70,71,72

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
452|55|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/55_UmbrellaGlacierIliamna_09Feb2004/photos_figures/55_UmbrellaGlacierIliamna_09Feb2004_waveforms_raw.png|None
453|55|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/55_UmbrellaGlacierIliamna_09Feb2004/photos_figures/55_UmbrellaGlacierIliamna_09Feb2004_waveforms_1-5Hz.png|None
454|55|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/55_UmbrellaGlacierIliamna_09Feb2004/photos_figures/55_UmbrellaGlacierIliamna_09Feb2004_spectrogram.png|None
455|55|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/55_UmbrellaGlacierIliamna_09Feb2004/photos_figures/55_UmbrellaGlacierIliamna_09Feb2004_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
61168|55|1135|240.1183532|213.33947|31.42057|None|None|None|None|None
61169|55|1136|240.1183532|213.33947|31.42057|None|None|None|None|None
61170|55|1137|240.1183532|213.33947|31.42057|None|None|None|None|None
61171|55|5831|1709.0981864|248.76098|49.17244|None|None|None|None|None
61173|55|6061|1720.3604308|248.60816|48.9619|None|None|None|None|None
61174|55|9647|1720.3604308|248.60816|48.9619|None|None|None|None|None
61175|55|9646|1720.3604308|248.60816|48.9619|None|None|None|None|None
61176|55|5832|1014.0962568|235.02132|44.33117|None|None|None|None|None
61177|55|5850|1009.0490079999998|234.68165|44.09196|None|None|None|None|None
61178|55|5848|1009.0490079999998|234.68165|44.09196|None|None|None|None|None
61179|55|5849|1009.0490079999998|234.68165|44.09196|None|None|None|None|None
61183|55|5854|1019.9795187999999|235.45832|44.64381|None|None|None|None|None
61184|55|1138|246.5270456|215.14488|33.08215|None|None|None|None|None
61186|55|5858|453.1091356|222.05049|37.81773|None|None|None|None|None
61187|55|5859|454.33476879999995|223.46371|39.09689|None|None|None|None|None
61188|55|5861|456.73594119999996|222.79434|38.46545|None|None|None|None|None
61189|55|5860|456.73594119999996|222.79434|38.46545|None|None|None|None|None
61190|55|5862|456.73594119999996|222.79434|38.46545|None|None|None|None|None
61191|55|5863|471.1607868|222.43991|38.0207|None|None|None|None|None
61192|55|5864|461.89451|221.85114|37.56264|None|None|None|None|None
61193|55|5785|1568.7303455999997|245.55253|47.96282|None|None|None|None|None
61194|55|5784|1568.7303455999997|245.55253|47.96282|None|None|None|None|None
61195|55|9601|1568.7303455999997|245.55253|47.96282|None|None|None|None|None
61196|55|5783|1568.7303455999997|245.55253|47.96282|None|None|None|None|None
61197|55|9599|1568.7303455999997|245.55253|47.96282|None|None|None|None|None
61198|55|9600|1568.7303455999997|245.55253|47.96282|None|None|None|None|None
61199|55|980|74.9584352|192.6813|12.43246|None|0|None|None|None
61200|55|981|76.73844199999999|195.37163|15.06412|None|0|None|None|None
61201|55|982|79.62051679999999|194.15753|13.86342|None|0|None|None|None
61202|55|983|79.62051679999999|194.15753|13.86342|None|0|None|None|None
61203|55|984|79.62051679999999|194.15753|13.86342|None|0|None|None|None
61204|55|988|74.64228639999999|195.46483|15.16375|None|None|None|None|None
61205|55|990|76.4645948|194.42021|14.13234|None|0|None|None|None
61208|55|992|76.49687759999999|196.64444|16.31313|None|0|None|None|None
61209|55|5865|461.10525119999994|222.93619|38.55751|None|None|None|None|None
61211|55|3781|1771.1011999999998|108.50077|309.33955|None|None|None|None|None
61212|55|3779|1771.1011999999998|108.50077|309.33955|None|None|None|None|None
61213|55|3780|1771.1011999999998|108.50077|309.33955|None|None|None|None|None
61220|55|9603|1050.2975207999998|90.90443|286.59072|None|None|None|None|None
61221|55|9602|1050.2975207999998|90.90443|286.59072|None|None|None|None|None
61222|55|1535|1050.2975207999998|90.90443|286.59072|None|None|None|None|None
61223|55|1533|1050.2975207999998|90.90443|286.59072|None|None|None|None|None
61224|55|9604|1050.2975207999998|90.90443|286.59072|None|None|None|None|None
61225|55|1534|1050.2975207999998|90.90443|286.59072|None|None|None|None|None
61226|55|993|143.708554|15.13102|195.73784|None|0|None|None|None
61227|55|994|140.1318424|240.56706|58.71981|None|0|None|None|None
61228|55|995|89.5992416|24.07565|204.65609|None|1|None|None|None
61229|55|996|125.04798240000001|20.88619|201.60221|None|1|None|None|None
61230|55|5866|791.4395588|231.29153|43.10603|None|None|None|None|None
61231|55|5867|718.5282984|231.74979|44.15651|None|None|None|None|None
61237|55|1540|478.76505599999996|73.65551|261.03042|None|None|None|None|None
61238|55|1539|478.76505599999996|73.65551|261.03042|None|None|None|None|None
61239|55|4225|478.76505599999996|73.65551|261.03042|None|None|None|None|None
61240|55|4223|478.76505599999996|73.65551|261.03042|None|None|None|None|None
61241|55|1541|478.76505599999996|73.65551|261.03042|None|None|None|None|None
61242|55|4224|478.76505599999996|73.65551|261.03042|None|None|None|None|None
61243|55|5993|1552.7926611999999|112.90607|310.72145|None|None|None|None|None
61244|55|5868|496.409276|221.71435|37.15393|None|None|None|None|None
