# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
56|Umbrella Glacier, Iliamna|2004-09-08 10:19:03|2004-09-08 10:20:01|60.0272|-153.0867|0.3|60.0272|-153.0867|60.01388|-153.1075|rock and ice avalanche|None|None|None|None|130000.0|100000.0|150000.0|None|None|None|880.0|None|None|1800.0|None|None|None|None|None|None|None|None|None|None|None|None|5|2|None|None|67.0|1|None|None|500.0|0|None|None|None|IRIS, EventData/56_UmbrellaGlacierIliamna_08Sep2004/56_UmbrellaGlacierIliamna_08Sep2004_seismic_data.zip|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
4|56|3|Volumes from Table 1 in Caplan-Auerbach and Huggel (2007) - used range of total volumes reported and took central value as best estimate. H and L are taken directly from this table.|None|None|None
354|2|113|This event occurred before all Alaska data was archived at IRIS. The miniseed files for nearby stations was shared by the Alaska Earthquake Center. We have extracted waveforms from all stations within the maximum radius for which seismic waves were observable for this event, up to 600 km maximum, for 5 minutes before the event approximate start time and 5 minutes after the approximate end time. Metadata information for many stations is available at IRIS, but the metadata for the exact time period may or may not be present.
SH? channels were all changed to EH? channels in the referenced files for consistency with how the stations are currently archived at IRIS. Note that the AV and AK network codes have switched for some stations now that they are archived at IRIS.
Files are named by STATION.NETWORK.LOCATION.CHANNEL.YYYYMMDDHHMMSS.m and are in miniseed format.|None|None|51,54,55,56,57,66,68,69,70,71,72

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
448|56|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/56_UmbrellaGlacierIliamna_08Sep2004/photos_figures/56_UmbrellaGlacierIliamna_08Sep2004_waveforms_raw.png|None
449|56|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/56_UmbrellaGlacierIliamna_08Sep2004/photos_figures/56_UmbrellaGlacierIliamna_08Sep2004_waveforms_1-5Hz.png|None
450|56|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/56_UmbrellaGlacierIliamna_08Sep2004/photos_figures/56_UmbrellaGlacierIliamna_08Sep2004_spectrogram.png|None
451|56|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/56_UmbrellaGlacierIliamna_08Sep2004/photos_figures/56_UmbrellaGlacierIliamna_08Sep2004_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
61650|56|1135|240.27086160000002|213.34763|31.42709|None|None|None|None|None
61651|56|1136|240.27086160000002|213.34763|31.42709|None|None|None|None|None
61652|56|1137|240.27086160000002|213.34763|31.42709|None|None|None|None|None
61653|56|5831|1709.2373363999998|248.76047|49.17022|None|None|None|None|None
61654|56|5832|1014.247652|235.02124|44.32943|None|None|None|None|None
61664|56|5850|1009.2004031999999|234.68162|44.09026|None|None|None|None|None
61665|56|5848|1009.2004031999999|234.68162|44.09026|None|None|None|None|None
61666|56|5849|1009.2004031999999|234.68162|44.09026|None|None|None|None|None
61670|56|5854|1020.1298008|235.4582|44.64201|None|None|None|None|None
61692|56|1138|246.67955399999997|215.15175|33.08739|None|None|None|None|None
61694|56|5858|453.2627572|222.05264|37.81824|None|None|None|None|None
61695|56|5859|454.4895035999999|223.46538|39.09692|None|None|None|None|None
61696|56|5861|456.88956279999996|222.79624|38.46571|None|None|None|None|None
61697|56|5860|456.88956279999996|222.79624|38.46571|None|None|None|None|None
61698|56|5862|456.88956279999996|222.79624|38.46571|None|None|None|None|None
61700|56|5864|462.0492448|221.85335|37.56321|None|None|None|None|None
61701|56|5784|1568.8739484|245.5521|47.96069|None|None|None|None|None
61702|56|5783|1568.8739484|245.5521|47.96069|None|None|None|None|None
61703|56|5785|1568.8739484|245.5521|47.96069|None|None|None|None|None
61704|56|9601|1568.8739484|245.5521|47.96069|None|None|None|None|None
61705|56|9599|1568.8739484|245.5521|47.96069|None|None|None|None|None
61706|56|9600|1568.8739484|245.5521|47.96069|None|None|None|None|None
61707|56|980|75.09090599999999|192.74328|12.49281|None|None|None|None|None
61708|56|981|76.8742524|195.42753|15.11837|None|None|None|None|None
61709|56|982|79.755214|194.21352|13.91777|None|None|None|None|None
61710|56|983|79.755214|194.21352|13.91777|None|None|None|None|None
61711|56|984|79.755214|194.21352|13.91777|None|None|None|None|None
61712|56|988|74.77920999999999|195.52208|15.21935|None|None|None|None|None
61713|56|990|76.599292|194.47798|14.18847|None|None|None|None|None
61716|56|992|76.6349144|196.69824|16.36528|None|None|None|None|None
61717|56|5865|461.25887279999995|222.93804|38.55772|None|None|None|None|None
61719|56|3781|1771.0355211999997|108.50682|309.34412|None|None|None|None|None
61720|56|3779|1771.0355211999997|108.50682|309.34412|None|None|None|None|None
61721|56|3780|1771.0355211999997|108.50682|309.34412|None|None|None|None|None
61728|56|9603|1050.1939932|90.91221|286.59693|None|None|None|None|None
61729|56|9602|1050.1939932|90.91221|286.59693|None|None|None|None|None
61730|56|1535|1050.1939932|90.91221|286.59693|None|None|None|None|None
61731|56|1533|1050.1939932|90.91221|286.59693|None|None|None|None|None
61732|56|9604|1050.1939932|90.91221|286.59693|None|None|None|None|None
61733|56|1534|1050.1939932|90.91221|286.59693|None|None|None|None|None
61734|56|993|143.5727436|15.10339|195.70856|None|None|None|None|None
61735|56|994|140.279898|240.55029|58.70139|None|None|None|None|None
61736|56|995|89.4545256|24.04437|204.62317|None|None|None|None|None
61737|56|996|124.90549279999999|20.86059|201.57497|None|None|None|None|None
61738|56|5866|791.5931803999999|231.29168|43.10452|None|None|None|None|None
61739|56|5867|718.6808067999999|231.74969|44.15476|None|None|None|None|None
61745|56|1540|478.6325852|73.66639|261.03968|None|None|None|0|None
61746|56|1539|478.6325852|73.66639|261.03968|None|None|None|0|None
61747|56|4225|478.6325852|73.66639|261.03968|None|None|None|0|None
61748|56|4223|478.6325852|73.66639|261.03968|None|None|None|0|None
61749|56|1541|478.6325852|73.66639|261.03968|None|None|None|0|None
61750|56|4224|478.6325852|73.66639|261.03968|None|None|None|0|None
61751|56|5993|1552.7381143999999|112.91293|310.72683|None|None|None|None|None
61752|56|2327|468.1106188|12.67447|194.5277|None|None|None|0|None
61753|56|2326|468.1106188|12.67447|194.5277|None|None|None|0|None
61754|56|2328|468.1106188|12.67447|194.5277|None|None|None|0|None
61755|56|5868|496.5628976|221.71656|37.1545|None|None|None|0|None
61757|56|5869|878.3326112|231.53055|42.55977|None|None|None|None|None
61759|56|2463|254.80034799999999|210.99718|29.09918|None|None|None|None|None
