# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
57|Lateral Glacier, Iliamna|2004-09-10 11:36:15|2004-09-10 11:38:49|60.0359|-153.0789|0.2|60.0359|-153.0789|60.0542|-153.0062|rock and ice avalanche|None|None|None|None|5000000.0|4000000.0|6000000.0|None|None|None|1750.0|None|None|4950.0|None|None|None|None|None|None|None|None|None|None|None|None|5|2|None|None|374.0|1|None|None|500.0|0|None|None|None|IRIS, EventData/57_LateralGlacierIliamna_10Sep2004/57_LateralGlacierIliamna_10Sep2004_seismic_data.zip|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
3|57|3|Volumes from Table 1 in Caplan-Auerbach and Huggel (2007) - used range of total volumes reported and took central value as best estimate. H and L are taken directly from this table.|None|None|None
354|2|113|This event occurred before all Alaska data was archived at IRIS. The miniseed files for nearby stations was shared by the Alaska Earthquake Center. We have extracted waveforms from all stations within the maximum radius for which seismic waves were observable for this event, up to 600 km maximum, for 5 minutes before the event approximate start time and 5 minutes after the approximate end time. Metadata information for many stations is available at IRIS, but the metadata for the exact time period may or may not be present.
SH? channels were all changed to EH? channels in the referenced files for consistency with how the stations are currently archived at IRIS. Note that the AV and AK network codes have switched for some stations now that they are archived at IRIS.
Files are named by STATION.NETWORK.LOCATION.CHANNEL.YYYYMMDDHHMMSS.m and are in miniseed format.|None|None|51,54,55,56,57,66,68,69,70,71,72

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
444|57|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/57_LateralGlacierIliamna_10Sep2004/photos_figures/57_LateralGlacierIliamna_10Sep2004_waveforms_raw.png|None
445|57|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/57_LateralGlacierIliamna_10Sep2004/photos_figures/57_LateralGlacierIliamna_10Sep2004_waveforms_1-5Hz.png|None
446|57|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/57_LateralGlacierIliamna_10Sep2004/photos_figures/57_LateralGlacierIliamna_10Sep2004_spectrogram.png|None
447|57|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/57_LateralGlacierIliamna_10Sep2004/photos_figures/57_LateralGlacierIliamna_10Sep2004_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
62215|57|1135|241.32172239999997|213.31401|31.3867|None|0|None|None|None
62216|57|1136|241.32172239999997|213.31401|31.3867|None|0|None|None|None
62217|57|1137|241.32172239999997|213.31401|31.3867|None|0|None|None|None
62218|57|5831|1709.9954255999999|248.74276|49.14485|None|None|None|None|None
62219|57|5832|1015.1615892|234.99741|44.29847|None|None|None|None|None
62220|57|5841|1017.8187975999998|235.57711|44.7577|None|None|None|None|None
62221|57|5840|1017.8187975999998|235.57711|44.7577|None|None|None|None|None
62222|57|5839|1017.8187975999998|235.57711|44.7577|None|None|None|None|None
62223|57|5842|1026.025308|235.40584|44.54416|None|None|None|None|None
62224|57|5843|1026.025308|235.40584|44.54416|None|None|None|None|None
62225|57|5844|1026.025308|235.40584|44.54416|None|None|None|None|None
62226|57|5847|1025.6223295999998|235.72915|44.81626|None|None|None|None|None
62227|57|5845|1025.6223295999998|235.72915|44.81626|None|None|None|None|None
62228|57|5846|1025.6223295999998|235.72915|44.81626|None|None|None|None|None
62229|57|5850|1010.11768|234.65794|44.05945|None|None|None|None|None
62230|57|5848|1010.11768|234.65794|44.05945|None|None|None|None|None
62231|57|5849|1010.11768|234.65794|44.05945|None|None|None|None|None
62235|57|5854|1021.0403983999998|235.43416|44.61083|None|None|None|None|None
62236|57|1138|247.7248488|215.11155|33.0404|None|0|None|None|None
62238|57|5858|454.2768824|222.01818|37.77693|None|None|None|None|None
62239|57|5859|455.49472319999995|223.42791|39.05259|None|None|None|None|None
62240|57|5861|457.89923519999996|222.76047|38.42308|None|None|None|None|None
62241|57|5860|457.89923519999996|222.76047|38.42308|None|None|None|None|None
62242|57|5862|457.89923519999996|222.76047|38.42308|None|None|None|None|None
62243|57|5863|472.325194|222.4082|37.9805|None|None|None|None|None
62244|57|5864|463.06336999999996|221.82012|37.52312|None|None|None|None|None
62245|57|5784|1569.6721128|245.53367|47.93472|None|None|None|None|None
62246|57|9601|1569.6721128|245.53367|47.93472|None|None|None|None|None
62247|57|5783|1569.6721128|245.53367|47.93472|None|None|None|None|None
62248|57|5785|1569.6721128|245.53367|47.93472|None|None|None|None|None
62249|57|9599|1569.6721128|245.53367|47.93472|None|None|None|None|None
62250|57|9600|1569.6721128|245.53367|47.93472|None|None|None|None|None
62251|57|980|76.1350876|192.90864|12.65143|None|0|None|None|None
62252|57|981|77.9273396|195.55313|15.23723|None|0|None|None|None
62253|57|982|80.8049616|194.35068|14.04818|None|0|None|None|None
62254|57|983|80.8049616|194.35068|14.04818|None|1|None|None|None
62255|57|984|80.8049616|194.35068|14.04818|None|1|None|None|None
62256|57|988|75.8322972|195.64964|15.34018|None|0|None|None|None
62257|57|990|77.6490396|194.61686|14.32061|None|0|None|None|None
62260|57|992|77.69022799999999|196.80695|16.46726|None|0|None|None|None
62261|57|5865|462.2674319999999|222.90236|38.51518|None|None|None|None|None
62263|57|3781|1770.9308803999998|108.54697|309.37886|None|None|None|None|None
62264|57|3779|1770.9308803999998|108.54697|309.37886|None|None|None|None|None
62265|57|3780|1770.9308803999998|108.54697|309.37886|None|None|None|None|None
62272|57|9603|1049.7732036|90.97188|286.65058|None|None|None|None|None
62273|57|9602|1049.7732036|90.97188|286.65058|None|None|None|None|None
62274|57|1535|1049.7732036|90.97188|286.65058|None|None|None|None|None
62275|57|1533|1049.7732036|90.97188|286.65058|None|None|None|None|None
62276|57|9604|1049.7732036|90.97188|286.65058|None|None|None|None|None
62277|57|1534|1049.7732036|90.97188|286.65058|None|None|None|None|None
62278|57|993|142.5207696|15.04276|195.64118|None|1|None|None|None
62279|57|994|141.13817519999998|240.30056|58.44485|None|0|None|None|None
62280|57|995|88.3891932|24.04975|204.6218|None|1|None|None|None
62281|57|996|123.84238679999999|20.839|201.54662|None|1|None|None|None
62282|57|5866|792.5405135999999|231.26349|43.06932|None|None|None|None|None
62283|57|5867|719.6248004|231.71733|44.1154|None|None|None|None|None
62289|57|1540|477.941288|73.77005|261.13687|None|None|None|0|None
62290|57|1539|477.941288|73.77005|261.13687|None|None|None|0|None
62291|57|4225|477.941288|73.77005|261.13687|None|None|None|0|None
62292|57|4223|477.941288|73.77005|261.13687|None|None|None|0|None
62293|57|1541|477.941288|73.77005|261.13687|None|None|None|1|None
62294|57|4224|477.941288|73.77005|261.13687|None|None|None|0|None
62295|57|5993|1552.7158504|112.95818|310.76651|None|None|None|None|None
