# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
58|Oso secondary|2014-03-22 17:41:51|2014-03-22 17:44:28|48.2866|-121.85026|0.0|48.2866|-121.85026|48.28509|-121.84967|debris fall|None|None|None|None|50000.0|10000.0|1245000.0|None|None|None|70.0|None|None|200.0|None|None|5|2|251.0|1|80.0|1|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.

# 
# gisfiles
# 
# Gisid|Eventid|Type|Source|Description|FileExtension|ApplyAlso
46|12|Static map - pdf|QGIS - kallstadt; DigitalGlobe|Static map showing outlines and centerline overlain on DigitalGlobe satellite image acquired on 03/31/2014. Legacy Identifier: 1030010030BD9200.|event_data/12_Osomain_22Mar2014/maps_gis/12_Osomain_20140322_imagery.pdf|58
107|12|Static map - pdf|QGIS - kallstadt; DigitalGlobe|Static map showing outlines and centerline overlain on DigitalGlobe satellite image acquired on 03/31/2014. Legacy Identifier: 1030010030BD9200.|event_data/12_Osomain_22Mar2014/maps_gis/12_Osomain_20140322_imagery.png|58

# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
92|58|51|We assumed this event was associated with the debris fall deposits. We measured lat and lons and H and L in google earth. Estimated volume by taking area of deposits in Google Earth (10,000 m2) and estimating 1 to 10m thickness, 5 m best guess. For largest volume estimate, took the 15% of total volume estimated by Hibert and others (2015) for the main event, 1245000 m3, as they proposed in their study.|None|None|None
78|12|39|H/L and volume from Iverson and others (2015). Mass estimated using the reported volume ranges and the density reported in Iverson and others (2015) of 2000 kg/m3, based on core samples.|None|None|58
130|12|None|Imagery found on Digital Globe, used to make outlines, centerlines, and estimate areas, Lat/Lon|None|46|58, 107

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
440|58|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/58_Ososecondary_22Mar2014/photos_figures/58_Ososecondary_22Mar2014_waveforms_raw.png|None
441|58|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/58_Ososecondary_22Mar2014/photos_figures/58_Ososecondary_22Mar2014_waveforms_1-5Hz.png|None
442|58|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/58_Ososecondary_22Mar2014/photos_figures/58_Ososecondary_22Mar2014_spectrogram.png|None
443|58|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/58_Ososecondary_22Mar2014/photos_figures/58_Ososecondary_22Mar2014_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
59380|58|2129|84.313|347.35|167.16|None|None
59381|58|2130|84.313|347.35|167.16|None|None
59382|58|2131|84.313|347.35|167.16|None|None
59383|58|98|88.658|206.94|26.54|None|None
59384|58|99|88.658|206.94|26.54|None|None
59385|58|100|88.658|206.94|26.54|None|None
59386|58|513|99.072|254.62|73.66|0|None
59387|58|514|99.072|254.62|73.66|1|None
59388|58|515|99.072|254.62|73.66|0|None
59389|58|516|94.997|236.73|55.94|0|None
59390|58|517|94.997|236.73|55.94|0|None
59391|58|518|94.997|236.73|55.94|0|None
59392|58|549|95.016|236.75|55.97|0|None
59393|58|550|95.016|236.75|55.97|0|None
59394|58|551|95.016|236.75|55.97|0|None
59395|58|3272|79.531|307.63|126.99|0|0
59396|58|3273|79.531|307.63|126.99|0|0
59397|58|3274|79.531|307.63|126.99|0|1
59398|58|3275|79.531|307.63|126.99|0|0
59399|58|3277|18.411|262.28|82.1|1|0
59400|58|3278|18.411|262.28|82.1|1|0
59401|58|3279|18.411|262.28|82.1|1|0
59402|58|3276|18.411|262.28|82.1|0|0
59403|58|3280|81.878|119.24|299.95|0|None
59404|58|3281|81.878|119.24|299.95|0|None
59405|58|3282|81.878|119.24|299.95|0|None
59406|58|3283|81.878|119.24|299.95|0|None
59407|58|127|89.754|208.4|27.98|0|None
59408|58|349|51.859|195.33|15.19|0|None
59409|58|440|89.145|250.02|69.18|1|None
59410|58|465|25.144|307.37|127.17|1|None
59411|58|612|56.178|109.24|289.77|1|None
59412|58|373|54.028|173.52|353.58|1|None
59413|58|446|11.657|209.5|29.44|1|None
59414|58|469|55.42|356.15|176.11|1|None
59415|58|470|84.725|301.37|120.63|0|None
59416|58|3342|37.38|46.29|226.56|1|1
59417|58|3343|37.38|46.29|226.56|1|1
59418|58|3344|37.38|46.29|226.56|1|1
59419|58|4200|81.015|347.75|167.57|0|None
59420|58|4201|81.015|347.75|167.57|0|None
59421|58|4202|81.015|347.75|167.57|0|None
59422|58|155|95.815|177.85|357.88|0|None
59423|58|156|95.815|177.85|357.88|0|None
59424|58|157|95.815|177.85|357.88|1|None
59425|58|480|30.666|54.01|234.26|0|None
59426|58|2279|67.937|322.23|141.8|0|None
59427|58|3354|64.253|11.42|191.55|0|0
59428|58|3355|64.253|11.42|191.55|0|0
59429|58|3356|64.253|11.42|191.55|0|0
59430|58|166|86.504|200.31|20.02|0|None
59431|58|167|86.504|200.31|20.02|0|None
59432|58|168|86.504|200.31|20.02|0|None
59433|58|3358|92.166|255.56|74.67|0|None
59434|58|633|58.099|270.58|89.99|0|None
59435|58|178|66.898|169.61|349.73|1|0
59436|58|179|66.898|169.61|349.73|1|0
59437|58|180|66.898|169.61|349.73|1|1
59438|58|2288|90.788|288.95|108.08|1|None
59439|58|637|86.508|123.21|303.92|0|None
59440|58|79|154.219|179.01|359.04|1|None
59441|58|80|154.219|179.01|359.04|1|None
59442|58|81|154.219|179.01|359.04|1|None
59443|58|82|159.49|174.3|354.45|1|None
59444|58|83|159.49|174.3|354.45|1|None
59445|58|84|159.49|174.3|354.45|1|None
59446|58|482|164.619|319.93|138.83|None|None
59447|58|483|164.619|319.93|138.83|None|None
59448|58|484|164.619|319.93|138.83|None|None
59449|58|3172|153.999|298.08|116.69|None|None
59450|58|3173|153.999|298.08|116.69|None|None
59451|58|3174|153.999|298.08|116.69|None|None
59452|58|2105|142.875|301.67|120.42|None|None
59453|58|2106|142.875|301.67|120.42|None|None
59454|58|2107|142.875|301.67|120.42|None|None
59455|58|7616|123.302|334.76|154.22|None|None
59456|58|7617|123.302|334.76|154.22|None|None
59457|58|7618|123.302|334.76|154.22|None|None
59458|58|3184|126.405|14.29|194.61|None|None
59459|58|3185|126.405|14.29|194.61|None|None
59460|58|3186|126.405|14.29|194.61|None|None
59461|58|2111|150.383|284.65|103.17|None|None
