# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
60|Mount Shasta|2015-03-31 01:20:14|2015-03-31 01:21:10|41.374987|-122.154568|0.0|41.374987|-122.154568|41.377054|-122.152684|landslide|37000.0|6500.0|5000.0|8000.0|27000.0|None|None|None|None|None|200.0|190.0|210.0|230.0|210.0|270.0|4|0|65.0|1|0.0|None|IRIS, NCEDC|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.

# 
# gisfiles
# 
# Gisid|Eventid|Type|Source|Description|FileExtension|ApplyAlso
52|60|Static map - pdf|QGIS - kallstadt; DigitalGlobe|Static map showing outlines and centerline overlain on DigitalGlobe satellite image acquired on 04/17/15.|event_data/60_MountShasta_31Mar2015/maps_gis/60_MountShasta_20150331_imagery.pdf|None
53|60|GIS shapefile|ArcMap - bmcvey|Outline of Source and runout based on DigitalGlobe Imagery (gis_id 52)|event_data/60_MountShasta_31Mar2015/maps_gis/60_Shasta20150331_outlines_UTM10N.zip|None
54|60|GIS shapefile|ArcMap - bmcvey|Centerline based on outline (gis_id 53)|event_data/60_MountShasta_31Mar2015/maps_gis/60_Shasta20150331_centerline_UTM10N.zip|None
103|60|Static map - pdf|QGIS - kallstadt; DigitalGlobe|Static map showing outlines and centerline overlain on DigitalGlobe satellite image acquired on 04/17/15.|event_data/60_MountShasta_31Mar2015/maps_gis/60_MountShasta_20150331_imagery.png|None

# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
132|60|None|Imagery found on Digital Globe, used to make outlines, centerlines, and measure areas, and Lat/Lon|None|52|None
171|60|114|de la Fuente and others (2016) includes a lidar differencing overlay on an National Agriculture Imagery Program image showing how volume was calculated|None|None|None

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
430|60|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/60_MountShasta_31Mar2015/photos_figures/60_MountShasta_31Mar2015_waveforms_raw.png|None
431|60|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/60_MountShasta_31Mar2015/photos_figures/60_MountShasta_31Mar2015_waveforms_1-5Hz.png|None
432|60|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/60_MountShasta_31Mar2015/photos_figures/60_MountShasta_31Mar2015_spectrogram.png|None
433|60|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/60_MountShasta_31Mar2015/photos_figures/60_MountShasta_31Mar2015_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
62768|60|2634|196.995|194.19|13.82|None|None
62769|60|2635|196.995|194.19|13.82|None|None
62770|60|2636|196.995|194.19|13.82|None|None
62771|60|2637|196.995|194.19|13.82|None|None
62772|60|2638|196.995|194.19|13.82|None|None
62773|60|2639|196.995|194.19|13.82|None|None
62774|60|12|85.137|136.69|317.14|None|None
62775|60|13|85.137|136.69|317.14|None|None
62776|60|14|85.137|136.69|317.14|None|None
62777|60|15|85.137|136.69|317.14|None|None
62778|60|16|85.137|136.69|317.14|None|None
62779|60|17|85.137|136.69|317.14|None|None
62780|60|2084|152.08|334.31|153.77|None|None
62781|60|2085|152.08|334.31|153.77|None|None
62782|60|2086|152.08|334.31|153.77|None|None
62783|60|2087|152.08|334.31|153.77|None|None
62784|60|2088|152.08|334.31|153.77|None|None
62785|60|2089|152.08|334.31|153.77|None|None
62786|60|2646|169.382|249.14|67.9|None|None
62787|60|2647|169.382|249.14|67.9|None|None
62788|60|2648|169.382|249.14|67.9|None|None
62789|60|2649|169.382|249.14|67.9|None|None
62790|60|2650|169.382|249.14|67.9|None|None
62791|60|2651|169.382|249.14|67.9|None|None
62792|60|2676|164.884|68.62|249.85|None|None
62793|60|2677|164.884|68.62|249.85|None|None
62794|60|2678|164.884|68.62|249.85|None|None
62795|60|2679|164.884|68.62|249.85|None|None
62796|60|2680|164.884|68.62|249.85|None|None
62797|60|2681|164.884|68.62|249.85|None|None
62798|60|18|94.242|200.39|20.13|None|None
62799|60|19|94.242|200.39|20.13|None|None
62800|60|20|94.242|200.39|20.13|None|None
62801|60|21|94.242|200.39|20.13|None|None
62802|60|22|94.242|200.39|20.13|None|None
62803|60|23|94.242|200.39|20.13|None|None
62804|60|24|61.016|310.58|130.21|None|None
62805|60|25|61.016|310.58|130.21|None|None
62806|60|26|61.016|310.58|130.21|None|None
62807|60|27|61.016|310.58|130.21|None|None
62808|60|28|61.016|310.58|130.21|None|None
62809|60|29|61.016|310.58|130.21|None|None
62810|60|2718|177.818|1.7|181.74|None|None
62811|60|2719|172.203|3.73|183.82|None|None
62812|60|2743|173.077|0.11|180.12|None|None
62813|60|2744|173.077|0.11|180.12|None|None
62814|60|2745|173.077|0.11|180.12|None|None
62815|60|10117|175.622|185.38|5.25|None|None
62816|60|4317|167.849|195.29|14.96|None|None
62817|60|4324|183.187|194.14|13.8|None|None
62818|60|2823|199.11|146.62|327.45|None|None
62819|60|2162|161.516|321.25|140.42|None|None
62820|60|2163|161.516|321.25|140.42|None|None
62821|60|2164|161.516|321.25|140.42|None|None
62822|60|2905|161.623|321.34|140.52|None|None
62823|60|2906|161.623|321.34|140.52|None|None
62824|60|2907|161.623|321.34|140.52|None|None
62825|60|1|29.471|290.1|109.88|1|None
62826|60|2|29.471|290.1|109.88|1|None
62827|60|3|29.471|290.1|109.88|1|None
62828|60|30|55.202|336.3|156.12|1|None
62829|60|31|55.202|336.3|156.12|1|None
62830|60|32|55.202|336.3|156.12|1|None
62831|60|2908|187.109|236.7|55.49|None|None
62832|60|2909|187.109|236.7|55.49|None|None
62833|60|2910|187.109|236.7|55.49|None|None
62834|60|2917|189.081|228.59|47.5|None|None
62835|60|2918|189.081|228.59|47.5|None|None
62836|60|2919|189.081|228.59|47.5|None|None
62837|60|2935|155.658|230.66|49.73|None|None
62838|60|2936|155.658|230.66|49.73|None|None
62839|60|2937|155.658|230.66|49.73|None|None
62840|60|2978|192.751|320.0|138.99|None|None
62841|60|2979|192.751|320.0|138.99|None|None
62842|60|2980|192.751|320.0|138.99|None|None
62843|60|2981|192.751|320.0|138.99|None|None
62844|60|2982|142.588|13.3|193.57|None|None
62845|60|2983|142.588|13.3|193.57|None|None
62846|60|2984|142.588|13.3|193.57|None|None
62847|60|2985|142.588|13.3|193.57|None|None
62848|60|2986|142.588|13.3|193.57|None|None
62849|60|2987|142.588|13.3|193.57|None|None
62850|60|2988|142.588|13.3|193.57|None|None
62851|60|2989|148.561|306.26|125.29|None|None
62852|60|2990|148.561|306.26|125.29|None|None
62853|60|2991|148.561|306.26|125.29|None|None
62854|60|2992|148.561|306.26|125.29|None|None
62855|60|2993|148.561|306.26|125.29|None|None
62856|60|2994|148.561|306.26|125.29|None|None
62857|60|2995|148.561|306.26|125.29|None|None
62858|60|33|94.361|352.4|172.3|None|None
62859|60|34|94.361|352.4|172.3|None|None
62860|60|35|94.361|352.4|172.3|None|None
62861|60|36|94.361|352.4|172.3|None|None
62862|60|37|94.361|352.4|172.3|None|None
62863|60|38|94.361|352.4|172.3|None|None
62864|60|39|94.361|352.4|172.3|None|None
62865|60|41|58.612|271.97|91.51|1|None
62866|60|42|58.612|271.97|91.51|1|None
62867|60|43|58.612|271.97|91.51|1|None
62868|60|44|58.612|271.97|91.51|1|None
62869|60|45|58.612|271.97|91.51|1|None
62870|60|46|58.612|271.97|91.51|1|None
62871|60|40|58.612|271.97|91.51|0|None
62872|60|47|52.205|30.01|210.22|1|None
62873|60|48|52.205|30.01|210.22|1|None
62874|60|49|52.205|30.01|210.22|1|None
62875|60|50|52.205|30.01|210.22|1|None
62876|60|51|52.205|30.01|210.22|1|None
62877|60|52|52.205|30.01|210.22|1|None
62878|60|53|52.205|30.01|210.22|0|None
62879|60|55|64.309|226.22|45.85|1|None
62880|60|56|64.309|226.22|45.85|1|None
62881|60|57|64.309|226.22|45.85|1|None
62882|60|58|64.309|226.22|45.85|1|None
62883|60|59|64.309|226.22|45.85|1|None
62884|60|60|64.309|226.22|45.85|1|None
62885|60|54|64.309|226.22|45.85|0|None
62886|60|2997|143.575|202.13|21.72|None|None
62887|60|2998|143.575|202.13|21.72|None|None
62888|60|2999|143.575|202.13|21.72|None|None
62889|60|3000|143.575|202.13|21.72|None|None
62890|60|3001|143.575|202.13|21.72|None|None
62891|60|3002|143.575|202.13|21.72|None|None
62892|60|2996|143.575|202.13|21.72|None|None
62893|60|3003|123.692|166.03|346.26|None|None
62894|60|3004|123.692|166.03|346.26|None|None
62895|60|3005|123.692|166.03|346.26|None|None
62896|60|3006|123.692|166.03|346.26|None|None
62897|60|3007|123.692|166.03|346.26|None|None
