# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
62|Mount Rainier|2010-06-05 11:34:48|2010-06-05 11:36:16|46.8483|-121.7456|0.2|46.8483|-121.7456|46.8459|-121.7374|snow avalanche|None|None|None|None|18000.0|10000.0|29000.0|5400000.0|3000000.0|8700000.0|350.0|250.0|450.0|700.0|300.0|1100.0|3|0|4.0|1|0.0|None|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
37|62|29|Hill (2010) estimates a 1-2 m thick slab 300-400 feet wide, assuming a rectangular slab, this amounts to 10,000 - 29,000 m3 with a central estimate (110m on a side, 1.5m thick) of 18,000 m3. For densities, we assumed 300 kg/m3, similar to settled snow or wet snow.|None|None|None

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
426|62|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/62_MountRainier_05Jun2010/photos_figures/62_MountRainier_05Jun2010_waveforms_raw.png|None
427|62|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/62_MountRainier_05Jun2010/photos_figures/62_MountRainier_05Jun2010_waveforms_1-5Hz.png|None
428|62|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/62_MountRainier_05Jun2010/photos_figures/62_MountRainier_05Jun2010_spectrogram.png|None
429|62|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/62_MountRainier_05Jun2010/photos_figures/62_MountRainier_05Jun2010_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
29|62|None|Hill, C., 07 June 2010, Detailed Accident Report [Article], Accessed 23 July 2016, at http://www.avalanche.org/data.php?date=&sort=&id=516|Hill (2010)|None|http://www.avalanche.org/data.php?date=&sort=&id=516

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
64057|62|490|79.553|205.26|24.95|None|None
64058|62|79|7.806|317.1|137.05|None|None
64059|62|80|7.806|317.1|137.05|None|None
64060|62|81|7.806|317.1|137.05|None|None
64061|62|82|7.944|81.35|261.43|None|None
64062|62|83|7.944|81.35|261.43|None|None
64063|62|84|7.944|81.35|261.43|None|None
64064|62|85|79.724|205.52|25.2|None|None
64065|62|86|79.724|205.52|25.2|None|None
64066|62|87|79.724|205.52|25.2|None|None
64067|62|88|77.166|208.56|28.22|None|None
64068|62|89|77.166|208.56|28.22|None|None
64069|62|90|77.166|208.56|28.22|None|None
64070|62|91|77.71|205.32|25.0|None|None
64071|62|494|81.261|205.7|25.37|None|None
64072|62|495|81.261|205.7|25.37|None|None
64073|62|496|81.261|205.7|25.37|None|None
64074|62|500|168.15|179.06|359.08|None|None
64075|62|95|78.273|205.94|25.61|None|None
64076|62|96|78.273|205.94|25.61|None|None
64077|62|97|78.273|205.94|25.61|None|None
64078|62|504|86.854|334.06|153.69|None|None
64079|62|505|86.854|334.06|153.69|None|None
64080|62|506|86.854|334.06|153.69|None|None
64081|62|98|94.115|329.31|148.84|None|None
64082|62|99|94.115|329.31|148.84|None|None
64083|62|100|94.115|329.31|148.84|None|None
64084|62|10089|148.142|101.87|283.25|None|None
64085|62|10090|148.142|101.87|283.25|None|None
64086|62|10091|148.142|101.87|283.25|None|None
64087|62|8387|175.461|126.49|307.8|None|None
64088|62|8388|175.461|126.49|307.8|None|None
64089|62|8389|175.461|126.49|307.8|None|None
64090|62|10095|187.136|108.26|289.94|None|None
64091|62|507|183.29|102.71|284.4|None|None
64092|62|508|183.29|102.71|284.4|None|None
64093|62|509|183.29|102.71|284.4|None|None
64094|62|510|183.29|102.71|284.4|None|None
64095|62|511|183.29|102.71|284.4|None|None
64096|62|512|183.29|102.71|284.4|None|None
64097|62|513|169.018|322.31|141.29|None|None
64098|62|514|169.018|322.31|141.29|None|None
64099|62|515|169.018|322.31|141.29|None|None
64100|62|2141|188.943|316.1|134.8|None|None
64101|62|2142|188.943|316.1|134.8|None|None
64102|62|2143|188.943|316.1|134.8|None|None
64103|62|2144|188.754|316.12|134.83|None|None
64104|62|2145|188.754|316.12|134.83|None|None
64105|62|2146|188.754|316.12|134.83|None|None
64106|62|2147|188.833|316.04|134.74|None|None
64107|62|2148|188.833|316.04|134.74|None|None
64108|62|2149|188.833|316.04|134.74|None|None
64109|62|516|138.776|321.04|140.18|None|None
64110|62|517|138.776|321.04|140.18|None|None
64111|62|518|138.776|321.04|140.18|None|None
64112|62|519|173.229|296.02|114.5|None|None
64113|62|520|173.229|296.02|114.5|None|None
64114|62|521|173.229|296.02|114.5|None|None
64115|62|522|138.976|277.45|96.12|None|None
64116|62|523|138.976|277.45|96.12|None|None
64117|62|524|138.976|277.45|96.12|None|None
64118|62|101|98.192|279.01|98.08|None|None
64119|62|102|98.192|279.01|98.08|None|None
64120|62|103|98.192|279.01|98.08|None|None
64121|62|525|147.262|262.2|80.82|None|None
64122|62|526|147.262|262.2|80.82|None|None
64123|62|527|147.262|262.2|80.82|None|None
64124|62|528|168.895|252.92|71.39|None|None
64125|62|529|168.895|252.92|71.39|None|None
64126|62|530|168.895|252.92|71.39|None|None
