# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
64|Redoubt 6|2009-03-26 17:34:18|2009-03-26 18:30:21|60.49044|-152.76269|1.0|60.49044|-152.76269|60.57392|-152.16445|lahar, explosions|None|None|None|None|26000000.0|8000000.0|45000000.0|None|None|None|2400.0|2200.0|2600.0|44000.0|42000.0|45000.0|None|None|None|None|None|None|None|None|None|None|5|0|None|None|474.0|0|None|None|0.0|0|None|None|None|IRIS, EventData/64_Redoubt6_26Mar2009/64_Redoubt6_26Mar2009_seismic_data.zip|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
340|64|6|Difficult to distinguish the explosion noted to have occurred prior to this event by Waythomas and others (2013) and the lahar signal, impossible to distinguish on the closest stations because they are all clipped, so we picked start times using station DFR (~12 km from source area, closer to runout area), where a secondary pulse is clearer in the spectrogram (change in frequency content).|None|None|None
1|63|6|Waythomas and others (2013) states that Lahar 6 was one of the largest lahars of the eruption and also shows that the amplitude was about 5x higher than for lahar 5. Lahar 5 and 6 are lumped together in the volume calculation, with a combined estimate of 1 to 6 x 10^7 m3. We assumed that range and assumed that 3/4 of each total is Lahar 6, 1/4 is Lahar 5. We use total volume of 3.5e7 m3 for best estimate.|None|None|64
181|14|6|Volume and geometry estimates from information in Waythomas and others (2013)|None|None|15,16,63,64
320|14|6|Start time and duration, therefore end times, guided by Waythomas and others (2013), particularly Figure 3.|None|None|15,16,63,64
339|14|None|It is not clear if the long period signals visible during some of the Redoubt lahars were due to the lahar or other volcanic processes such as explosions or tremor.|None|None|15,16,63,64

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
56|14|Google Earth|Satellite image showing extent of lahars in 2009|None|None|None|EventData/14_Redoubt2_23Mar2009/photos_figures/14_Redoubt2_23Mar2009_source-GoogleEarth_1.jpg|15,16,63,64


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
64654|64|959|132.042|127.79|309.4|None|None|None|None|None
64655|64|960|132.042|127.79|309.4|None|None|None|None|None
64656|64|961|132.042|127.79|309.4|None|None|None|None|None
64657|64|962|159.476|60.73|242.99|None|0|None|None|None
64658|64|963|159.476|60.73|242.99|None|0|None|None|None
64659|64|964|159.476|60.73|242.99|None|0|None|None|None
64660|64|965|177.653|66.64|249.28|None|0|None|None|None
64661|64|966|177.653|66.64|249.28|None|0|None|None|None
64662|64|967|177.653|66.64|249.28|None|0|None|None|None
64663|64|968|178.66|21.18|202.26|None|None|None|None|None
64664|64|969|178.66|21.18|202.26|None|None|None|None|None
64665|64|970|178.66|21.18|202.26|None|None|None|None|None
64666|64|971|153.852|44.31|226.07|None|None|None|None|None
64667|64|972|153.852|44.31|226.07|None|None|None|None|None
64668|64|973|153.852|44.31|226.07|None|None|None|None|None
64669|64|974|188.009|101.79|284.66|None|1|None|None|None
64670|64|975|188.009|101.79|284.66|None|1|None|None|None
64671|64|976|188.009|101.79|284.66|None|1|None|None|None
64672|64|977|170.19|295.1|112.6|None|1|None|None|None
64673|64|978|170.19|295.1|112.6|None|1|None|None|None
64674|64|979|170.19|295.1|112.6|None|1|None|None|None
64675|64|980|129.354|195.67|15.14|None|None|None|None|None
64676|64|981|131.26|197.21|16.61|None|1|None|None|None
64677|64|982|134.083|196.45|15.88|None|None|None|None|None
64678|64|983|134.083|196.45|15.88|None|None|None|None|None
64679|64|984|134.083|196.45|15.88|None|None|None|None|None
64680|64|985|129.174|197.28|16.7|None|0|None|None|None
64681|64|986|129.174|197.28|16.7|None|0|None|None|None
64682|64|987|129.174|197.28|16.7|None|0|None|None|None
64683|64|988|129.174|197.28|16.7|None|0|None|None|None
64684|64|989|130.299|198.21|17.59|None|None|None|None|None
64685|64|990|130.949|196.65|16.08|None|None|None|None|None
64686|64|991|132.956|195.82|15.27|None|None|None|None|None
64687|64|992|131.058|197.95|17.33|None|None|None|None|None
64688|64|993|88.774|12.97|193.3|None|1|None|None|None
64689|64|994|184.428|229.51|47.37|None|None|None|None|None
64690|64|995|35.123|32.15|212.45|None|0|None|None|None
64691|64|996|69.998|22.57|203.01|None|1|None|None|None
64692|64|997|180.911|196.31|15.55|None|None|None|None|None
64693|64|998|99.77|23.88|204.54|None|1|None|None|None
64694|64|999|81.629|16.17|196.53|None|1|None|None|None
64695|64|1000|87.521|20.82|201.32|None|1|None|None|None
64696|64|1001|84.631|20.61|201.1|None|1|None|None|None
64697|64|1002|90.638|17.88|198.33|None|1|None|None|None
64698|64|1003|92.494|20.54|201.07|None|1|None|None|None
64699|64|1004|92.494|20.54|201.07|None|1|None|None|None
64700|64|1005|92.494|20.54|201.07|None|1|None|None|None
64701|64|1006|11.959|19.96|200.02|None|None|None|None|None
64702|64|1007|11.959|19.96|200.02|None|1|None|None|None
64703|64|1008|195.719|199.98|18.98|None|None|None|None|None
64704|64|1009|197.222|192.09|11.47|None|None|None|None|None
