# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
74|Ahwiyah Point|2009-03-28 12:26:01|2009-03-28 12:28:04|37.752119|-119.541054|0.0|37.751074|-119.538084|37.75346|-119.543351|rock avalanche|120000.0|22000.0|None|57000.0|46700.0|None|None|None|None|None|560.0|None|None|550.0|None|None|5|0|366.0|1|0.0|None|IRIS, NCEDC|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.

# 
# gisfiles
# 
# Gisid|Eventid|Type|Source|Description|FileExtension|ApplyAlso
1|74|Static map - jpg|Google Earth - bmcvey; USDA Farm Service Agency|Google Earth Historical Imagery acquired on 05/24/2009 from USDA Farm Service Agency with event outline shown.|event_data/74_AhwiyahPoint_28Mar2009/maps_gis/74_AhwiyahPoint_28Mar2009_Staticmap_NoOutline.jpg|None
2|74|GIS shapefile|ArcMap -bmcvey|Centerline based on outline (gis_id 2)|event_data/74_AhwiyahPoint_28Mar2009/maps_gis/74_Ahwiyah20090328_centerline_UTM11N.zip|None
3|74|GIS shapefile|ArcMap -bmcvey|Outline of Source and runout based on Google Earth Imagery (gis_id 1)|event_data/74_AhwiyahPoint_28Mar2009/maps_gis/74_Ahwiyah20090328_outlines_UTM11N.zip|None
92|74|Static map - jpg|Google Earth - bmcvey; USDA Farm Service Agency|Google Earth Historical Imagery acquired on 05/24/2009 from USDA Farm Service Agency without event outline shown|event_data/74_AhwiyahPoint_28Mar2009/maps_gis/74_AhwiyahPoint_28Mar2009_Staticmap_WithOutline.jpg|None

# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
6|74|7|Volume estimate from Zimmer and others (2012), 46700 m3 +/- 1-5%, we assume 5% in volume range to be conservative|None|None|None
115|74|None|Imagery found on Google Earth, used to make outlines, centerlines, and measure L and Areas, and Lat/Lon. No low source area estimate was made since volume uncertainties were from Zimmer and others (2012).|None|1|None

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
386|74|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/74_AhwiyahPoint_28Mar2009/photos_figures/74_AhwiyahPoint_28Mar2009_waveforms_raw.png|None
387|74|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/74_AhwiyahPoint_28Mar2009/photos_figures/74_AhwiyahPoint_28Mar2009_waveforms_1-5Hz.png|None
388|74|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/74_AhwiyahPoint_28Mar2009/photos_figures/74_AhwiyahPoint_28Mar2009_spectrogram.png|None
389|74|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/74_AhwiyahPoint_28Mar2009/photos_figures/74_AhwiyahPoint_28Mar2009_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
7|74|None|Zimmer, V.L., Collins, B.D., Stock, G.M., and Sitar, N., 2012, Rock fall dynamics and deposition: an integrated analysis of the 2009 Ahwiyah Point rock fall, Yosemite National Park, USA: Earth Surface Processes and Landforms, v. 37, no. 6, p. 680-691.|Zimmer and others (2012)|None|None
47|74|85,97,99,102|Stock, G.M., Collins, B.D., Santaniello, D.J., Zimmer, V.L., Wieczorek, G.F., and Snyder, J.B., 2013, Historical rock falls in Yosemite National Park, California (1857-2011): U.S. Geological Survey Data Series 746, 17 p. and data files, http://pubs.usgs.gov/ds/746/.|Stock and others (2013)|None|http://pubs.usgs.gov/ds/746/

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
74357|74|2586|205.79|276.96|95.54|None|None
74358|74|2587|205.79|276.96|95.54|None|None
74359|74|2588|205.79|276.96|95.54|None|None
74360|74|2589|205.79|276.96|95.54|None|None
74361|74|2590|205.79|276.96|95.54|None|None
74362|74|2591|205.79|276.96|95.54|None|None
74363|74|2592|237.654|274.15|92.5|None|None
74364|74|2593|237.654|274.15|92.5|None|None
74365|74|2594|237.654|274.15|92.5|None|None
74366|74|2595|237.654|274.15|92.5|None|None
74367|74|2596|237.654|274.15|92.5|None|None
74368|74|2597|237.654|274.15|92.5|None|None
74369|74|2604|230.552|275.4|93.8|None|None
74370|74|2605|230.552|275.4|93.8|None|None
74371|74|2606|230.552|275.4|93.8|None|None
74372|74|2607|230.552|275.4|93.8|None|None
74373|74|2608|230.552|275.4|93.8|None|None
74374|74|2609|230.552|275.4|93.8|None|None
74375|74|2610|239.875|274.05|92.39|None|None
74376|74|2611|239.875|274.05|92.39|None|None
74377|74|2612|239.875|274.05|92.39|None|None
74378|74|2613|239.875|274.05|92.39|None|None
74379|74|2614|239.875|274.05|92.39|None|None
74380|74|2615|239.875|274.05|92.39|None|None
74381|74|2616|80.703|293.12|112.6|1|None
74382|74|2617|80.703|293.12|112.6|1|None
74383|74|2618|80.703|293.12|112.6|1|None
74384|74|2619|80.703|293.12|112.6|1|None
74385|74|2620|80.703|293.12|112.6|1|None
74386|74|2621|80.703|293.12|112.6|1|None
74387|74|2622|264.383|285.31|103.52|None|None
74388|74|2623|264.383|285.31|103.52|None|None
74389|74|2624|264.383|285.31|103.52|None|None
74390|74|2625|264.383|285.31|103.52|None|None
74391|74|2626|264.383|285.31|103.52|None|None
74392|74|2627|264.383|285.31|103.52|None|None
74393|74|2628|305.078|269.93|87.81|None|None
74394|74|2629|305.078|269.93|87.81|None|None
74395|74|2630|305.078|269.93|87.81|None|None
74396|74|2631|305.078|269.93|87.81|None|None
74397|74|2632|305.078|269.93|87.81|None|None
74398|74|2633|305.078|269.93|87.81|None|None
74399|74|2634|347.638|308.39|126.41|None|None
74400|74|2635|347.638|308.39|126.41|None|None
74401|74|2636|347.638|308.39|126.41|None|None
74402|74|2637|347.638|308.39|126.41|None|None
74403|74|2638|347.638|308.39|126.41|None|None
74404|74|2639|347.638|308.39|126.41|None|None
74405|74|4637|234.204|230.37|49.15|1|None
74406|74|4638|234.204|230.37|49.15|1|None
74407|74|4639|234.204|230.37|49.15|1|None
74408|74|4640|234.204|230.37|49.15|1|None
74409|74|4641|234.204|230.37|49.15|0|None
74410|74|4642|234.204|230.37|49.15|1|None
74411|74|12|378.335|334.64|153.42|None|None
74412|74|13|378.335|334.64|153.42|None|None
74413|74|14|378.335|334.64|153.42|None|None
74414|74|15|378.335|334.64|153.42|None|None
74415|74|16|378.335|334.64|153.42|None|None
74416|74|17|378.335|334.64|153.42|None|None
74417|74|4643|127.555|158.71|339.02|1|None
74418|74|4644|127.555|158.71|339.02|1|None
74419|74|4645|127.555|158.71|339.02|1|None
74420|74|4646|127.555|158.71|339.02|1|None
74421|74|4647|127.555|158.71|339.02|1|None
74422|74|4648|127.555|158.71|339.02|1|None
74423|74|2640|337.92|295.15|112.96|None|None
74424|74|2641|337.92|295.15|112.96|None|None
74425|74|2642|337.92|295.15|112.96|None|None
74426|74|2643|337.92|295.15|112.96|None|None
74427|74|2644|337.92|295.15|112.96|None|None
74428|74|2645|337.92|295.15|112.96|None|None
74429|74|2652|241.398|261.61|79.96|None|None
74430|74|2653|241.398|261.61|79.96|None|None
74431|74|2654|241.398|261.61|79.96|None|None
74432|74|2655|241.398|261.61|79.96|None|None
74433|74|2656|241.398|261.61|79.96|None|None
74434|74|2657|241.398|261.61|79.96|None|None
74435|74|4649|51.457|157.48|337.62|1|None
74436|74|4650|51.457|157.48|337.62|1|None
74437|74|4651|51.457|157.48|337.62|1|None
74438|74|4652|51.457|157.48|337.62|1|None
74439|74|4653|51.457|157.48|337.62|1|None
74440|74|4654|51.457|157.48|337.62|1|None
74441|74|2658|296.69|279.47|97.42|0|None
74442|74|2659|296.69|279.47|97.42|0|None
74443|74|2660|296.69|279.47|97.42|0|None
74444|74|2661|296.69|279.47|97.42|None|None
74445|74|2662|296.69|279.47|97.42|None|None
74446|74|2663|296.69|279.47|97.42|None|None
74447|74|2664|191.213|256.86|75.58|None|None
74448|74|2665|191.213|256.86|75.58|None|None
74449|74|2666|191.213|256.86|75.58|None|None
74450|74|2667|191.213|256.86|75.58|None|None
74451|74|2668|191.213|256.86|75.58|None|None
74452|74|2669|191.213|256.86|75.58|None|None
74453|74|2670|282.891|297.13|115.33|None|None
74454|74|2671|282.891|297.13|115.33|None|None
74455|74|2672|282.891|297.13|115.33|None|None
74456|74|2673|282.891|297.13|115.33|None|None
74457|74|2674|282.891|297.13|115.33|None|None
74458|74|2675|282.891|297.13|115.33|None|None
74459|74|4655|261.05|243.97|62.39|0|None
74460|74|4656|261.05|243.97|62.39|0|None
74461|74|4657|261.05|243.97|62.39|0|None
74462|74|2676|465.405|352.19|171.7|None|None
74463|74|2677|465.405|352.19|171.7|None|None
74464|74|2678|465.405|352.19|171.7|None|None
74465|74|2679|465.405|352.19|171.7|None|None
74466|74|2680|465.405|352.19|171.7|None|None
74467|74|2681|465.405|352.19|171.7|None|None
74468|74|2682|262.893|320.16|138.94|1|None
74469|74|2683|262.893|320.16|138.94|1|None
74470|74|2684|262.893|320.16|138.94|1|None
74471|74|2685|262.893|320.16|138.94|1|None
74472|74|2686|262.893|320.16|138.94|1|None
74473|74|2687|262.893|320.16|138.94|1|None
74474|74|2688|175.3|242.43|61.37|None|None
74475|74|2689|175.3|242.43|61.37|None|None
74476|74|2690|175.3|242.43|61.37|None|None
74477|74|2691|175.3|242.43|61.37|None|None
74478|74|2692|175.3|242.43|61.37|None|None
74479|74|2693|175.3|242.43|61.37|None|None
74480|74|4658|219.481|204.29|23.69|1|None
74481|74|4659|219.481|204.29|23.69|1|None
74482|74|4660|219.481|204.29|23.69|1|None
74483|74|4661|219.481|204.29|23.69|1|None
74484|74|4662|219.481|204.29|23.69|1|None
74485|74|4663|219.481|204.29|23.69|1|None
74486|74|4664|263.142|207.22|26.43|0|None
74487|74|4665|263.142|207.22|26.43|0|None
74488|74|4666|263.142|207.22|26.43|0|None
74489|74|4667|263.142|207.22|26.43|0|None
74490|74|4668|263.142|207.22|26.43|0|None
74491|74|4669|263.142|207.22|26.43|0|None
74492|74|4670|201.534|237.62|56.46|1|None
74493|74|4671|201.534|237.62|56.46|1|None
74494|74|4672|201.534|237.62|56.46|1|None
74495|74|4673|201.534|237.62|56.46|1|None
74496|74|4674|201.534|237.62|56.46|1|None
74497|74|4675|201.534|237.62|56.46|1|None
74498|74|2694|255.414|310.63|129.23|None|None
74499|74|2695|255.414|310.63|129.23|None|None
74500|74|2696|255.414|310.63|129.23|None|None
74501|74|2697|255.414|310.63|129.23|None|None
74502|74|2698|255.414|310.63|129.23|None|None
74503|74|2699|255.414|310.63|129.23|None|None
74504|74|18|407.103|321.39|139.49|None|None
74505|74|19|407.103|321.39|139.49|None|None
74506|74|20|407.103|321.39|139.49|None|None
74507|74|21|407.103|321.39|139.49|None|None
74508|74|22|407.103|321.39|139.49|None|None
74509|74|23|407.103|321.39|139.49|None|None
74510|74|2706|195.981|266.46|85.1|None|None
74511|74|2707|195.981|266.46|85.1|None|None
74512|74|2708|195.981|266.46|85.1|None|None
74513|74|2709|195.981|266.46|85.1|None|None
74514|74|2710|195.981|266.46|85.1|None|None
74515|74|2711|195.981|266.46|85.1|None|None
74516|74|6483|402.67|151.28|332.52|None|None
74517|74|6484|402.67|151.28|332.52|None|None
74518|74|6485|402.67|151.28|332.52|None|None
74519|74|6486|402.67|151.28|332.52|None|None
74520|74|6487|402.67|151.28|332.52|None|None
74521|74|6488|402.67|151.28|332.52|None|None
74522|74|6489|406.121|169.87|350.32|None|None
74523|74|4711|298.203|167.44|347.87|1|None
74524|74|4712|298.203|167.44|347.87|1|None
74525|74|4713|298.203|167.44|347.87|1|None
74526|74|4714|298.203|167.44|347.87|1|None
74527|74|4715|298.203|167.44|347.87|1|None
74528|74|4716|298.203|167.44|347.87|1|None
74529|74|4717|270.022|171.55|351.81|None|None
74530|74|4718|270.022|171.55|351.81|None|None
74531|74|4719|270.022|171.55|351.81|None|None
74532|74|4720|270.022|171.55|351.81|None|None
74533|74|4721|270.022|171.55|351.81|None|None
74534|74|4722|270.022|171.55|351.81|None|None
74535|74|4729|453.546|147.84|329.38|None|None
74536|74|4730|453.546|147.84|329.38|None|None
74537|74|4731|453.546|147.84|329.38|None|None
74538|74|4732|453.546|147.84|329.38|None|None
74539|74|4733|453.546|147.84|329.38|None|None
74540|74|4734|453.546|147.84|329.38|None|None
74541|74|6499|483.863|150.68|332.18|None|None
74542|74|6500|483.863|150.68|332.18|None|None
74543|74|6501|483.863|150.68|332.18|None|None
74544|74|6502|483.863|150.68|332.18|None|None
74545|74|6503|483.863|150.68|332.18|None|None
