# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
76|Mount Baker|2013-10-21 22:11:50|2013-10-21 22:15:07|48.7675|-121.813|0.1|None|None|None|None|ice and snow avalanche|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|3|0|None|None|14.0|1|None|None|0.0|None|1|60.0|1|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
373|76|41|Photos and comparison of two similar events at Mount Baker described in Exotic Seismic Events blog.|None|None|77

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
376|76|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/76_MountBaker_21Oct2013/photos_figures/76_MountBaker_21Oct2013_waveforms_raw.png|None
377|76|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/76_MountBaker_21Oct2013/photos_figures/76_MountBaker_21Oct2013_waveforms_1-5Hz.png|None
378|76|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/76_MountBaker_21Oct2013/photos_figures/76_MountBaker_21Oct2013_spectrogram.png|None
379|76|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/76_MountBaker_21Oct2013/photos_figures/76_MountBaker_21Oct2013_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
41|76|77|Malone, S., 29 October 2013, Large Mount Baker debris Avalanche this fall [Blog Post], Pacific Northwest Seismic Network, Accessed 26 July 2016, at http://www.pnsn.org/blog/2013/10/29/large-mount-baker-debris-avalanche-this-fall|Malone (2013)|None|http://www.pnsn.org/blog/2013/10/29/large-mount-baker-debris-avalanche-this-fall

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
125208|76|2129|35.757|323.65|143.43|None|None|None|None|None
125209|76|2130|35.757|323.65|143.43|None|None|None|None|None
125210|76|2131|35.757|323.65|143.43|None|None|None|None|None
125211|76|465|44.461|210.76|30.53|None|None|None|None|None
125212|76|19702|29.265|304.58|124.33|None|None|None|None|None
125213|76|19703|29.265|304.58|124.33|None|None|None|None|None
125214|76|19704|29.265|304.58|124.33|None|None|None|None|None
125215|76|469|6.713|285.74|105.67|None|1|None|None|None
125216|76|3923|36.796|138.74|318.98|None|None|None|None|None
125217|76|3924|36.796|138.74|318.98|None|None|None|None|None
125218|76|3925|36.796|138.74|318.98|None|None|None|None|None
125219|76|19753|32.517|322.23|142.02|None|None|None|None|None
125220|76|19754|32.517|322.23|142.02|None|None|None|None|None
125221|76|19755|32.517|322.23|142.02|None|None|None|None|None
125222|76|4200|32.517|322.23|142.02|None|None|None|None|None
125223|76|4201|32.517|322.23|142.02|None|None|None|None|None
125224|76|4202|32.517|322.23|142.02|None|None|None|None|None
125225|76|480|41.766|148.12|328.35|None|None|None|None|None
125226|76|2279|44.352|270.32|89.87|None|None|None|None|None
125227|76|20083|44.352|270.32|89.87|None|None|None|None|None
125228|76|20084|44.352|270.32|89.87|None|None|None|None|None
125229|76|20085|44.352|270.32|89.87|None|None|None|None|None
125230|76|3354|13.781|46.43|226.53|None|1|None|None|None
125231|76|3355|13.781|46.43|226.53|None|1|None|None|None
125232|76|3356|13.781|46.43|226.53|None|1|None|None|None
125233|76|3184|74.655|22.44|202.74|None|None|None|None|None
125234|76|3185|74.655|22.44|202.74|None|None|None|None|None
125235|76|3186|74.655|22.44|202.74|None|None|None|None|None
125236|76|3272|65.91|265.75|85.08|None|None|None|None|None
125237|76|3273|65.91|265.75|85.08|None|None|None|None|None
125238|76|3274|65.91|265.75|85.08|None|None|None|None|None
125239|76|19361|65.91|265.75|85.08|None|None|None|None|None
125240|76|19362|65.91|265.75|85.08|None|None|None|None|None
125241|76|19363|65.91|265.75|85.08|None|None|None|None|None
125242|76|3277|59.755|200.59|20.37|None|None|None|None|None
125243|76|3278|59.755|200.59|20.37|None|None|None|None|None
125244|76|3279|59.755|200.59|20.37|None|None|None|None|None
125245|76|19364|59.755|200.59|20.37|None|None|None|None|None
125246|76|19365|59.755|200.59|20.37|None|None|None|None|None
125247|76|19366|59.755|200.59|20.37|None|None|None|None|None
125248|76|19523|69.29|240.1|59.49|None|None|None|None|None
125249|76|19524|69.29|240.1|59.49|None|None|None|None|None
125250|76|19525|69.29|240.1|59.49|None|None|None|None|None
125251|76|446|64.185|187.62|7.53|None|None|None|None|None
125252|76|19816|66.176|205.78|25.49|None|None|None|None|None
125253|76|19817|66.176|205.78|25.49|None|None|None|None|None
125254|76|19818|66.176|205.78|25.49|None|None|None|None|None
125255|76|19831|61.623|219.76|39.36|None|None|None|None|None
125256|76|19832|61.623|219.76|39.36|None|None|None|None|None
125257|76|19833|61.623|219.76|39.36|None|None|None|None|None
125258|76|19879|62.956|266.87|86.22|None|None|None|None|None
125259|76|19880|62.956|266.87|86.22|None|None|None|None|None
125260|76|19881|62.956|266.87|86.22|None|None|None|None|None
125261|76|19900|50.264|269.37|88.85|None|None|None|None|None
125262|76|19901|50.264|269.37|88.85|None|None|None|None|None
125263|76|19902|50.264|269.37|88.85|None|None|None|None|None
125264|76|19909|72.38|289.88|109.18|None|None|None|None|None
125265|76|19910|72.38|289.88|109.18|None|None|None|None|None
125266|76|19911|72.38|289.88|109.18|None|None|None|None|None
