# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
77|Mount Baker|2006-07-25 22:13:20|2006-07-25 22:15:14|48.7683|-121.8131|0.1|None|None|None|None|ice and debris avalanche|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|3|0|7.0|1|0.0|None|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
90|77|None|Used John Scurlock aerial photos to estimate geometry.|87|None|None
373|76|41|Photos and comparison of two similar events at Mount Baker described in Exotic Seismic Events blog.|None|None|77

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
87|77|John Scurlock|"Caption/Description: These images show the Sherman Peak avalanche on the east side of Mount Baker in Washington State in the summer of 2006. This particular avalanche was witnessed by a NOLS climbing party on the Boulder Glacier below the slide origin point."|None|None|2017-07-05 15:22:22|event_data/77_MountBaker_25Jul2006/photos_figures/77_MountBaker_25Jul2006_source-JohnScurlock_1.jpg|None
372|77|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/77_MountBaker_25Jul2006/photos_figures/77_MountBaker_25Jul2006_waveforms_raw.png|None
373|77|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/77_MountBaker_25Jul2006/photos_figures/77_MountBaker_25Jul2006_waveforms_1-5Hz.png|None
374|77|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/77_MountBaker_25Jul2006/photos_figures/77_MountBaker_25Jul2006_spectrogram.png|None
375|77|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/77_MountBaker_25Jul2006/photos_figures/77_MountBaker_25Jul2006_spectra.png|None
760|77|John Scurlock|"Caption/Description: These images show the Sherman Peak avalanche on the east side of Mount Baker in Washington State in the summer of 2006. This particular avalanche was witnessed by a NOLS climbing party on the Boulder Glacier below the slide origin point."|None|None|2017-07-05 15:22:22|event_data/77_MountBaker_25Jul2006/photos_figures/77_MountBaker_25Jul2006_source-JohnScurlock_2.jpg|None
761|77|John Scurlock|"Caption/Description: These images show the Sherman Peak avalanche on the east side of Mount Baker in Washington State in the summer of 2006. This particular avalanche was witnessed by a NOLS climbing party on the Boulder Glacier below the slide origin point."|None|None|2017-07-05 15:22:22|event_data/77_MountBaker_25Jul2006/photos_figures/77_MountBaker_25Jul2006_source-JohnScurlock_3.jpg|None
762|77|John Scurlock|"Caption/Description: These images show the Sherman Peak avalanche on the east side of Mount Baker in Washington State in the summer of 2006. This particular avalanche was witnessed by a NOLS climbing party on the Boulder Glacier below the slide origin point."|None|None|2017-07-05 15:22:23|event_data/77_MountBaker_25Jul2006/photos_figures/77_MountBaker_25Jul2006_source-JohnScurlock_4.jpg|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
48|77|None|Mount Baker Volcano Research Center, Boulder Glacier Debris Flows [Blog Post], Accessed 26 July 2016, at https://mbvrc.wordpress.com/baker-facts/boulder-glacier-debris-flows/|Mount Baker Volcano Research Center|None|https://mbvrc.wordpress.com/baker-facts/boulder-glacier-debris-flows/

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
73657|77|76|278.866|186.42|6.13|None|None
73658|77|77|278.866|186.42|6.13|None|None
73659|77|78|278.866|186.42|6.13|None|None
73660|77|888|287.226|185.77|5.49|None|None
73661|77|490|286.892|185.75|5.48|None|None
73662|77|889|287.403|185.75|5.48|None|None
73663|77|85|286.934|185.83|5.55|None|None
73664|77|86|286.934|185.83|5.55|None|None
73665|77|87|286.934|185.83|5.55|None|None
73666|77|88|283.06|186.43|6.13|None|None
73667|77|89|283.06|186.43|6.13|None|None
73668|77|90|283.06|186.43|6.13|None|None
73669|77|8372|142.39|278.09|96.64|None|None
73670|77|8373|142.39|278.09|96.64|None|None
73671|77|8374|142.39|278.09|96.64|None|None
73672|77|2096|227.476|285.38|103.11|None|None
73673|77|2097|227.476|285.38|103.11|None|None
73674|77|2098|227.476|285.38|103.11|None|None
73675|77|14330|412.799|294.97|110.98|None|None
73676|77|14331|412.799|294.97|110.98|None|None
73677|77|14332|412.799|294.97|110.98|None|None
73678|77|482|130.609|303.7|122.57|None|None
73679|77|483|130.609|303.7|122.57|None|None
73680|77|484|130.609|303.7|122.57|None|None
73681|77|3785|407.557|25.67|207.65|None|None
73682|77|3786|407.557|25.67|207.65|None|None
73683|77|3787|407.557|25.67|207.65|None|None
73684|77|8360|244.164|273.01|90.51|None|None
73685|77|8361|244.164|273.01|90.51|None|None
73686|77|8362|244.164|273.01|90.51|None|None
73687|77|5994|458.52|291.93|107.4|None|None
73688|77|5995|458.52|291.93|107.4|None|None
73689|77|10088|458.52|291.93|107.4|None|None
73690|77|8336|281.637|287.44|104.64|None|None
73691|77|8337|281.637|287.44|104.64|None|None
73692|77|8338|281.637|287.44|104.64|None|None
73693|77|3178|293.586|299.93|117.23|None|None
73694|77|3179|293.586|299.93|117.23|None|None
73695|77|3180|293.586|299.93|117.23|None|None
73696|77|3181|217.002|266.5|84.3|None|None
73697|77|3182|217.002|266.5|84.3|None|None
73698|77|3183|217.002|266.5|84.3|None|None
73699|77|3788|386.06|36.36|218.89|None|None
73700|77|3789|386.06|36.36|218.89|None|None
73701|77|3790|386.06|36.36|218.89|None|None
73702|77|3791|404.809|289.68|105.65|None|None
73703|77|3792|404.809|289.68|105.65|None|None
73704|77|3793|404.809|289.68|105.65|None|None
73705|77|2099|351.725|282.86|99.29|None|None
73706|77|2100|351.725|282.86|99.29|None|None
73707|77|2101|351.725|282.86|99.29|None|None
73708|77|2102|328.546|291.64|108.43|None|None
73709|77|2103|328.546|291.64|108.43|None|None
73710|77|2104|328.546|291.64|108.43|None|None
73711|77|6008|187.011|289.58|107.75|None|None
73712|77|6009|187.011|289.58|107.75|None|None
73713|77|6010|187.011|289.58|107.75|None|None
73714|77|2105|126.166|279.82|98.54|None|None
73715|77|2106|126.166|279.82|98.54|None|None
73716|77|2107|126.166|279.82|98.54|None|None
73717|77|8363|79.427|315.42|134.84|None|None
73718|77|8364|79.427|315.42|134.84|None|None
73719|77|8365|79.427|315.42|134.84|None|None
73720|77|8375|74.576|22.47|202.77|None|None
73721|77|8376|74.576|22.47|202.77|None|None
73722|77|8377|74.576|22.47|202.77|None|None
73723|77|8378|163.726|256.15|74.54|None|None
73724|77|8379|163.726|256.15|74.54|None|None
73725|77|8380|163.726|256.15|74.54|None|None
73726|77|2108|204.788|358.65|178.59|None|None
73727|77|2109|204.788|358.65|178.59|None|None
73728|77|2110|204.788|358.65|178.59|None|None
73729|77|2111|149.039|264.05|82.54|None|None
73730|77|2112|149.039|264.05|82.54|None|None
73731|77|2113|149.039|264.05|82.54|None|None
73732|77|3800|427.858|297.15|113.07|None|None
73733|77|3801|427.858|297.15|113.07|None|None
73734|77|3802|427.858|297.15|113.07|None|None
73735|77|2114|213.095|278.03|95.85|None|None
73736|77|2115|213.095|278.03|95.85|None|None
73737|77|2116|213.095|278.03|95.85|None|None
73738|77|3803|452.47|31.23|213.87|None|None
73739|77|3804|452.47|31.23|213.87|None|None
73740|77|3805|452.47|31.23|213.87|None|None
73741|77|3806|356.532|302.27|119.04|None|None
73742|77|3807|356.532|302.27|119.04|None|None
73743|77|3808|356.532|302.27|119.04|None|None
73744|77|3190|167.137|288.6|106.96|None|None
73745|77|3191|167.137|288.6|106.96|None|None
73746|77|3192|167.137|288.6|106.96|None|None
73747|77|3193|270.797|275.91|93.13|None|None
73748|77|3194|270.797|275.91|93.13|None|None
73749|77|3195|270.797|275.91|93.13|None|None
73750|77|3214|194.978|264.66|82.68|None|None
73751|77|3215|194.978|264.66|82.68|None|None
