# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
78|Mount St Helens|2014-05-14 21:44:09|2014-05-14 21:47:17|46.1979|-122.1687|0.2|None|None|None|None|snow avalanche|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|3|0|18.0|1|0.0|None|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.



# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
26|78|C Dan Miller|Photos and map of runout posted on exotic events blog|None|None|None|event_data/78_MountStHelens_14May2014/photos_figures/78_MountStHelens_14May2014_source-CDanMiller_1.png|None
368|78|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/78_MountStHelens_14May2014/photos_figures/78_MountStHelens_14May2014_waveforms_raw.png|None
369|78|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/78_MountStHelens_14May2014/photos_figures/78_MountStHelens_14May2014_waveforms_1-5Hz.png|None
370|78|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/78_MountStHelens_14May2014/photos_figures/78_MountStHelens_14May2014_spectrogram.png|None
371|78|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/78_MountStHelens_14May2014/photos_figures/78_MountStHelens_14May2014_spectra.png|None
759|78|C Dan Miller|Photos and map of runout posted on exotic events blog|None|None|2014-05-15 11:31:11|event_data/78_MountStHelens_14May2014/photos_figures/78_MountStHelens_14May2014_source-CDanMiller_2.jpg|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
44|78|79,80|Malone, S., 15 May 2014, Warm weather triggers snow avalanches at St. Helens [Blog Post], Pacific Northwest Seismic Network, Accessed 26 July 2016, at http://www.pnsn.org/blog/2014/05/15/warm-weather-triggers-snow-avalanches-at-st-helens|Malone (2014)b|None|http://www.pnsn.org/blog/2014/05/15/warm-weather-triggers-snow-avalanches-at-st-helens

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
72735|78|4040|182.63|295.4|113.83|None|None
72736|78|4041|182.63|295.4|113.83|None|None
72737|78|4042|182.63|295.4|113.83|None|None
72738|78|4043|192.294|296.58|114.94|None|None
72739|78|4044|192.294|296.58|114.94|None|None
72740|78|4045|192.294|296.58|114.94|None|None
72741|78|4046|196.303|293.83|112.12|None|None
72742|78|4047|196.303|293.83|112.12|None|None
72743|78|4048|196.303|293.83|112.12|None|None
72744|78|4049|202.952|294.09|112.32|None|None
72745|78|4050|202.952|294.09|112.32|None|None
72746|78|4051|202.952|294.09|112.32|None|None
72747|78|4052|204.396|291.92|110.12|None|None
72748|78|4053|204.396|291.92|110.12|None|None
72749|78|4054|204.396|291.92|110.12|None|None
72750|78|4055|212.33|293.2|111.34|None|None
72751|78|4056|212.33|293.2|111.34|None|None
72752|78|4057|212.33|293.2|111.34|None|None
72753|78|4058|213.687|290.95|109.05|None|None
72754|78|4059|213.687|290.95|109.05|None|None
72755|78|4060|213.687|290.95|109.05|None|None
72756|78|4061|221.383|291.27|109.31|None|None
72757|78|4062|221.383|291.27|109.31|None|None
72758|78|4063|221.383|291.27|109.31|None|None
72759|78|4064|220.472|289.88|107.9|None|None
72760|78|4065|220.472|289.88|107.9|None|None
72761|78|4066|220.472|289.88|107.9|None|None
72762|78|4067|231.363|288.44|106.36|None|None
72763|78|4068|231.363|288.44|106.36|None|None
72764|78|4069|231.363|288.44|106.36|None|None
72765|78|4070|238.949|289.81|107.67|None|None
72766|78|4071|238.949|289.81|107.67|None|None
72767|78|4072|238.949|289.81|107.67|None|None
72768|78|4073|256.033|291.52|109.25|None|None
72769|78|4074|256.033|291.52|109.25|None|None
72770|78|4075|256.033|291.52|109.25|None|None
72771|78|4076|233.032|294.24|112.21|None|None
72772|78|4077|233.032|294.24|112.21|None|None
72773|78|4078|233.032|294.24|112.21|None|None
72774|78|4079|264.335|285.88|103.47|None|None
72775|78|4080|264.335|285.88|103.47|None|None
72776|78|4081|264.335|285.88|103.47|None|None
72777|78|4082|224.146|284.9|102.85|None|None
72778|78|4083|224.146|284.9|102.85|None|None
72779|78|4084|224.146|284.9|102.85|None|None
72780|78|4085|204.165|286.79|104.94|None|None
72781|78|4086|204.165|286.79|104.94|None|None
72782|78|4087|204.165|286.79|104.94|None|None
72783|78|4088|178.9|290.1|108.51|None|None
72784|78|4089|178.9|290.1|108.51|None|None
72785|78|4090|178.9|290.1|108.51|None|None
72786|78|8414|495.419|250.2|66.02|None|None
72787|78|8415|495.419|250.2|66.02|None|None
72788|78|8416|495.419|250.2|66.02|None|None
72789|78|4091|271.49|225.96|44.22|None|None
72790|78|4092|271.49|225.96|44.22|None|None
72791|78|4093|271.49|225.96|44.22|None|None
72792|78|4094|309.841|237.54|55.2|None|None
72793|78|4095|309.841|237.54|55.2|None|None
72794|78|4096|309.841|237.54|55.2|None|None
72795|78|8420|408.857|253.81|70.24|None|None
72796|78|8421|408.857|253.81|70.24|None|None
72797|78|8422|408.857|253.81|70.24|None|None
72798|78|8423|468.642|258.04|73.86|None|None
72799|78|8424|468.642|258.04|73.86|None|None
72800|78|8425|468.642|258.04|73.86|None|None
72801|78|4097|223.062|237.93|56.21|None|None
72802|78|4098|223.062|237.93|56.21|None|None
72803|78|4099|223.062|237.93|56.21|None|None
