# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
79|Mount St Helens|2014-05-15 01:47:41|2014-05-15 01:56:07|46.1934|-122.1759|0.15|None|None|None|None|snow avalanche|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|3|0|18.0|1|0.0|None|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.



# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
30|79|C Dan Miller|Photos and map of runout posted on exotic events blog|None|None|None|event_data/79_MountStHelens_15May2014/photos_figures/79_MountStHelens_15May2014_source-CDanMiller_1.png|None
364|79|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/79_MountStHelens_15May2014/photos_figures/79_MountStHelens_15May2014_waveforms_raw.png|None
365|79|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/79_MountStHelens_15May2014/photos_figures/79_MountStHelens_15May2014_waveforms_1-5Hz.png|None
366|79|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/79_MountStHelens_15May2014/photos_figures/79_MountStHelens_15May2014_spectrogram.png|None
367|79|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/79_MountStHelens_15May2014/photos_figures/79_MountStHelens_15May2014_spectra.png|None
758|79|C Dan Miller|Photos and map of runout posted on exotic events blog|None|None|2014-05-15 11:31:11|event_data/79_MountStHelens_15May2014/photos_figures/79_MountStHelens_15May2014_source-CDanMiller_2.jpg|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
71819|79|4040|182.343|295.61|114.05|None|None
71820|79|4041|182.343|295.61|114.05|None|None
71821|79|4042|182.343|295.61|114.05|None|None
71822|79|4043|192.022|296.78|115.14|None|None
71823|79|4044|192.022|296.78|115.14|None|None
71824|79|4045|192.022|296.78|115.14|None|None
71825|79|4046|195.998|294.02|112.32|None|None
71826|79|4047|195.998|294.02|112.32|None|None
71827|79|4048|195.998|294.02|112.32|None|None
71828|79|4049|202.65|294.28|112.52|None|None
71829|79|4050|202.65|294.28|112.52|None|None
71830|79|4051|202.65|294.28|112.52|None|None
71831|79|4052|204.068|292.1|110.3|None|None
71832|79|4053|204.068|292.1|110.3|None|None
71833|79|4054|204.068|292.1|110.3|None|None
71834|79|4055|212.017|293.38|111.53|None|None
71835|79|4056|212.017|293.38|111.53|None|None
71836|79|4057|212.017|293.38|111.53|None|None
71837|79|4058|213.348|291.12|109.23|None|None
71838|79|4059|213.348|291.12|109.23|None|None
71839|79|4060|213.348|291.12|109.23|None|None
71840|79|4061|221.048|291.44|109.48|None|None
71841|79|4062|221.048|291.44|109.48|None|None
71842|79|4063|221.048|291.44|109.48|None|None
71843|79|4064|220.121|290.04|108.08|None|None
71844|79|4065|220.121|290.04|108.08|None|None
71845|79|4066|220.121|290.04|108.08|None|None
71846|79|4067|230.995|288.6|106.52|None|None
71847|79|4068|230.995|288.6|106.52|None|None
71848|79|4069|230.995|288.6|106.52|None|None
71849|79|4070|238.596|289.96|107.83|None|None
71850|79|4071|238.596|289.96|107.83|None|None
71851|79|4072|238.596|289.96|107.83|None|None
71852|79|4073|255.701|291.67|109.4|None|None
71853|79|4074|255.701|291.67|109.4|None|None
71854|79|4075|255.701|291.67|109.4|None|None
71855|79|4076|232.732|294.41|112.38|None|None
71856|79|4077|232.732|294.41|112.38|None|None
71857|79|4078|232.732|294.41|112.38|None|None
71858|79|4079|263.938|286.01|103.6|None|None
71859|79|4080|263.938|286.01|103.6|None|None
71860|79|4081|263.938|286.01|103.6|None|None
71861|79|4082|223.739|285.06|103.01|None|None
71862|79|4083|223.739|285.06|103.01|None|None
71863|79|4084|223.739|285.06|103.01|None|None
71864|79|4085|203.779|286.97|105.12|None|None
71865|79|4086|203.779|286.97|105.12|None|None
71866|79|4087|203.779|286.97|105.12|None|None
71867|79|4088|178.551|290.31|108.72|None|None
71868|79|4089|178.551|290.31|108.72|None|None
71869|79|4090|178.551|290.31|108.72|None|None
71870|79|4091|270.743|225.95|44.21|None|None
71871|79|4092|270.743|225.95|44.21|None|None
71872|79|4093|270.743|225.95|44.21|None|None
71873|79|4094|309.103|237.56|55.22|None|None
71874|79|4095|309.103|237.56|55.22|None|None
71875|79|4096|309.103|237.56|55.22|None|None
71876|79|8420|408.184|253.85|70.29|None|None
71877|79|8421|408.184|253.85|70.29|None|None
