# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
82|Mount Rainier|2014-02-25 13:39:24|2014-02-25 13:43:28|46.8372|-121.7507|0.2|None|None|None|None|ice avalanche|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|3|0|15.0|1|0.0|None|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.



# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
23|82|Scott Beason|Photos and screenshot of outline in google earth posted on exotic events blog|None|None|None|event_data/82_MountRainier_25Feb2014/photos_figures/82_MountRainier_25Feb2014_source-ScottBeason_1.png|None
350|82|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/82_MountRainier_25Feb2014/photos_figures/82_MountRainier_25Feb2014_waveforms_raw.png|None
351|82|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/82_MountRainier_25Feb2014/photos_figures/82_MountRainier_25Feb2014_waveforms_1-5Hz.png|None
352|82|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/82_MountRainier_25Feb2014/photos_figures/82_MountRainier_25Feb2014_spectrogram.png|None
353|82|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/82_MountRainier_25Feb2014/photos_figures/82_MountRainier_25Feb2014_spectra.png|None
736|82|Scott Beason|Photos and screenshot of outline in google earth posted on exotic events blog|None|None|2014-02-26 14:21:12|event_data/82_MountRainier_25Feb2014/photos_figures/82_MountRainier_25Feb2014_source-ScottBeason_2.jpg|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
43|82|None|Malone, S., 28 February 2014, Ice Avalanches on Cascade volcanoes [Blog Post], Pacific Northwest Seismic Network, Accessed 26 July 2016, at http://www.pnsn.org/blog/2014/02/28/ice-avalanches-on-cascade-volcanoes|Malone (2014)a|None|http://www.pnsn.org/blog/2014/02/28/ice-avalanches-on-cascade-volcanoes

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
70209|82|4040|196.991|272.4|90.52|None|None
70210|82|4041|196.991|272.4|90.52|None|None
70211|82|4042|196.991|272.4|90.52|None|None
70212|82|4043|204.402|274.48|92.53|None|None
70213|82|4044|204.402|274.48|92.53|None|None
70214|82|4045|204.402|274.48|92.53|None|None
70215|82|4046|211.614|272.52|90.49|None|None
70216|82|4047|211.614|272.52|90.49|None|None
70217|82|4048|211.614|272.52|90.49|None|None
70218|82|4049|217.472|273.39|91.31|None|None
70219|82|4050|217.472|273.39|91.31|None|None
70220|82|4051|217.472|273.39|91.31|None|None
70221|82|4052|221.562|271.64|89.52|None|None
70222|82|4053|221.562|271.64|89.52|None|None
70223|82|4054|221.562|271.64|89.52|None|None
70224|82|4055|227.383|273.46|91.29|None|None
70225|82|4056|227.383|273.46|91.29|None|None
70226|82|4057|227.383|273.46|91.29|None|None
70227|82|4058|231.508|271.61|89.39|None|None
70228|82|4059|231.508|271.61|89.39|None|None
70229|82|4060|231.508|271.61|89.39|None|None
70230|82|4061|238.358|272.52|90.24|None|None
70231|82|4062|238.358|272.52|90.24|None|None
70232|82|4063|238.358|272.52|90.24|None|None
70233|82|4064|239.251|271.22|88.94|None|None
70234|82|4065|239.251|271.22|88.94|None|None
70235|82|4066|239.251|271.22|88.94|None|None
70236|82|4067|251.369|270.78|88.38|None|None
70237|82|4068|251.369|270.78|88.38|None|None
70238|82|4069|251.369|270.78|88.38|None|None
70239|82|4070|256.878|272.51|90.05|None|None
70240|82|4071|256.878|272.51|90.05|None|None
70241|82|4072|256.878|272.51|90.05|None|None
70242|82|4073|271.022|275.13|92.54|None|None
70243|82|4074|271.022|275.13|92.54|None|None
70244|82|4075|271.022|275.13|92.54|None|None
70245|82|4076|245.591|276.05|93.7|None|None
70246|82|4077|245.591|276.05|93.7|None|None
70247|82|4078|245.591|276.05|93.7|None|None
70248|82|4079|286.129|270.55|87.82|None|None
70249|82|4080|286.129|270.55|87.82|None|None
70250|82|4081|286.129|270.55|87.82|None|None
70251|82|4082|248.858|267.2|84.83|None|None
70252|82|4083|248.858|267.2|84.83|None|None
70253|82|4084|248.858|267.2|84.83|None|None
70254|82|4085|227.67|267.25|85.08|None|None
70255|82|4086|227.67|267.25|85.08|None|None
70256|82|4087|227.67|267.25|85.08|None|None
70257|82|4088|200.117|267.54|85.64|None|None
70258|82|4089|200.117|267.54|85.64|None|None
70259|82|4090|200.117|267.54|85.64|None|None
70260|82|4091|345.09|221.45|39.4|None|None
70261|82|4092|345.09|221.45|39.4|None|None
70262|82|4093|345.09|221.45|39.4|None|None
70263|82|4094|377.377|231.32|48.66|None|None
70264|82|4095|377.377|231.32|48.66|None|None
70265|82|4096|377.377|231.32|48.66|None|None
70266|82|8420|463.146|246.75|62.86|None|None
70267|82|8421|463.146|246.75|62.86|None|None
70268|82|8422|463.146|246.75|62.86|None|None
70269|82|4097|291.106|229.67|47.65|None|None
70270|82|4098|291.106|229.67|47.65|None|None
70271|82|4099|291.106|229.67|47.65|None|None
70272|82|4100|330.552|240.37|57.73|None|None
70273|82|4101|330.552|240.37|57.73|None|None
70274|82|4102|330.552|240.37|57.73|None|None
70275|82|4103|379.175|248.56|65.3|None|None
70276|82|4104|379.175|248.56|65.3|None|None
70277|82|4105|379.175|248.56|65.3|None|None
70278|82|4106|433.547|254.8|70.91|None|None
70279|82|4107|433.547|254.8|70.91|None|None
70280|82|4108|433.547|254.8|70.91|None|None
70281|82|8435|491.804|259.56|75.05|None|None
70282|82|8436|491.804|259.56|75.05|None|None
70283|82|8437|491.804|259.56|75.05|None|None
70284|82|4109|242.991|243.04|61.02|None|None
70285|82|4110|242.991|243.04|61.02|None|None
70286|82|4111|242.991|243.04|61.02|None|None
70287|82|4112|290.87|251.06|68.49|None|None
70288|82|4113|290.87|251.06|68.49|None|None
70289|82|4114|290.87|251.06|68.49|None|None
70290|82|4115|348.265|258.7|75.49|None|None
70291|82|4116|348.265|258.7|75.49|None|None
70292|82|4117|348.265|258.7|75.49|None|None
70293|82|4118|409.386|263.92|80.08|None|None
70294|82|4119|409.386|263.92|80.08|None|None
70295|82|4120|409.386|263.92|80.08|None|None
70296|82|4121|472.033|267.97|83.49|None|None
70297|82|4122|472.033|267.97|83.49|None|None
70298|82|4123|472.033|267.97|83.49|None|None
70299|82|4124|209.719|258.76|76.81|None|None
70300|82|4125|209.719|258.76|76.81|None|None
70301|82|4126|209.719|258.76|76.81|None|None
70302|82|4127|272.009|266.7|84.11|None|None
70303|82|4128|272.009|266.7|84.11|None|None
70304|82|4129|272.009|266.7|84.11|None|None
70305|82|4130|336.724|270.82|87.61|None|None
70306|82|4131|336.724|270.82|87.61|None|None
70307|82|4132|336.724|270.82|87.61|None|None
70308|82|4133|401.373|274.38|90.53|None|None
70309|82|4134|401.373|274.38|90.53|None|None
70310|82|4135|401.373|274.38|90.53|None|None
70311|82|4136|470.663|276.68|92.17|None|None
70312|82|4137|470.663|276.68|92.17|None|None
70313|82|4138|470.663|276.68|92.17|None|None
70314|82|4139|207.262|278.48|96.51|None|None
70315|82|4140|207.262|278.48|96.51|None|None
70316|82|4141|207.262|278.48|96.51|None|None
70317|82|4142|292.265|281.91|99.14|None|None
70318|82|4143|292.265|281.91|99.14|None|None
70319|82|4144|292.265|281.91|99.14|None|None
70320|82|4145|361.517|283.66|100.24|None|None
70321|82|4146|361.517|283.66|100.24|None|None
70322|82|4147|361.517|283.66|100.24|None|None
70323|82|4148|500.297|285.66|100.91|None|None
70324|82|4149|500.297|285.66|100.91|None|None
70325|82|4150|500.297|285.66|100.91|None|None
70326|82|4151|281.52|295.84|113.34|None|None
70327|82|4152|281.52|295.84|113.34|None|None
70328|82|4153|281.52|295.84|113.34|None|None
70329|82|4154|427.684|291.92|107.98|None|None
70330|82|4155|427.684|291.92|107.98|None|None
70331|82|4156|427.684|291.92|107.98|None|None
70332|82|4157|491.645|294.04|109.55|None|None
70333|82|4158|491.645|294.04|109.55|None|None
70334|82|4159|491.645|294.04|109.55|None|None
70335|82|4160|395.878|304.46|121.17|None|None
70336|82|4161|395.878|304.46|121.17|None|None
70337|82|4162|395.878|304.46|121.17|None|None
70338|82|4163|451.323|306.56|122.86|None|None
70339|82|4164|451.323|306.56|122.86|None|None
70340|82|4165|451.323|306.56|122.86|None|None
70341|82|4166|332.56|300.84|117.99|None|None
70342|82|4167|332.56|300.84|117.99|None|None
70343|82|13091|332.56|300.84|117.99|None|None
70344|82|4168|348.979|291.16|107.95|None|None
70345|82|4169|348.979|291.16|107.95|None|None
70346|82|4170|348.979|291.16|107.95|None|None
70347|82|4171|301.247|243.1|60.61|None|None
70348|82|4172|301.247|243.1|60.61|None|None
70349|82|13092|301.247|243.1|60.61|None|None
70350|82|4173|255.245|254.36|72.05|None|None
70351|82|4174|255.245|254.36|72.05|None|None
70352|82|4175|255.245|254.36|72.05|None|None
70353|82|4176|285.029|240.47|58.18|None|None
70354|82|4177|285.029|240.47|58.18|None|None
70355|82|4178|285.029|240.47|58.18|None|None
70356|82|4179|338.667|231.72|49.3|None|None
70357|82|4180|338.667|231.72|49.3|None|None
70358|82|4181|338.667|231.72|49.3|None|None
70359|82|4182|354.325|212.35|30.66|None|None
70360|82|4183|354.325|212.35|30.66|None|None
70361|82|4184|354.325|212.35|30.66|None|None
70362|82|2084|479.67|191.92|11.07|None|None
70363|82|2085|479.67|191.92|11.07|None|None
70364|82|2086|479.67|191.92|11.07|None|None
70365|82|2087|479.67|191.92|11.07|None|None
70366|82|2088|479.67|191.92|11.07|None|None
70367|82|2089|479.67|191.92|11.07|None|None
70368|82|2712|336.6|174.76|355.03|None|None
70369|82|2713|336.6|174.76|355.03|None|None
70370|82|2714|336.6|174.76|355.03|None|None
70371|82|2715|346.229|171.94|352.37|None|None
70372|82|2716|346.229|171.94|352.37|None|None
70373|82|2717|346.229|171.94|352.37|None|None
70374|82|2718|429.909|183.68|3.44|None|None
70375|82|2719|435.492|182.86|2.67|None|None
70376|82|2720|348.584|173.13|353.49|None|None
70377|82|2721|348.584|173.13|353.49|None|None
70378|82|2722|348.584|173.13|353.49|None|None
70379|82|2723|155.896|181.63|1.59|None|None
70380|82|2724|155.896|181.63|1.59|None|None
70381|82|2725|155.896|181.63|1.59|None|None
70382|82|76|72.022|209.99|29.65|None|None
70383|82|77|72.022|209.99|29.65|None|None
70384|82|78|72.022|209.99|29.65|None|None
70385|82|2726|344.559|174.11|354.42|None|None
70386|82|2727|344.559|174.11|354.42|None|None
70387|82|2728|344.559|174.11|354.42|None|None
70388|82|2729|346.538|173.35|353.7|None|None
70389|82|2730|346.538|173.35|353.7|None|None
70390|82|2731|346.538|173.35|353.7|None|None
70391|82|79|8.52|324.69|144.64|1|None
70392|82|80|8.52|324.69|144.64|1|None
70393|82|81|8.52|324.69|144.64|1|None
70394|82|82|8.593|73.58|253.66|1|None
70395|82|83|8.593|73.58|253.66|1|None
70396|82|84|8.593|73.58|253.66|1|None
70397|82|491|292.489|183.32|3.17|None|None
70398|82|492|292.489|183.32|3.17|None|None
70399|82|493|292.489|183.32|3.17|None|None
70400|82|85|78.443|205.65|25.33|None|None
70401|82|86|78.443|205.65|25.33|None|None
70402|82|87|78.443|205.65|25.33|None|None
70403|82|88|75.897|208.75|28.4|None|None
70404|82|89|75.897|208.75|28.4|None|None
70405|82|90|75.897|208.75|28.4|None|None
70406|82|91|76.429|205.45|25.14|None|None
70407|82|2732|357.123|173.54|353.9|None|None
70408|82|2733|357.123|173.54|353.9|None|None
70409|82|2734|357.123|173.54|353.9|None|None
70410|82|92|81.507|206.2|25.86|None|None
70411|82|93|81.507|206.2|25.86|None|None
70412|82|94|81.507|206.2|25.86|None|None
70413|82|2735|353.053|174.82|355.1|None|None
70414|82|2736|353.053|174.82|355.1|None|None
70415|82|2737|353.053|174.82|355.1|None|None
70416|82|497|288.645|178.63|358.69|None|None
70417|82|498|288.645|178.63|358.69|None|None
70418|82|499|288.645|178.63|358.69|None|None
70419|82|2738|166.923|178.91|358.94|None|None
70420|82|2739|166.923|178.91|358.94|None|None
70421|82|500|166.923|178.91|358.94|None|None
70422|82|2740|362.695|172.24|352.67|None|None
70423|82|2741|362.695|172.24|352.67|None|None
70424|82|2742|362.695|172.24|352.67|None|None
70425|82|95|76.993|206.07|25.76|None|None
70426|82|96|76.993|206.07|25.76|None|None
70427|82|97|76.993|206.07|25.76|None|None
70428|82|501|308.741|180.99|0.95|None|None
70429|82|502|308.741|180.99|0.95|None|None
70430|82|503|308.741|180.99|0.95|None|None
70431|82|2743|434.88|184.29|4.01|None|None
70432|82|2744|434.88|184.29|4.01|None|None
70433|82|2745|434.88|184.29|4.01|None|None
70434|82|2096|354.758|320.86|138.57|None|None
70435|82|2097|354.758|320.86|138.57|None|None
70436|82|2098|354.758|320.86|138.57|None|None
70437|82|7589|336.843|312.46|129.95|None|None
70438|82|7590|336.843|312.46|129.95|None|None
70439|82|7591|336.843|312.46|129.95|None|None
70440|82|482|308.759|338.49|157.33|None|None
70441|82|483|308.759|338.49|157.33|None|None
70442|82|484|308.759|338.49|157.33|None|None
70443|82|3172|274.154|328.51|147.06|None|None
70444|82|3173|274.154|328.51|147.06|None|None
70445|82|3174|274.154|328.51|147.06|None|None
70446|82|3175|405.245|317.59|134.78|None|None
70447|82|3176|405.245|317.59|134.78|None|None
70448|82|3177|405.245|317.59|134.78|None|None
70449|82|3178|444.537|324.36|141.66|None|None
70450|82|3179|444.537|324.36|141.66|None|None
70451|82|3180|444.537|324.36|141.66|None|None
70452|82|3181|299.294|312.34|130.12|None|None
70453|82|3182|299.294|312.34|130.12|None|None
70454|82|3183|299.294|312.34|130.12|None|None
70455|82|2099|454.614|310.14|126.57|None|None
70456|82|2100|454.614|310.14|126.57|None|None
70457|82|2101|454.614|310.14|126.57|None|None
70458|82|2102|457.138|317.3|134.09|None|None
70459|82|2103|457.138|317.3|134.09|None|None
70460|82|2104|457.138|317.3|134.09|None|None
70461|82|6008|331.167|326.91|145.06|None|None
70462|82|6009|331.167|326.91|145.06|None|None
70463|82|6010|331.167|326.91|145.06|None|None
70464|82|2105|269.18|331.38|150.08|None|None
70465|82|2106|269.18|331.38|150.08|None|None
70466|82|2107|269.18|331.38|150.08|None|None
70467|82|7616|279.233|347.63|167.02|None|None
70468|82|7617|279.233|347.63|167.02|None|None
70469|82|7618|279.233|347.63|167.02|None|None
70470|82|3184|284.615|4.83|185.08|None|None
70471|82|3185|284.615|4.83|185.08|None|None
70472|82|3186|284.615|4.83|185.08|None|None
70473|82|2108|419.551|358.73|178.64|None|None
70474|82|2109|419.551|358.73|178.64|None|None
70475|82|2110|419.551|358.73|178.64|None|None
70476|82|2111|251.198|322.52|140.98|None|None
70477|82|2112|251.198|322.52|140.98|None|None
70478|82|2113|251.198|322.52|140.98|None|None
70479|82|2114|326.041|318.6|136.41|None|None
70480|82|2115|326.041|318.6|136.41|None|None
70481|82|2116|326.041|318.6|136.41|None|None
70482|82|3187|416.747|322.09|139.43|None|None
70483|82|3188|416.747|322.09|139.43|None|None
70484|82|3189|416.747|322.09|139.43|None|None
70485|82|3190|313.775|328.7|147.04|None|None
70486|82|3191|313.775|328.7|147.04|None|None
70487|82|3192|313.775|328.7|147.04|None|None
70488|82|7631|473.768|312.07|128.44|None|None
70489|82|7632|473.768|312.07|128.44|None|None
70490|82|7633|473.768|312.07|128.44|None|None
70491|82|3193|366.002|311.53|128.75|None|None
70492|82|3194|366.002|311.53|128.75|None|None
70493|82|3195|366.002|311.53|128.75|None|None
70494|82|3196|238.573|328.4|147.15|None|None
70495|82|3197|238.573|328.4|147.15|None|None
70496|82|3198|238.573|328.4|147.15|None|None
70497|82|3199|238.574|328.36|147.11|None|None
70498|82|3200|238.574|328.36|147.11|None|None
70499|82|3201|238.574|328.36|147.11|None|None
70500|82|3202|238.401|328.42|147.17|None|None
70501|82|3203|238.401|328.42|147.17|None|None
70502|82|3204|238.401|328.42|147.17|None|None
70503|82|3205|238.392|328.39|147.14|None|None
70504|82|3206|238.392|328.39|147.14|None|None
70505|82|3207|238.392|328.39|147.14|None|None
70506|82|3208|238.174|328.41|147.16|None|None
70507|82|3209|238.174|328.41|147.16|None|None
70508|82|3210|238.174|328.41|147.16|None|None
70509|82|3211|238.266|328.3|147.04|None|None
70510|82|3212|238.266|328.3|147.04|None|None
70511|82|3213|238.266|328.3|147.04|None|None
70512|82|3214|279.61|314.69|132.7|None|None
70513|82|3215|279.61|314.69|132.7|None|None
70514|82|3216|279.61|314.69|132.7|None|None
70515|82|2117|238.516|328.29|147.03|None|None
70516|82|2118|238.516|328.29|147.03|None|None
70517|82|2119|238.516|328.29|147.03|None|None
