# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
85|Middle Brother|2000-02-22 16:34:48|2000-02-22 16:37:08|37.7389|-119.6143|0.2|None|None|None|None|rock fall|None|None|None|None|17477.0|None|None|None|None|None|None|None|None|None|None|None|5|0|157.0|1|0.0|None|IRIS, NCEDC|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
89|85|47|Approximate start time, type, and volume all taken from Stock and others (2013)|None|None|None

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
342|85|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/85_MiddleBrother_22Feb2000/photos_figures/85_MiddleBrother_22Feb2000_waveforms_raw.png|None
343|85|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/85_MiddleBrother_22Feb2000/photos_figures/85_MiddleBrother_22Feb2000_waveforms_1-5Hz.png|None
344|85|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/85_MiddleBrother_22Feb2000/photos_figures/85_MiddleBrother_22Feb2000_spectrogram.png|None
345|85|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/85_MiddleBrother_22Feb2000/photos_figures/85_MiddleBrother_22Feb2000_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
68047|85|2586|199.571|277.56|96.18|None|None
68048|85|2587|199.571|277.56|96.18|None|None
68049|85|2588|199.571|277.56|96.18|None|None
68050|85|2589|199.571|277.56|96.18|None|None
68051|85|2590|199.571|277.56|96.18|None|None
68052|85|2591|199.571|277.56|96.18|None|None
68053|85|2592|231.329|274.58|92.97|None|None
68054|85|2593|231.329|274.58|92.97|None|None
68055|85|2594|231.329|274.58|92.97|None|None
68056|85|2595|231.329|274.58|92.97|None|None
68057|85|2596|231.329|274.58|92.97|None|None
68058|85|2597|231.329|274.58|92.97|None|None
68059|85|2604|224.272|275.89|94.33|None|None
68060|85|2605|224.272|275.89|94.33|None|None
68061|85|2606|224.272|275.89|94.33|None|None
68062|85|2607|224.272|275.89|94.33|None|None
68063|85|2608|224.272|275.89|94.33|None|None
68064|85|2609|224.272|275.89|94.33|None|None
68065|85|2610|233.546|274.48|92.86|None|None
68066|85|2611|233.546|274.48|92.86|None|None
68067|85|2612|233.546|274.48|92.86|None|None
68068|85|2613|233.546|274.48|92.86|None|None
68069|85|2614|233.546|274.48|92.86|None|None
68070|85|2615|233.546|274.48|92.86|None|None
68071|85|2616|75.44|296.02|115.55|1|None
68072|85|2617|75.44|296.02|115.55|1|None
68073|85|2618|75.44|296.02|115.55|1|None
68074|85|2619|75.44|296.02|115.55|0|None
68075|85|2620|75.44|296.02|115.55|0|None
68076|85|2621|75.44|296.02|115.55|0|None
68077|85|2622|258.562|285.96|104.21|None|None
68078|85|2623|258.562|285.96|104.21|None|None
68079|85|2624|258.562|285.96|104.21|None|None
68080|85|2625|258.562|285.96|104.21|None|None
68081|85|2626|258.562|285.96|104.21|None|None
68082|85|2627|258.562|285.96|104.21|None|None
68083|85|2628|298.624|270.16|88.09|None|None
68084|85|2629|298.624|270.16|88.09|None|None
68085|85|2630|298.624|270.16|88.09|None|None
68086|85|2631|298.624|270.16|88.09|None|None
68087|85|2632|298.624|270.16|88.09|None|None
68088|85|2633|298.624|270.16|88.09|None|None
68089|85|2640|332.724|295.81|113.66|None|None
68090|85|2641|332.724|295.81|113.66|None|None
68091|85|2642|332.724|295.81|113.66|None|None
68092|85|2643|332.724|295.81|113.66|None|None
68093|85|2644|332.724|295.81|113.66|None|None
68094|85|2645|332.724|295.81|113.66|None|None
68095|85|2652|234.798|261.69|80.09|None|None
68096|85|2653|234.798|261.69|80.09|None|None
68097|85|2654|234.798|261.69|80.09|None|None
68098|85|2655|234.798|261.69|80.09|None|None
68099|85|2656|234.798|261.69|80.09|None|None
68100|85|2657|234.798|261.69|80.09|None|None
68101|85|4649|52.98|150.36|330.54|1|None
68102|85|4650|52.98|150.36|330.54|1|None
