# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
87|Middle Brother|2007-12-19 00:00:21|2007-12-19 00:01:34|37.7389|-119.6143|None|None|None|None|None|rock fall|None|None|None|None|30.0|None|None|None|None|None|None|None|None|None|None|None|5|0|57.0|1|0.0|None|IRIS, NCEDC|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
184|87|67|Volume estimate from Zimmer and Sitar (2015)|None|None|88,89,90,91,92,93,94,95,96,97,99,102

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
338|87|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/87_MiddleBrother_19Dec2007/photos_figures/87_MiddleBrother_19Dec2007_waveforms_raw.png|None
339|87|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/87_MiddleBrother_19Dec2007/photos_figures/87_MiddleBrother_19Dec2007_waveforms_1-5Hz.png|None
340|87|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/87_MiddleBrother_19Dec2007/photos_figures/87_MiddleBrother_19Dec2007_spectrogram.png|None
341|87|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/87_MiddleBrother_19Dec2007/photos_figures/87_MiddleBrother_19Dec2007_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
67|87|88,89,90,91,92,93,94,95,96,97,99,102|Zimmer, V.L. and Sitar, N., 2015, Detection and location of rock falls using seismic and infrasound sensors: Engineering Geology, 193, p49-60, http://dx.doi.org/10.1016/j.enggeo.2015.04.007|Zimmer and Sitar (2015)|None|None

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
80500|87|2586|199.571|277.56|96.18|None|None
80501|87|2587|199.571|277.56|96.18|None|None
80502|87|2588|199.571|277.56|96.18|None|None
80503|87|2589|199.571|277.56|96.18|None|None
80504|87|2590|199.571|277.56|96.18|None|None
80505|87|2591|199.571|277.56|96.18|None|None
80506|87|2592|231.329|274.58|92.97|None|None
80507|87|2593|231.329|274.58|92.97|None|None
80508|87|2594|231.329|274.58|92.97|None|None
80509|87|2595|231.329|274.58|92.97|None|None
80510|87|2596|231.329|274.58|92.97|None|None
80511|87|2597|231.329|274.58|92.97|None|None
80512|87|2604|224.272|275.89|94.33|None|None
80513|87|2605|224.272|275.89|94.33|None|None
80514|87|2606|224.272|275.89|94.33|None|None
80515|87|2607|224.272|275.89|94.33|None|None
80516|87|2608|224.272|275.89|94.33|None|None
80517|87|2609|224.272|275.89|94.33|None|None
80518|87|2610|233.546|274.48|92.86|None|None
80519|87|2611|233.546|274.48|92.86|None|None
80520|87|2612|233.546|274.48|92.86|None|None
80521|87|2613|233.546|274.48|92.86|None|None
80522|87|2614|233.546|274.48|92.86|None|None
80523|87|2615|233.546|274.48|92.86|None|None
80524|87|2616|75.44|296.02|115.55|None|None
80525|87|2617|75.44|296.02|115.55|None|None
80526|87|2618|75.44|296.02|115.55|None|None
80527|87|2619|75.44|296.02|115.55|None|None
80528|87|2620|75.44|296.02|115.55|None|None
80529|87|2621|75.44|296.02|115.55|None|None
80530|87|2622|258.562|285.96|104.21|None|None
80531|87|2623|258.562|285.96|104.21|None|None
80532|87|2624|258.562|285.96|104.21|None|None
80533|87|2625|258.562|285.96|104.21|None|None
80534|87|2626|258.562|285.96|104.21|None|None
80535|87|2627|258.562|285.96|104.21|None|None
80536|87|2628|298.624|270.16|88.09|None|None
80537|87|2629|298.624|270.16|88.09|None|None
80538|87|2630|298.624|270.16|88.09|None|None
80539|87|2631|298.624|270.16|88.09|None|None
80540|87|2632|298.624|270.16|88.09|None|None
80541|87|2633|298.624|270.16|88.09|None|None
80542|87|2634|343.526|309.21|127.27|None|None
80543|87|2635|343.526|309.21|127.27|None|None
80544|87|2636|343.526|309.21|127.27|None|None
80545|87|2637|343.526|309.21|127.27|None|None
80546|87|2638|343.526|309.21|127.27|None|None
80547|87|2639|343.526|309.21|127.27|None|None
80548|87|2640|332.724|295.81|113.66|None|None
80549|87|2641|332.724|295.81|113.66|None|None
80550|87|2642|332.724|295.81|113.66|None|None
80551|87|2643|332.724|295.81|113.66|None|None
80552|87|2644|332.724|295.81|113.66|None|None
80553|87|2645|332.724|295.81|113.66|None|None
80554|87|2652|234.798|261.69|80.09|None|None
80555|87|2653|234.798|261.69|80.09|None|None
80556|87|2654|234.798|261.69|80.09|None|None
80557|87|2655|234.798|261.69|80.09|None|None
80558|87|2656|234.798|261.69|80.09|None|None
80559|87|2657|234.798|261.69|80.09|None|None
80560|87|4649|52.98|150.36|330.54|1|None
80561|87|4650|52.98|150.36|330.54|1|None
80562|87|4651|52.98|150.36|330.54|1|None
80563|87|4652|52.98|150.36|330.54|1|None
