# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
89|Middle Brother|2007-12-19 01:42:25|2007-12-19 01:43:37|37.7389|-119.6143|None|None|None|None|None|rock fall|None|None|None|None|10.0|None|None|None|None|None|None|None|None|None|None|None|5|0|1.0|1|0.0|None|IRIS, NCEDC|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
184|87|67|Volume estimate from Zimmer and Sitar (2015)|None|None|88,89,90,91,92,93,94,95,96,97,99,102

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
330|89|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/89_MiddleBrother_19Dec2007/photos_figures/89_MiddleBrother_19Dec2007_waveforms_raw.png|None
331|89|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/89_MiddleBrother_19Dec2007/photos_figures/89_MiddleBrother_19Dec2007_waveforms_1-5Hz.png|None
332|89|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/89_MiddleBrother_19Dec2007/photos_figures/89_MiddleBrother_19Dec2007_spectrogram.png|None
333|89|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/89_MiddleBrother_19Dec2007/photos_figures/89_MiddleBrother_19Dec2007_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
93393|89|2616|75.44|296.02|115.55|None|None
93394|89|2617|75.44|296.02|115.55|None|None
93395|89|2618|75.44|296.02|115.55|None|None
93396|89|2619|75.44|296.02|115.55|None|None
93397|89|2620|75.44|296.02|115.55|None|None
93398|89|2621|75.44|296.02|115.55|None|None
93399|89|4649|52.98|150.36|330.54|None|None
93400|89|4650|52.98|150.36|330.54|None|None
93401|89|4651|52.98|150.36|330.54|None|None
93402|89|4652|52.98|150.36|330.54|None|None
93403|89|4653|52.98|150.36|330.54|None|None
93404|89|4654|52.98|150.36|330.54|None|None
93405|89|4858|69.699|99.73|280.21|None|None
93406|89|4859|69.699|99.73|280.21|None|None
93407|89|4860|69.699|99.73|280.21|None|None
93408|89|4861|69.699|99.73|280.21|None|None
93409|89|4862|69.699|99.73|280.21|None|None
93410|89|4863|69.699|99.73|280.21|None|None
93411|89|10398|86.35|10.25|190.36|None|None
93412|89|10399|86.35|10.25|190.36|None|None
93413|89|10400|86.35|10.25|190.36|None|None
93414|89|15011|88.162|9.3|189.4|None|None
93415|89|15012|88.162|9.3|189.4|None|None
93416|89|15013|88.162|9.3|189.4|None|None
93417|89|15738|0.489|177.93|357.93|0|None
93418|89|15739|0.489|177.93|357.93|0|None
93419|89|15740|0.489|177.93|357.93|0|None
93420|89|15741|0.489|177.93|357.93|1|None
93421|89|15742|0.489|177.93|357.93|1|None
93422|89|15743|0.489|177.93|357.93|1|None
93423|89|15062|99.756|131.56|312.07|None|None
93424|89|15063|99.756|131.56|312.07|None|None
93425|89|15064|99.756|131.56|312.07|None|None
93426|89|15065|76.254|131.69|312.08|None|None
93427|89|15066|76.254|131.69|312.08|None|None
93428|89|15067|76.254|131.69|312.08|None|None
93429|89|15068|37.956|162.38|342.46|None|None
93430|89|15069|37.956|162.38|342.46|None|None
93431|89|15070|37.956|162.38|342.46|None|None
93432|89|15071|29.32|57.73|237.9|None|None
93433|89|15072|29.32|57.73|237.9|None|None
93434|89|15073|29.32|57.73|237.9|None|None
93435|89|15074|17.056|264.01|83.89|None|None
93436|89|15075|17.056|264.01|83.89|None|None
93437|89|15076|17.056|264.01|83.89|None|None
93438|89|15077|14.309|348.44|168.42|None|None
93439|89|15078|14.309|348.44|168.42|None|None
93440|89|15079|14.309|348.44|168.42|None|None
93441|89|15080|30.399|17.4|197.46|None|None
93442|89|15081|30.399|17.4|197.46|None|None
93443|89|15082|30.399|17.4|197.46|None|None
93444|89|15128|14.948|275.25|95.15|None|None
93445|89|15129|14.948|275.25|95.15|None|None
93446|89|15130|14.948|275.25|95.15|None|None
93447|89|15131|13.22|286.73|106.64|None|None
93448|89|15132|13.22|286.73|106.64|None|None
93449|89|15133|13.22|286.73|106.64|None|None
93450|89|15134|11.799|298.15|118.08|None|None
93451|89|15135|11.799|298.15|118.08|None|None
93452|89|15136|11.799|298.15|118.08|None|None
93453|89|15137|12.351|316.82|136.76|None|None
93454|89|15138|12.351|316.82|136.76|None|None
93455|89|15139|12.351|316.82|136.76|None|None
93456|89|15140|12.926|329.19|149.15|None|None
93457|89|15141|12.926|329.19|149.15|None|None
93458|89|15142|12.926|329.19|149.15|None|None
93459|89|15143|12.42|359.88|179.88|None|None
93460|89|15144|12.42|359.88|179.88|None|None
93461|89|15145|12.42|359.88|179.88|None|None
93462|89|15146|8.856|19.94|199.96|None|None
93463|89|15147|8.856|19.94|199.96|None|None
93464|89|15148|8.856|19.94|199.96|None|None
93465|89|15149|9.705|38.83|218.87|None|None
93466|89|15150|9.705|38.83|218.87|None|None
93467|89|15151|9.705|38.83|218.87|None|None
