# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
92|Middle Brother|2008-01-08 18:17:03|2008-01-08 18:18:34|37.7389|-119.6143|None|None|None|None|None|rock fall|None|None|None|None|10.0|None|None|None|None|None|None|None|None|None|None|None|5|0|1.0|1|0.0|None|IRIS, NCEDC|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
184|87|67|Volume estimate from Zimmer and Sitar (2015)|None|None|88,89,90,91,92,93,94,95,96,97,99,102

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
318|92|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/92_MiddleBrother_08Jan2008/photos_figures/92_MiddleBrother_08Jan2008_waveforms_raw.png|None
320|92|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/92_MiddleBrother_08Jan2008/photos_figures/92_MiddleBrother_08Jan2008_spectrogram.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
82531|92|2586|199.571|277.56|96.18|None|None
82532|92|2587|199.571|277.56|96.18|None|None
82533|92|2588|199.571|277.56|96.18|None|None
82534|92|2589|199.571|277.56|96.18|None|None
82535|92|2590|199.571|277.56|96.18|None|None
82536|92|2591|199.571|277.56|96.18|None|None
82537|92|2592|231.329|274.58|92.97|None|None
82538|92|2593|231.329|274.58|92.97|None|None
82539|92|2594|231.329|274.58|92.97|None|None
82540|92|2595|231.329|274.58|92.97|None|None
82541|92|2596|231.329|274.58|92.97|None|None
82542|92|2597|231.329|274.58|92.97|None|None
82543|92|2604|224.272|275.89|94.33|None|None
82544|92|2605|224.272|275.89|94.33|None|None
82545|92|2606|224.272|275.89|94.33|None|None
82546|92|2607|224.272|275.89|94.33|None|None
82547|92|2608|224.272|275.89|94.33|None|None
82548|92|2609|224.272|275.89|94.33|None|None
82549|92|2610|233.546|274.48|92.86|None|None
82550|92|2611|233.546|274.48|92.86|None|None
82551|92|2612|233.546|274.48|92.86|None|None
82552|92|2613|233.546|274.48|92.86|None|None
82553|92|2614|233.546|274.48|92.86|None|None
82554|92|2615|233.546|274.48|92.86|None|None
82555|92|2616|75.44|296.02|115.55|None|None
82556|92|2617|75.44|296.02|115.55|None|None
82557|92|2618|75.44|296.02|115.55|None|None
82558|92|2619|75.44|296.02|115.55|None|None
82559|92|2620|75.44|296.02|115.55|None|None
82560|92|2621|75.44|296.02|115.55|None|None
82561|92|2622|258.562|285.96|104.21|None|None
82562|92|2623|258.562|285.96|104.21|None|None
82563|92|2624|258.562|285.96|104.21|None|None
82564|92|2625|258.562|285.96|104.21|None|None
82565|92|2626|258.562|285.96|104.21|None|None
82566|92|2627|258.562|285.96|104.21|None|None
82567|92|2628|298.624|270.16|88.09|None|None
82568|92|2629|298.624|270.16|88.09|None|None
82569|92|2630|298.624|270.16|88.09|None|None
