# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
96|Middle Brother|2009-01-15 05:21:40|2009-01-15 05:22:00|37.7389|-119.6143|None|None|None|None|None|rock fall|None|None|None|None|5.0|None|None|None|None|None|None|None|None|None|None|None|5|0|1.0|1|0.0|None|IRIS, NCEDC|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
184|87|67|Volume estimate from Zimmer and Sitar (2015)|None|None|88,89,90,91,92,93,94,95,96,97,99,102

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
302|96|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/96_MiddleBrother_15Jan2009/photos_figures/96_MiddleBrother_15Jan2009_waveforms_raw.png|None
303|96|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/96_MiddleBrother_15Jan2009/photos_figures/96_MiddleBrother_15Jan2009_waveforms_1-5Hz.png|None
304|96|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/96_MiddleBrother_15Jan2009/photos_figures/96_MiddleBrother_15Jan2009_spectrogram.png|None
305|96|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/96_MiddleBrother_15Jan2009/photos_figures/96_MiddleBrother_15Jan2009_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
94378|96|2616|75.44|296.02|115.55|None|None
94379|96|2617|75.44|296.02|115.55|None|None
94380|96|2618|75.44|296.02|115.55|None|None
94381|96|2619|75.44|296.02|115.55|None|None
94382|96|2620|75.44|296.02|115.55|None|None
94383|96|2621|75.44|296.02|115.55|None|None
94384|96|4649|52.98|150.36|330.54|None|None
94385|96|4650|52.98|150.36|330.54|None|None
94386|96|4651|52.98|150.36|330.54|None|None
94387|96|4652|52.98|150.36|330.54|None|None
94388|96|4653|52.98|150.36|330.54|None|None
94389|96|4654|52.98|150.36|330.54|None|None
94390|96|4858|69.699|99.73|280.21|None|None
94391|96|4859|69.699|99.73|280.21|None|None
94392|96|4860|69.699|99.73|280.21|None|None
94393|96|4861|69.699|99.73|280.21|None|None
94394|96|4862|69.699|99.73|280.21|None|None
94395|96|4863|69.699|99.73|280.21|None|None
94396|96|18583|69.699|99.73|280.21|None|None
94397|96|18584|69.699|99.73|280.21|None|None
94398|96|18585|69.699|99.73|280.21|None|None
94399|96|10398|86.35|10.25|190.36|None|None
94400|96|10399|86.35|10.25|190.36|None|None
94401|96|10400|86.35|10.25|190.36|None|None
94402|96|18607|2.366|61.1|241.11|None|None
94403|96|18608|2.366|61.1|241.11|None|None
94404|96|18609|2.366|61.1|241.11|None|None
94405|96|18586|0.478|177.88|357.88|1|None
94406|96|18587|0.478|177.88|357.88|1|None
94407|96|18588|0.478|177.88|357.88|1|None
94408|96|18589|0.478|177.88|357.88|1|None
94409|96|18590|0.478|177.88|357.88|1|None
94410|96|18591|0.478|177.88|357.88|1|None
94411|96|18592|0.423|91.5|271.5|1|None
94412|96|18593|0.423|91.5|271.5|1|None
94413|96|18594|0.423|91.5|271.5|1|None
94414|96|18595|0.249|159.28|339.29|0|None
94415|96|18596|0.249|159.28|339.29|0|None
94416|96|18597|0.249|159.28|339.29|0|None
94417|96|18598|0.249|159.28|339.29|1|None
94418|96|18599|0.249|159.28|339.29|1|None
94419|96|18600|0.249|159.28|339.29|1|None
94420|96|18601|0.414|91.53|271.54|0|None
94421|96|18602|0.414|91.53|271.54|0|None
94422|96|18603|0.414|91.53|271.54|0|None
94423|96|17022|70.276|101.13|281.61|None|None
94424|96|17023|70.276|101.13|281.61|None|None
94425|96|17024|70.276|101.13|281.61|None|None
94426|96|17034|58.5|100.28|280.68|None|None
94427|96|17035|58.5|100.28|280.68|None|None
94428|96|17036|58.5|100.28|280.68|None|None
94429|96|17040|81.996|101.52|282.07|None|None
94430|96|17041|81.996|101.52|282.07|None|None
94431|96|17042|81.996|101.52|282.07|None|None
94432|96|17043|43.51|59.01|239.27|None|None
94433|96|17044|43.51|59.01|239.27|None|None
