# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
99|Glacier Point|2008-10-08 13:55:34|2008-10-08 13:57:37|37.7319|-119.5736|None|None|None|None|None|rock fall|None|None|None|None|4530.0|None|None|None|None|None|None|None|None|None|None|None|5|0|115.0|1|0.0|None|IRIS, NCEDC|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
184|87|67|Volume estimate from Zimmer and Sitar (2015)|None|None|88,89,90,91,92,93,94,95,96,97,99,102

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
290|99|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/99_GlacierPoint_08Oct2008/photos_figures/99_GlacierPoint_08Oct2008_waveforms_raw.png|None
291|99|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/99_GlacierPoint_08Oct2008/photos_figures/99_GlacierPoint_08Oct2008_waveforms_1-5Hz.png|None
292|99|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/99_GlacierPoint_08Oct2008/photos_figures/99_GlacierPoint_08Oct2008_spectrogram.png|None
293|99|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/99_GlacierPoint_08Oct2008/photos_figures/99_GlacierPoint_08Oct2008_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
101047|99|15402|459.827|162.38|343.26|None|None
101048|99|15403|459.827|162.38|343.26|None|None
101049|99|15404|459.827|162.38|343.26|None|None
101050|99|2586|199.571|277.56|96.18|None|None
101051|99|2587|199.571|277.56|96.18|None|None
101052|99|2588|199.571|277.56|96.18|None|None
101053|99|2589|199.571|277.56|96.18|None|None
101054|99|2590|199.571|277.56|96.18|None|None
101055|99|2591|199.571|277.56|96.18|None|None
101056|99|2592|231.329|274.58|92.97|None|None
101057|99|2593|231.329|274.58|92.97|None|None
101058|99|2594|231.329|274.58|92.97|None|None
101059|99|2595|231.329|274.58|92.97|None|None
101060|99|2596|231.329|274.58|92.97|None|None
101061|99|2597|231.329|274.58|92.97|None|None
101062|99|2604|224.272|275.89|94.33|None|None
101063|99|2605|224.272|275.89|94.33|None|None
101064|99|2606|224.272|275.89|94.33|None|None
101065|99|2607|224.272|275.89|94.33|None|None
101066|99|2608|224.272|275.89|94.33|None|None
101067|99|2609|224.272|275.89|94.33|None|None
101068|99|2610|233.546|274.48|92.86|None|None
101069|99|2611|233.546|274.48|92.86|None|None
101070|99|2612|233.546|274.48|92.86|None|None
101071|99|2613|233.546|274.48|92.86|None|None
101072|99|2614|233.546|274.48|92.86|None|None
101073|99|2615|233.546|274.48|92.86|None|None
101074|99|2616|75.44|296.02|115.55|1|None
101075|99|2617|75.44|296.02|115.55|1|None
101076|99|2618|75.44|296.02|115.55|1|None
101077|99|2619|75.44|296.02|115.55|1|None
101078|99|2620|75.44|296.02|115.55|1|None
101079|99|2621|75.44|296.02|115.55|1|None
101080|99|2622|258.562|285.96|104.21|None|None
101081|99|2623|258.562|285.96|104.21|None|None
101082|99|2624|258.562|285.96|104.21|None|None
101083|99|2625|258.562|285.96|104.21|None|None
101084|99|2626|258.562|285.96|104.21|None|None
101085|99|2627|258.562|285.96|104.21|None|None
101086|99|2628|298.624|270.16|88.09|None|None
101087|99|2629|298.624|270.16|88.09|None|None
101088|99|2630|298.624|270.16|88.09|None|None
101089|99|2631|298.624|270.16|88.09|None|None
101090|99|2632|298.624|270.16|88.09|None|None
101091|99|2633|298.624|270.16|88.09|None|None
101092|99|2634|343.526|309.21|127.27|None|None
101093|99|2635|343.526|309.21|127.27|None|None
101094|99|2636|343.526|309.21|127.27|None|None
101095|99|2637|343.526|309.21|127.27|None|None
101096|99|2638|343.526|309.21|127.27|None|None
101097|99|2639|343.526|309.21|127.27|None|None
101098|99|4637|228.317|229.57|48.4|None|None
101099|99|4638|228.317|229.57|48.4|None|None
101100|99|4639|228.317|229.57|48.4|None|None
101101|99|4640|228.317|229.57|48.4|None|None
101102|99|4641|228.317|229.57|48.4|None|None
101103|99|4642|228.317|229.57|48.4|None|None
