# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
9|Mount Adams|1997-10-24 14:29:03|1997-10-24 14:31:19|46.20171|-121.48164|0.0|46.20171|-121.48164|None|None|rock fall|None|None|None|None|None|None|None|None|None|None|1200.0|1100.0|1300.0|2500.0|2200.0|2800.0|1|0|45.0|1|0.0|None|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
62|9|59|Estimated H and L and toe tip lat and lon based on observation by Iverson (1997) that this event went about half as far as the 10/20/97 event|None|None|None
38|7|None|Crown and toe tip coordinates from Google Earth. Estimated locations using photos by (and courtesy of) Darryl Lloyd|1|None|9
43|7|35|Excerpt from book by Harris, S. (2005): "On October 20, 1997, a huge slab of hydrothermally altered rock suddenly detached from the south face of the Castle...leaving a near-vertical triangle-shaped scar about 1,000 feet long on each side.  Continuing more than a mile beyond the Klickitat glacier terminus, the avalanche buried the upper reaches of Big Muddy Creek. In its 3-mile length, the avalanche traveled almost 6,000 vertical feet downslope from its origin on the Castle, coming to rest at an elevation of about 5,600 feet. "|None|None|9
143|7|59|Geometry estimates from CVO website posting|None|None|9

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
660|9|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/9_MountAdams_24Oct1997/photos_figures/9_MountAdams_24Oct1997_waveforms_raw.png|None
661|9|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/9_MountAdams_24Oct1997/photos_figures/9_MountAdams_24Oct1997_waveforms_1-5Hz.png|None
662|9|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/9_MountAdams_24Oct1997/photos_figures/9_MountAdams_24Oct1997_spectrogram.png|None
663|9|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/9_MountAdams_24Oct1997/photos_figures/9_MountAdams_24Oct1997_spectra.png|None
1|7|Darryl Lloyd|Copyrighted photos by and courtesy of Darryl Lloyd and some Google Earth screenshots taken by Darryl Lloyd.|None|None|2014-01-29 17:10:59|event_data/7_MountAdams_20Oct1997/photos_figures/7_MountAdams_20Oct1997_source-DarrylLloyd_1.jpg|9
39|7|US Forest Service|Aerial Photo of event|None|None|None|event_data/7_MountAdams_20Oct1997/photos_figures/7_MountAdams_20Oct1997_source-USForestService_7.gif|9
40|7|US Forest Service|Photo of toe|None|None|None|event_data/7_MountAdams_20Oct1997/photos_figures/7_MountAdams_20Oct1997_source-USForestService_9.gif|9
970|7|Darryl Lloyd|Copyrighted photos by and courtesy of Darryl Lloyd and some Google Earth screenshots taken by Darryl Lloyd.|None|None|2014-10-23 15:24:28|event_data/7_MountAdams_20Oct1997/photos_figures/7_MountAdams_20Oct1997_source-DarrylLloyd_2.jpg|9
971|7|Darryl Lloyd|Copyrighted photos by and courtesy of Darryl Lloyd and some Google Earth screenshots taken by Darryl Lloyd.|None|None|2014-01-29 18:25:10|event_data/7_MountAdams_20Oct1997/photos_figures/7_MountAdams_20Oct1997_source-DarrylLloyd_3.jpg|9
972|7|Darryl Lloyd|Copyrighted photos by and courtesy of Darryl Lloyd and some Google Earth screenshots taken by Darryl Lloyd.|None|None|2014-10-24 09:52:45|event_data/7_MountAdams_20Oct1997/photos_figures/7_MountAdams_20Oct1997_source-DarrylLloyd_4.jpg|9
973|7|Darryl Lloyd|Copyrighted photos by and courtesy of Darryl Lloyd and some Google Earth screenshots taken by Darryl Lloyd.|None|None|2014-01-29 17:12:46|event_data/7_MountAdams_20Oct1997/photos_figures/7_MountAdams_20Oct1997_source-DarrylLloyd_5.jpg|9
974|7|Darryl Lloyd|Copyrighted photos by and courtesy of Darryl Lloyd and some Google Earth screenshots taken by Darryl Lloyd.|None|None|2014-01-29 17:13:56|event_data/7_MountAdams_20Oct1997/photos_figures/7_MountAdams_20Oct1997_source-DarrylLloyd_6.jpg|9


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
10551|9|2096|423.659|324.92|142.44|None|None
10552|9|2097|423.659|324.92|142.44|None|None
10553|9|2098|423.659|324.92|142.44|None|None
10554|9|482|382.216|339.68|158.32|None|None
10555|9|483|382.216|339.68|158.32|None|None
10556|9|484|382.216|339.68|158.32|None|None
10557|9|3405|494.457|346.77|165.58|None|None
10558|9|3406|494.457|346.77|165.58|None|None
10559|9|3407|494.457|346.77|165.58|None|None
10560|9|2126|446.915|331.51|149.31|None|None
10561|9|2127|446.915|331.51|149.31|None|None
10562|9|2128|446.915|331.51|149.31|None|None
10563|9|344|2577.233|319.18|113.67|None|None
10564|9|437|229.307|219.14|37.84|None|None
10565|9|438|229.307|219.14|37.84|None|None
10566|9|439|229.307|219.14|37.84|None|None
10567|9|345|109.894|261.17|80.16|None|None
10568|9|346|109.894|261.17|80.16|None|None
10569|9|347|109.894|261.17|80.16|None|None
10570|9|485|369.831|202.82|21.58|None|None
10571|9|486|369.831|202.82|21.58|None|None
10572|9|487|369.831|202.82|21.58|None|None
10573|9|462|269.874|169.53|349.97|None|None
10574|9|463|269.874|169.53|349.97|None|None
10575|9|464|269.874|169.53|349.97|None|None
10576|9|2257|401.91|53.62|236.82|None|None
10577|9|2258|401.91|53.62|236.82|None|None
10578|9|2259|401.91|53.62|236.82|None|None
10579|9|3408|401.91|53.62|236.82|None|None
10580|9|3409|401.91|53.62|236.82|None|None
10581|9|3410|401.91|53.62|236.82|None|None
10582|9|3411|476.069|150.52|332.51|None|None
10583|9|3412|476.069|150.52|332.51|None|None
10584|9|3018|476.069|150.52|332.51|None|None
10585|9|3413|476.069|150.52|332.51|None|None
10586|9|3414|476.069|150.52|332.51|None|None
10587|9|3415|476.069|150.52|332.51|None|None
10588|9|128|10.66|239.97|59.89|1|None
10589|9|348|53.917|196.74|16.6|None|None
10590|9|488|380.184|194.92|14.08|None|None
10591|9|349|186.642|347.22|166.82|None|None
10592|9|440|230.52|331.14|150.05|None|None
10593|9|350|137.92|283.4|102.13|None|None
10594|9|351|172.909|185.47|5.32|None|None
10595|9|352|118.972|74.04|255.12|None|None
10596|9|353|140.201|60.49|241.65|None|None
10597|9|441|209.231|31.02|212.07|None|None
10598|9|129|44.553|258.14|77.74|1|None
10599|9|354|150.237|231.79|50.71|None|None
10600|9|355|150.237|231.79|50.71|None|None
10601|9|356|150.237|231.79|50.71|None|None
10602|9|357|83.126|288.64|107.9|None|None
10603|9|465|251.796|349.19|168.72|None|None
10604|9|358|153.228|304.71|123.51|None|None
10605|9|359|175.039|65.89|247.41|None|None
10606|9|489|369.831|202.82|21.58|None|None
10607|9|466|310.672|52.12|234.52|None|None
10608|9|442|237.055|32.58|213.83|None|None
10609|9|130|51.642|269.81|89.33|None|None
10610|9|131|67.32|280.27|99.65|None|None
10611|9|132|105.492|41.34|222.01|None|None
10612|9|360|192.928|47.57|228.95|None|None
10613|9|361|175.849|350.6|170.32|None|None
10614|9|362|175.849|350.6|170.32|None|None
10615|9|363|175.849|350.6|170.32|None|None
10616|9|443|200.064|77.01|258.85|None|None
10617|9|364|178.894|28.87|209.71|None|None
10618|9|444|227.097|202.67|21.89|None|None
10619|9|133|67.102|269.89|89.27|None|None
10620|9|134|83.606|350.1|169.96|None|None
10621|9|365|161.592|73.4|254.86|None|None
10622|9|135|111.411|327.32|146.74|None|None
10623|9|366|57.524|117.53|298.0|None|None
10624|9|136|40.882|346.05|165.95|1|None
10625|9|445|200.066|167.94|348.32|None|None
10626|9|367|179.799|326.87|145.92|None|None
10627|9|368|182.892|326.46|145.48|None|None
10628|9|369|182.892|326.46|145.48|None|None
10629|9|370|182.892|326.46|145.48|None|None
10630|9|138|113.977|347.97|167.74|None|None
10631|9|371|32.001|196.13|16.04|1|None
10632|9|2268|460.751|185.04|4.7|None|None
10633|9|467|270.094|194.47|13.88|None|None
10634|9|372|200.639|323.9|142.75|None|None
10635|9|2269|440.148|182.41|2.25|None|None
10636|9|468|323.306|203.73|22.6|None|None
10637|9|139|54.004|267.14|86.64|None|None
10638|9|373|179.55|353.13|172.92|None|None
10639|9|374|151.874|122.16|303.34|None|None
10640|9|446|224.31|351.51|171.18|None|None
10641|9|140|52.1|263.68|83.19|None|None
10642|9|375|168.006|248.76|67.32|None|None
10643|9|141|62.213|298.19|117.67|None|None
10644|9|2270|439.487|186.27|5.86|None|None
10645|9|2271|439.487|186.27|5.86|None|None
10646|9|2272|439.487|186.27|5.86|None|None
10647|9|142|107.314|299.56|118.68|None|None
10648|9|376|81.092|310.12|129.53|None|None
10649|9|447|250.075|97.25|279.55|None|None
10650|9|143|66.103|337.76|157.52|None|None
10651|9|377|167.618|69.24|250.73|None|None
10652|9|144|66.103|337.76|157.52|None|None
10653|9|145|66.103|337.76|157.52|None|None
10654|9|146|66.103|337.76|157.52|None|None
10655|9|147|66.103|337.76|157.52|None|None
10656|9|148|132.716|27.73|208.32|None|None
10657|9|149|132.716|27.73|208.32|None|None
10658|9|150|132.716|27.73|208.32|None|None
10659|9|378|72.636|258.44|77.77|None|None
10660|9|469|288.928|353.88|173.57|None|None
10661|9|470|293.759|340.21|159.21|None|None
10662|9|379|139.973|70.26|251.51|None|None
10663|9|151|142.554|321.74|140.9|None|None
10664|9|380|167.994|75.58|257.12|None|None
