Latitude,Longitude,Date,Depth,Magnitude,Description,TotalStations
40.9966° N,142.1802° E,2025-12-08 14:15:10 UTC,45.351 km,7.6,"Near East Coast Of Honshu, Japan",5
39.9936° N,142.9946° E,2026-04-20 07:52:58 UTC,25.0 km,7.4,"Near East Coast Of Honshu, Japan",5
36.2274° N,141.088° E,2011-03-11 06:15:37 UTC,25.4 km,7.9,"Near East Coast Of Honshu, Japan",4
4.3258° S,143.1593° E,2023-04-02 18:04:11 UTC,70.0 km,7,"New Guinea, Papua New Guinea",3
0.1781° S,119.8401° E,2018-09-28 10:02:43 UTC,10.0 km,7.5,"Minahassa Peninsula, Sulawesi",5
6.4232° N,123.5796° E,2010-07-23 22:51:13 UTC,584.7 km,7.7,"Mindanao, Philippines",1
35.7695° N,117.599333° W,2019-07-06 03:19:53 UTC,8.0 km,7.1,Central California,5
32.2764° N,115.2633° W,2010-04-04 22:40:43 UTC,5.2 km,7.2,Calif.-Baja Calif. Border Region,4
55.0298° N,158.5217° W,2020-07-22 06:12:44 UTC,28.0 km,7.8,Alaska Peninsula,5
38.2107° N,72.7797° E,2015-12-07 07:50:05 UTC,22.0 km,7.2,Tajikistan,5
41.2632° N,78.6535° E,2024-01-22 18:09:04 UTC,13.0 km,7,Kyrgyzstan-Xinjiang Border Reg.,5
37.4893° N,137.2638° E,2024-01-01 07:10:09 UTC,10.0 km,7.5,"Near West Coast Of Honshu, Japan",5
